Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Baker, Oskar",3,2,8,3,1,6,5,1,4,2,2,7,2,5,51.0
"Bontempelli, Marcus",1,4,7,5,6,7,4,7,5,3,8,5,3,6,71.0
"Bruce, Josh",-,-,1,-,-,,,,,,,,-,,1.0
"Crozier, Hayden",,-,1,-,,,,,,,,,,,1.0
"Dale, Bailey",2,2,2,5,1,1,7,2,4,3,5,3,1,5,43.0
"Daniel, Caleb",1,2,3,1,8,2,4,1,3,2,5,2,4,2,40.0
"Darcy, Sam",-,-,,,,,,,,,,,,,
"Duryea, Taylor",3,3,,,1,-,2,2,2,1,2,1,1,2,20.0
"English, Tim",6,1,2,3,7,5,3,-,3,4,2,5,-,4,45.0
"Garcia, Riley",,1,1,,,,,,,,,,,,2.0
"Gardner, Ryan",,,,,,,,-,-,3,1,-,,,4.0
"Hannan, Mitch",-,,,2,3,,,,,,1,,,5,11.0
"Johannisen, Jason",2,,3,1,1,4,1,1,4,2,,,,,19.0
"Jones, Arthur",,,-,3,-,3,4,3,-,3,-,1,-,,17.0
"Jones, Liam",-,-,-,-,1,3,-,-,1,1,3,-,-,-,9.0
"Keath, Alex",-,2,1,-,,1,1,1,1,,,,4,2,13.0
"Liberatore, Tom",6,1,2,4,2,2,,4,3,3,3,4,6,4,44.0
"Lobb, Rory",-,,-,3,2,-,2,1,-,-,2,-,2,2,14.0
"Macrae, Jack",4,3,7,7,3,9,5,5,3,-,7,2,4,6,65.0
"McComb, Robbie",,-,-,2,,,,,,,,,,,2.0
"McLean, Toby",-,2,,,-,1,-,,,,,,,,3.0
"McNeil, Lachlan",,,,,,1,2,-,-,1,1,1,,2,8.0
"Naughton, Aaron",1,5,3,2,3,1,2,2,3,3,2,-,1,1,29.0
"OBrien, Tim",,,,,2,1,-,,,2,2,1,,2,10.0
"ODonnell, James",,,,,,,,,-,1,1,1,1,,4.0
"Richards, Ed",5,2,2,2,1,-,2,2,1,3,3,1,,,24.0
"Scott, Anthony",2,1,2,6,1,1,-,2,-,2,2,2,2,4,27.0
"Smith, Bailey",9,5,1,6,,,3,5,6,6,3,1,3,-,48.0
"Treloar, Adam",2,,1,4,3,4,5,3,,,,3,3,6,34.0
"Ugle-Hagan, Jamarra",1,1,1,3,3,4,2,2,3,2,4,6,3,4,39.0
"Vandermeer, Laitham",,,,,,,,,,,,,2,2,4.0
"Weightman, Cody",,,,,2,-,1,1,1,3,3,3,4,3,21.0
"West, Rhylee",,-,,,,,,,,,,,1,3,4.0
"Williams, Bailey",2,-,3,2,-,4,3,1,4,4,4,2,4,2,35.0
Totals,50,37,51,64,51,60,58,46,51,54,66,51,51,72,762.0
Opponent,ME,SK,BL,RI,PA,FR,HW,GW,CA,AD,GC,GE,PA,NM,
