Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,Tot
"Baker, Oskar",-,1,-,-,-,1,-,-,-,2,-,1,-,-,,5.0
"Bontempelli, Marcus",1,-,1,1,-,-,1,1,-,1,-,2,-,1,-,9.0
"Bruce, Josh",-,-,-,-,-,,,,,,,,-,,,
"Crozier, Hayden",,1,-,-,,,,,,,,,,,,1.0
"Dale, Bailey",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1.0
"Daniel, Caleb",-,1,-,2,-,1,-,-,-,-,-,-,-,-,-,4.0
"Darcy, Sam",1,-,,,,,,,,,,,,,,1.0
"Duryea, Taylor",-,-,,,-,-,-,-,1,-,-,-,-,-,-,1.0
"English, Tim",-,-,-,-,-,-,1,-,-,-,1,1,-,1,-,4.0
"Garcia, Riley",,-,-,,,,,,,,,,,,,
"Gardner, Ryan",,,,,,,,-,-,-,-,-,,,-,
"Hannan, Mitch",-,,,2,-,,,,,,-,,,2,-,4.0
"Johannisen, Jason",-,,-,-,-,-,-,-,-,1,,,,,,1.0
"Jones, Arthur",,,1,-,-,1,1,-,1,2,1,-,-,,,7.0
"Jones, Liam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Keath, Alex",-,-,-,-,,-,-,-,-,,,,-,-,-,
"Liberatore, Tom",1,-,-,1,-,-,,1,-,2,-,-,2,1,-,8.0
"Lobb, Rory",-,,-,1,2,3,-,-,-,-,1,1,1,-,1,10.0
"Macrae, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"McComb, Robbie",,-,-,-,,,,,,,,,,,,
"McLean, Toby",-,-,,,-,-,-,,,,,,,,,
"McNeil, Lachlan",,,,,,-,2,-,-,-,-,1,,-,-,3.0
"Naughton, Aaron",2,2,-,-,-,2,3,2,3,1,2,1,-,-,1,19.0
"OBrien, Tim",,,,,-,-,-,,,-,-,-,,-,,
"ODonnell, James",,,,,,,,,1,-,-,1,-,,-,2.0
"Poulter, Caleb",,,,,,,,,,,,,,,-,
"Richards, Ed",-,-,1,-,-,-,-,-,-,1,-,-,,,,2.0
"Scott, Anthony",-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,4.0
"Smith, Bailey",1,-,-,1,,,-,-,-,1,1,1,-,1,-,6.0
"Treloar, Adam",-,,1,-,-,-,1,-,,,,-,-,1,-,3.0
"Ugle-Hagan, Jamarra",3,2,-,2,1,3,-,1,2,1,1,3,2,1,2,24.0
"Vandermeer, Laitham",,,,,,,,,,,,,1,-,-,1.0
"Weightman, Cody",,,,,2,3,-,-,-,2,1,-,1,2,1,12.0
"West, Rhylee",,-,,,,,,,,,,,-,-,-,
"Williams, Bailey",-,1,2,-,-,-,-,-,1,2,-,2,-,-,-,8.0
Totals,9,9,6,10,5,14,10,5,10,17,9,14,7,11,5,141.0
Opponent,ME,SK,BL,RI,PA,FR,HW,GW,CA,AD,GC,GE,PA,NM,FR,
