Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,Tot
"Bergman, Miller",4,4,5,,,,,7,3,3,3,10,2,1,5,,47.0
"Bonar, Aiden",10,,,7,,,,,,,,,,,,,17.0
"Coleman-Jones, Callum",,,,,,,1,,,5,6,3,8,4,6,6,39.0
"Comben, Charlie",6,-,7,5,3,6,-,,,,,,,,,,27.0
"Corr, Aidan",,5,6,6,3,1,6,3,1,,,,1,6,3,1,42.0
"Cunnington, Ben",8,15,17,7,13,16,18,6,,,,,,,,,100.0
"Curtis, Paul",2,4,3,4,,4,3,4,8,2,1,,2,4,5,4,50.0
"Davies-Uniacke, Luke",20,14,,20,11,12,,12,18,,,,,,14,18,139.0
"Drury, Blake",,,,,,,,5,4,4,,,,,,,13.0
"Ford, Eddie",,,,,,,,,,13,7,2,11,10,9,9,61.0
"Goater, Josh",7,6,3,,,,,,,,,,,,,,16.0
"Goldstein, Todd",,5,13,9,8,8,5,13,9,11,12,5,11,8,4,,121.0
"Greenwood, Hugh",7,8,5,8,9,,,,13,17,15,8,,8,6,13,117.0
"Hall, Aaron",,,,,,6,4,,,6,6,6,9,,,,37.0
"Harvey, Cooper",,,,,,,,,,,,,,,,3,3.0
"Howe, Daniel",,2,5,7,9,4,4,,,3,5,,,,,,39.0
"Larkey, Nick",2,3,3,1,3,1,3,1,2,6,4,3,5,6,3,6,52.0
"Lazzaro, Charlie",,,,,,,,1,,,4,,,,,11,16.0
"Logue, Griffin",4,4,4,,7,7,5,4,8,8,6,9,6,3,7,-,82.0
"Mahony, Jack",,,,,,,,7,6,,,,,,,,13.0
"McDonald, Luke",7,3,2,7,11,4,7,8,4,9,6,7,7,3,10,6,101.0
"McKay, Ben",,,,,6,2,-,3,3,2,2,7,6,5,4,7,47.0
"Perez, Flynn",,,,,,,,5,3,,,,,,,6,14.0
"Phillips, Will",12,,10,12,11,3,,,,14,23,18,11,13,8,,135.0
"Powell, Tom",16,10,8,8,14,8,11,,,5,11,7,8,8,,,114.0
"Scott, Bailey",7,3,4,11,8,4,7,8,10,10,11,7,9,7,9,8,123.0
"Sheezel, Harry",12,8,12,21,15,3,11,13,10,9,11,8,9,13,15,8,178.0
"Shiels, Liam",10,9,6,7,5,-,12,15,8,5,,10,22,10,6,,125.0
"Simpkin, Jy",12,8,,16,5,,6,11,18,10,15,2,,10,12,3,128.0
"Spicer, Phoenix",,,,,,,,,6,6,1,5,2,1,,,21.0
"Stephenson, Jaidyn",4,6,5,4,1,4,4,3,7,1,4,2,3,6,2,3,59.0
"Taylor, Curtis",5,5,4,4,3,5,4,-,3,,,,,,,,33.0
"Thomas, Tarryn",,,,,,,,,,,,5,7,10,11,13,46.0
"Tucker, Darcy",,,4,12,9,6,9,7,1,,,10,8,,6,3,75.0
"Turner, Kayne",4,5,5,2,2,5,2,,,,,,,,,,25.0
"Wardlaw, George",,,,,,,,,,7,3,9,13,6,14,,52.0
"Xerri, Tristan",5,,,,,,,,,,,,,,,15,20.0
"Young, Lachie",,,,,,,,,,,,,,,,11,11.0
"Ziebell, Jack",4,4,3,8,2,3,2,6,4,2,4,2,8,3,5,4,64.0
"Zurhaar, Cameron",6,12,7,3,5,6,3,6,9,,6,2,5,3,8,11,92.0
Totals,174,143,141,189,163,118,127,148,158,158,166,147,173,148,172,169,2494.0
Opponent,WC,FR,HW,CA,BL,GC,ME,SK,PA,SY,CW,ES,GW,WB,AD,GE,
