Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,Tot
"Bergman, Miller",9,8,10,,,,,12,8,11,9,13,3,4,8,,95.0
"Bonar, Aiden",9,,,5,,,,,,,,,,,,,14.0
"Coleman-Jones, Callum",,,,,,,2,,,10,6,3,7,3,5,4,40.0
"Comben, Charlie",7,3,5,2,5,5,1,,,,,,,,,,28.0
"Corr, Aidan",,17,9,9,5,3,15,13,9,,,,6,10,10,9,115.0
"Cunnington, Ben",10,15,8,4,13,13,11,3,,,,,,,,,77.0
"Curtis, Paul",4,3,7,6,,2,1,7,13,1,1,,3,7,6,7,68.0
"Davies-Uniacke, Luke",13,17,,18,15,14,,18,12,,,,,,11,15,133.0
"Drury, Blake",,,,,,,,7,6,4,,,,,,,17.0
"Ford, Eddie",,,,,,,,,,14,12,7,11,8,10,8,70.0
"Goater, Josh",10,13,6,,,,,,,,,,,,,,29.0
"Goldstein, Todd",,1,7,9,5,2,5,4,6,8,7,2,8,8,1,,73.0
"Greenwood, Hugh",5,8,4,4,1,,,,7,11,8,5,,3,4,3,63.0
"Hall, Aaron",,,,,,16,19,,,14,13,17,19,,,,98.0
"Harvey, Cooper",,,,,,,,,,,,,,,,4,4.0
"Howe, Daniel",,5,18,11,15,4,13,,,9,16,,,,,,91.0
"Larkey, Nick",4,4,3,2,2,1,5,3,6,11,9,6,7,2,6,8,79.0
"Lazzaro, Charlie",,,,,,,,-,,,3,,,,,10,13.0
"Logue, Griffin",6,8,10,,8,7,9,4,7,8,14,8,12,5,9,2,117.0
"Mahony, Jack",,,,,,,,14,6,,,,,,,,20.0
"McDonald, Luke",14,10,14,13,13,11,18,14,14,15,12,13,7,11,14,15,208.0
"McKay, Ben",,,,,4,6,10,8,8,7,3,10,10,12,6,10,94.0
"Perez, Flynn",,,,,,,,12,4,,,,,,,10,26.0
"Phillips, Will",10,,8,8,13,3,,,,7,19,13,8,12,10,,111.0
"Powell, Tom",13,14,16,12,15,10,7,,,8,10,6,12,11,,,134.0
"Scott, Bailey",13,9,14,19,11,7,13,11,17,22,22,13,17,18,21,16,243.0
"Sheezel, Harry",21,21,15,26,20,5,19,19,16,21,17,10,17,20,21,8,276.0
"Shiels, Liam",12,12,8,11,11,3,16,17,10,9,,12,17,10,7,,155.0
"Simpkin, Jy",14,14,,13,6,,20,7,15,15,14,2,,11,14,2,147.0
"Spicer, Phoenix",,,,,,,,,3,7,1,5,6,1,,,23.0
"Stephenson, Jaidyn",7,8,6,10,5,4,8,6,11,4,11,8,10,8,6,7,119.0
"Taylor, Curtis",12,8,9,17,11,13,12,8,8,,,,,,,,98.0
"Thomas, Tarryn",,,,,,,,,,,,11,12,14,12,12,61.0
"Tucker, Darcy",,,4,18,16,12,10,15,1,,,19,11,,17,11,134.0
"Turner, Kayne",4,7,6,4,2,5,4,,,,,,,,,,32.0
"Wardlaw, George",,,,,,,,,,9,9,7,13,4,14,,56.0
"Xerri, Tristan",1,,,,,,,,,,,,,,,6,7.0
"Young, Lachie",,,,,,,,,,,,,,,,12,12.0
"Ziebell, Jack",18,14,9,19,10,12,11,23,8,12,14,12,16,8,11,14,211.0
"Zurhaar, Cameron",7,16,12,9,5,9,8,11,6,,7,6,7,9,8,17,137.0
Totals,223,235,208,249,211,167,237,236,201,237,237,208,239,199,231,210,3528.0
Opponent,WC,FR,HW,CA,BL,GC,ME,SK,PA,SY,CW,ES,GW,WB,AD,GE,
