Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,SF,GF,Tot
"Brown, Charlie",-,-,,-,1,,,-,-,-,-,,,-,-,-,1.0
"Colechin, Bert",-,,-,-,-,1,,,,,-,-,-,-,-,-,1.0
"Curtis, Harry",-,1,2,2,2,1,4,1,-,1,,,,,,,14.0
"Dobrigh, Gus",1,-,-,,,2,-,1,,,,,-,-,-,-,4.0
"Drummond, Tom",-,-,-,-,-,-,-,-,,-,-,-,-,,-,,
"Green, Jack",,,,,,-,1,,,,,,,3,,-,4.0
"Hughes, Les",1,-,-,2,4,1,1,1,1,1,-,1,2,-,1,1,17.0
"Laxton, Charlie",-,2,1,-,1,-,-,,,1,1,1,,,-,1,8.0
"Lee, Charlie",-,-,1,,,,,,,,-,,1,1,-,,3.0
"Lee, Dick",2,,,4,,,,,5,-,,,1,,2,3,17.0
"Lumsden, Ernie",-,-,,-,-,-,-,-,-,1,-,-,1,-,1,2,5.0
"MacKechnie, Sam",-,,-,-,,,-,,-,-,,,,1,,,1.0
"Maguire, Mick",2,1,2,1,-,1,,,1,1,,1,,,,,10.0
"McCarthy, Con",,-,-,-,-,-,1,-,-,-,-,-,-,,-,-,1.0
"McHale, Jock",,,,,,,1,,,,,,,,,,1.0
"McKenzie, Stan",,-,,,-,-,-,-,-,,,-,-,-,,,
"Mutch, Alec",,,,,,,,-,-,-,-,-,-,-,-,-,
"OConnor, Jack",,-,,,1,-,,,,,,,,,,,1.0
"Pannam, Charles",-,2,-,-,-,-,-,-,-,-,-,-,-,,,-,2.0
"Reynolds, Pen",-,-,1,-,1,-,-,-,-,-,2,-,1,-,-,-,5.0
"Saunders, Harry",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sheehy, Maurie",-,-,-,-,-,1,1,-,-,-,3,1,-,-,-,-,6.0
"Twomey, Bill",,,,,,,,-,-,,-,-,-,-,-,-,
"Walton, Bill",,,2,-,-,-,2,1,,,2,-,-,2,-,-,9.0
"Wilson, Percy",-,1,-,-,-,-,-,-,-,-,1,-,,-,-,-,2.0
"Wraith, Tom",2,-,-,2,4,,3,2,4,-,1,1,2,2,3,-,26.0
"Yates, Stan",,,-,,,,,-,1,1,1,1,2,-,,,6.0
Totals,8,7,9,11,14,7,14,6,12,6,11,6,10,9,7,7,144.0
Opponent,CA,GE,SM,RI,SK,FI,ES,CA,GE,SM,RI,SK,FI,ES,SK,SM,
