Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,SF,GF,Tot
"Abbott, Paddy",,,,,,,-,,,,-,,,-,,,,,
"Bayliss, George",3,5,3,5,4,2,4,1,3,1,3,7,6,4,5,6,1,,63.0
"Bettles, Artie",-,-,,,,,,,-,-,,,,-,-,,,,
"Carew, Bobby",,,-,-,-,-,-,1,,,,,,,,,,-,1.0
"Don, Donald",3,2,-,2,-,2,-,2,1,-,1,3,1,4,2,6,-,2,31.0
"Hall, Clarrie",1,2,2,1,3,2,3,1,2,-,-,,1,,,-,-,1,19.0
"Harley, Frank",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,2,1,3.0
"Hede, Reg",-,-,-,-,-,-,,-,-,-,-,,,-,-,-,-,-,
"Herbert, Barney",2,2,1,-,-,2,1,-,-,1,-,1,-,2,1,1,-,-,14.0
"Hislop, Max",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Huggard, Frank",-,-,-,-,,,,,,,-,-,-,,,,,,
"Hughes, Frank",1,-,-,1,1,2,1,-,-,-,1,-,-,3,1,-,-,-,11.0
"James, Billy",,,,,,,,,,,,,,,,,,1,1.0
"James, Hughie",-,2,-,1,-,2,,5,1,-,-,1,2,1,2,1,1,1,20.0
"Karthaus, Jim",,,,,,,,,,,,-,-,-,-,-,,,
"Mahoney, Bill",,,,,,,,,,,,-,,3,-,,,,3.0
"McIntosh, Norm",-,-,,,-,-,-,-,-,,-,1,-,,,,,,1.0
"Minogue, Dan",-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,,-,2.0
"Moffatt, Dave",,,2,-,1,-,-,-,1,1,,-,1,1,1,1,-,-,9.0
"Morris, Stan",-,-,-,-,-,-,,-,-,-,-,-,1,-,-,,-,-,1.0
"Ogilvie, George",,,,,,,,,,,,,,,,-,-,,
"Parkinson, George",,,,-,,,,,,,-,-,,,,,-,-,
"Rush, Gerald",-,-,1,,-,,5,3,-,-,-,3,2,2,-,-,-,,16.0
"Smith, Jimmy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Stott, Wilfred",,,,,,-,,,,,-,,,,,,,,
"Taylor, Ernie",,,,,,,,,,,,,-,,-,-,-,-,
"Thorp, Vic",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Tuck, Charlie",,,,,,,-,,,,,,,,,,,,
"Weatherill, Bob",1,1,,-,,,4,,-,-,,,,,,,-,1,7.0
"Weatherill, George",,,-,,-,-,-,-,,-,,,,,-,-,,,
Totals,11,14,9,11,9,12,19,13,8,3,5,16,14,20,12,15,4,7,202.0
Opponent,FI,CA,GE,CW,SM,ME,SK,ES,FI,CA,CW,GE,SM,ME,SK,ES,CA,CW,
