Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,SF,Tot
"Alessio, Harry",-,-,-,-,-,-,2,1,-,4,1,3,4,15.0
"Barnes, Bert",1,1,,,,,,,,,,,,2.0
"Bayliss, George",-,1,-,,3,-,2,3,2,,,,-,11.0
"Bettles, Artie",-,-,-,,-,-,-,-,,-,-,-,-,
"Briscoe, Billy",,,,,,,-,,-,,,,,
"Burke, Leo",-,-,-,-,,-,-,-,-,-,-,-,-,
"Burns, Bill",,-,,,,,,,,,,,,
"Collopy, Will",,,,,,,,-,,,,,,
"Cronk, Jack",-,1,-,,,,,,,,-,,,1.0
"Derrick, Ted",-,-,,1,4,-,-,-,-,1,,,,6.0
"Eason, Alec",,-,-,2,3,-,1,1,-,-,-,1,-,8.0
"Hall, Clarrie",,1,1,-,1,1,,,,,,2,2,8.0
"Harley, Frank",4,-,2,1,,,,,,,,1,4,12.0
"Hede, Reg",-,,-,-,-,-,,-,-,-,-,-,-,
"Herbert, Barney",1,-,-,1,-,-,-,1,-,3,-,-,-,6.0
"Hood, Edmund",,,,-,,,,,,,,,,
"James, Hughie",2,,,,,,,,,,,,,2.0
"Kearney, Jim",,,,,,,-,-,-,-,-,-,-,
"Kiernan, Basil",,,,-,-,,,,,,,,,
"Marsham, Harry",,,,,,-,1,-,-,1,2,,-,4.0
"Martini, Percy",,,3,1,3,1,5,2,1,1,4,1,,22.0
"Maybury, Percy",1,,1,1,-,-,-,-,-,-,1,-,-,4.0
"Moffatt, Dave",-,1,-,-,1,-,-,-,1,1,-,1,-,5.0
"Reeves, Syd",,,,,-,-,,,,,,,,
"Richardson, Howard",,,,,3,1,-,1,2,1,2,-,,10.0
"Shand, Jimmy",-,-,-,-,-,,-,-,,1,-,-,-,1.0
"Stewart, Ray",-,-,-,-,,,,,-,-,-,-,-,
"Taylor, Roy",1,-,-,-,1,-,-,-,-,1,-,-,-,3.0
"Thomas, Bill",-,-,-,-,-,-,-,,-,-,-,-,-,
"Thorp, Vic",-,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,10,5,7,7,19,3,11,9,6,14,10,9,10,120.0
Opponent,CW,FI,CA,CW,FI,CA,CW,FI,CA,CW,FI,CA,CA,
