Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,Tot
"Adams, Taylor",-,-,1,-,-,,-,1,-,-,-,-,-,1,3,1,7.0
"Bianco, Trent",,,,,,,,,,,,,,,,-,
"Cameron, Darcy",-,1,-,,,,,,,-,-,1,1,1,-,-,4.0
"Carmichael, Josh",,,-,,,,,,,,,,,,,,
"Cox, Mason",2,-,,,,,,1,3,3,2,2,1,1,1,3,19.0
"Crisp, Jack",1,1,-,-,-,-,-,1,-,-,-,1,-,1,-,-,5.0
"Daicos, Josh",-,-,-,-,1,-,-,1,-,1,1,-,-,-,-,1,5.0
"Daicos, Nick",-,1,1,2,-,-,-,-,-,-,1,1,-,-,1,1,8.0
"Elliott, Jamie",2,1,2,2,1,2,1,3,3,1,1,,,4,4,7,34.0
"Frampton, Billy",,-,-,-,-,1,-,1,,,,-,-,,-,1,3.0
"Ginnivan, Jack",,,,,1,2,-,-,1,-,3,-,,,,,7.0
"Harrison, Harvey",,,,,,,,,,,,1,-,-,-,,1.0
"Hill, Bobby",2,-,2,1,1,-,2,-,1,-,1,-,1,-,2,2,15.0
"Hoskin-Elliott, Will",-,-,-,-,-,-,-,-,1,-,1,-,1,1,3,-,7.0
"Howe, Jeremy",-,,,,,,,,,,,,,-,-,-,
"Johnson, Ash",,,2,1,2,2,1,1,2,2,3,1,-,-,,2,19.0
"Kelly, Will",,,,,,-,-,,,,,,,,,,
"Kreuger, Nathan",,,,,,-,-,,,,,,,,,,
"Lipinski, Patrick",,,,,,,,,,,,,-,-,-,2,2.0
"Markov, Oleg",,,,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Maynard, Brayden",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"McCreery, Beau",1,1,-,1,1,1,-,-,2,1,-,-,-,-,-,-,8.0
"McInnes, Reef",1,1,,-,,,,,-,,,,1,,,,3.0
"McStay, Daniel",1,3,1,-,-,,,,,,,,,,,,5.0
"Mihocek, Brody",2,3,1,2,2,1,1,2,2,3,3,7,2,1,1,,33.0
"Mitchell, Tom",1,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,4.0
"Moore, Darcy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Murphy, Nathan",-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Noble, John",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Pendlebury, Scott",-,-,-,-,-,1,,1,-,-,-,-,-,-,-,-,2.0
"Quaynor, Isaac",-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,2.0
"Ruscoe, Trey",,,,,,-,,,,,,,,,,,
"Sidebottom, Steele",-,-,-,-,1,1,1,-,1,-,-,,,,,,4.0
"Wilson, Tom",,,,,-,,,,,,,,,,,,
"de Goey, Jordan",3,1,-,1,,2,-,-,-,-,-,-,,,,-,7.0
Totals,16,14,10,10,10,13,7,13,16,13,17,14,7,10,16,20,206.0
Opponent,GE,PA,RI,BL,SK,ES,AD,SY,GW,CA,NM,WC,ME,AD,GC,WB,
