teams,disposals,round,Player,odds,home,away
brisbane v west-coast,To Get 20 or More Disposals,R17,jarryd lyons,1.20,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,will ashcroft,1.20,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,dayne zorko,1.73,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,zac bailey,2.15,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,conor mckenna,2.25,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,keidean coleman,2.25,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,darcy wilmot,2.60,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,joe daniher,2.65,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,deven robertson,2.75,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,jaspa fletcher,3.40,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,oscar mcinerney,4.10,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,cam rayner,4.30,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,harris andrews,4.30,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,ryan lester,5.80,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,brandon starcevich,6.25,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,tim kelly,1.13,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,liam duggan,1.38,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,alex witherden,1.40,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,dom sheed,1.43,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,jayden hunt,2.55,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,jack petruccelle,2.70,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,andrew gaff,2.85,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,reuben ginbey,3.35,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,tom barrass,4.00,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,bailey j. williams (wce),4.10,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,elijah hewett,4.10,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,xavier o'neill,5.60,BRL,WCE
brisbane v west-coast,To Get 20 or More Disposals,R17,brady hough,5.90,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,lachie neale,1.20,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,hugh mccluggage,1.70,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,will ashcroft,1.86,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,jarryd lyons,1.94,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,dayne zorko,3.70,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,conor mckenna,6.00,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,zac bailey,6.00,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,darcy wilmot,6.25,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,keidean coleman,6.25,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,joe daniher,8.00,BRL,WCE
