teams,disposals,round,Player,odds,home,away
st-kilda v melbourne,To Get 25 or More Disposals,R17,james jordon,4.00,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,ed langdon,4.10,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,tom sparrow,4.90,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,steven may,5.50,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,jake bowey,6.75,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,taj woewodin,8.25,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,jake lever,8.50,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,max gawn,14.00,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,brodie grundy,16.00,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,jack sinclair,1.88,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,brad crouch,2.40,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,jack steele,4.25,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,nasiah wanganeen-milera,5.00,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,mason wood,12.00,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,zak jones,13.00,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,jack billings,14.00,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,marcus windhager,16.00,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,callum wilkie,17.00,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,rowan marshall,21.00,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,sebastian ross,26.00,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,christian petracca,1.83,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,jack viney,2.65,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,angus brayshaw,3.35,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,lachie hunter,3.90,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,christian salem,5.50,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,trent rivers,10.00,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,ed langdon,12.50,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,james jordon,12.50,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,tom sparrow,14.00,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,jake lever,23.00,STK,MEL
st-kilda v melbourne,To Get 30 or More Disposals,R17,steven may,23.00,STK,MEL
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,dan houston,SUS,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,dylan williams,1.31,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,jason horne-francis,1.41,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,willem drew,1.50,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,travis boak,1.51,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,jeremy finlayson,1.58,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,ryan burton,1.58,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,kane farrell,1.62,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,miles bergman,1.93,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,darcy byrne-jones,2.10,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,sam powell-pepper,2.12,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,aliir aliir,2.30,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,sam hayes,2.30,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,charlie dixon,3.05,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,junior rioli,4.70,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,darcy macpherson,1.12,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,lachie weller,1.14,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,matt rowell,1.15,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,brayden fiorini,1.25,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,sam flanders,1.25,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,wil powell,1.26,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,david swallow,1.34,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,brandon ellis,1.42,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,ben ainsworth,1.48,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,jarrod witts,1.62,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,bailey humphrey,1.65,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,charlie ballard,1.82,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,jack lukosius,1.94,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,nick holman,2.30,POR,GCS
port-adelaide v gold-coast,To Get 15 or More Disposals,R17,sam collins,3.50,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,zak butters,1.08,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,connor rozee,1.14,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,dan houston,1.27,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,ollie wines,1.40,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,dylan williams,2.45,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,jason horne-francis,2.55,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,travis boak,2.80,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,kane farrell,2.85,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,willem drew,3.35,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,ryan burton,3.75,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,jeremy finlayson,3.80,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,darcy byrne-jones,5.60,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,miles bergman,5.90,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,sam powell-pepper,7.00,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,aliir aliir,8.00,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,sam hayes,8.25,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,noah anderson,1.10,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,touk miller,1.17,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,matt rowell,1.61,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,darcy macpherson,1.69,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,lachie weller,1.78,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,sam flanders,1.79,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,brayden fiorini,1.98,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,wil powell,2.25,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,brandon ellis,2.55,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,david swallow,2.65,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,ben ainsworth,3.35,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,jarrod witts,3.40,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,bailey humphrey,3.50,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,charlie ballard,4.90,POR,GCS
port-adelaide v gold-coast,To Get 20 or More Disposals,R17,jack lukosius,5.90,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,zak butters,1.42,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,connor rozee,1.64,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,dan houston,2.25,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,ollie wines,2.55,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,kane farrell,6.25,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,jason horne-francis,6.50,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,dylan williams,7.00,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,travis boak,7.50,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,willem drew,12.50,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,jeremy finlayson,14.00,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,ryan burton,15.00,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,darcy byrne-jones,19.00,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,noah anderson,1.53,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,touk miller,1.73,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,matt rowell,2.95,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,sam flanders,3.10,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,darcy macpherson,3.75,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,lachie weller,4.00,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,brayden fiorini,4.10,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,brandon ellis,6.00,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,wil powell,6.50,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,david swallow,8.25,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,jarrod witts,9.50,POR,GCS
port-adelaide v gold-coast,To Get 25 or More Disposals,R17,bailey humphrey,10.00,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,zak butters,2.35,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,connor rozee,3.05,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,dan houston,5.30,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,ollie wines,6.25,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,kane farrell,15.00,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,jason horne-francis,16.00,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,travis boak,21.00,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,dylan williams,23.00,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,noah anderson,2.85,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,touk miller,3.30,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,sam flanders,5.90,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,matt rowell,6.25,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,brayden fiorini,9.75,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,darcy macpherson,10.00,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,lachie weller,11.00,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,brandon ellis,15.00,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,wil powell,19.00,POR,GCS
port-adelaide v gold-coast,To Get 30 or More Disposals,R17,jarrod witts,26.00,POR,GCS
geelong v north-melbourne,To Get 15 or More Disposals,R17,mitch duncan,1.07,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,zach tuohy,1.19,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,gryan miers,1.29,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,tom atkins,1.30,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,max holmes,1.34,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,tanner bruhn,1.43,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,mark blicavs,1.45,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,brad close,1.50,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,zach guthrie,1.66,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,mark o'connor,1.93,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,oisin mullin,2.15,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,gary rohan,2.75,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,rhys stanley,3.15,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,esava ratugolea,3.30,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,tom hawkins,3.80,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,oliver henry,3.90,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,tyson stengle,4.00,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,tarryn thomas,1.19,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,bailey scott,1.20,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,charlie lazzaro,1.25,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,darcy tucker,1.25,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,luke mcdonald,1.25,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,lachie young,1.41,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,george wardlaw,1.42,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,flynn perez,1.69,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,tristan xerri,1.70,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,aidan corr,1.85,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,griffin logue,1.98,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,cameron zurhaar,1.99,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,eddie ford,2.12,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,cooper harvey,2.30,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,jaidyn stephenson,3.20,GEE,NTH
geelong v north-melbourne,To Get 15 or More Disposals,R17,callum coleman-jones,3.80,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,tom stewart,1.22,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,patrick dangerfield,1.30,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,mitch duncan,1.36,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,zach tuohy,1.76,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,gryan miers,2.10,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,max holmes,2.20,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,tom atkins,2.45,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,tanner bruhn,2.60,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,brad close,3.40,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,zach guthrie,3.40,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,mark blicavs,3.50,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,mark o'connor,5.50,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,oisin mullin,7.00,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,gary rohan,8.75,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,harry sheezel,1.08,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,luke davies-uniacke,1.16,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,jy simpkin,1.31,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,tarryn thomas,1.75,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,bailey scott,1.77,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,darcy tucker,2.20,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,charlie lazzaro,2.25,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,luke mcdonald,2.45,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,george wardlaw,2.55,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,lachie young,2.55,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,aidan corr,3.60,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,flynn perez,4.25,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,tristan xerri,4.40,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,cameron zurhaar,4.90,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,griffin logue,5.90,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,eddie ford,6.75,GEE,NTH
geelong v north-melbourne,To Get 20 or More Disposals,R17,cooper harvey,8.25,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,tom stewart,1.98,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,patrick dangerfield,2.15,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,mitch duncan,2.20,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,zach tuohy,3.45,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,gryan miers,4.60,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,max holmes,5.10,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,tanner bruhn,6.50,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,tom atkins,7.25,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,zach guthrie,9.75,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,brad close,12.00,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,mark blicavs,14.00,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,harry sheezel,1.44,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,luke davies-uniacke,1.72,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,jy simpkin,2.40,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,tarryn thomas,3.35,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,bailey scott,3.45,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,charlie lazzaro,6.25,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,darcy tucker,6.25,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,george wardlaw,6.25,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,lachie young,6.25,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,luke mcdonald,8.25,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,aidan corr,9.25,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,cameron zurhaar,17.00,GEE,NTH
geelong v north-melbourne,To Get 25 or More Disposals,R17,tristan xerri,17.00,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,tom stewart,4.10,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,mitch duncan,4.20,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,patrick dangerfield,4.90,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,zach tuohy,7.50,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,gryan miers,11.00,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,max holmes,13.00,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,tanner bruhn,16.00,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,tom atkins,23.00,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,zach guthrie,26.00,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,harry sheezel,2.40,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,luke davies-uniacke,3.30,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,jy simpkin,6.00,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,tarryn thomas,7.25,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,bailey scott,7.75,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,george wardlaw,17.00,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,lachie young,17.00,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,darcy tucker,19.00,GEE,NTH
geelong v north-melbourne,To Get 30 or More Disposals,R17,charlie lazzaro,21.00,GEE,NTH
essendon v adelaide,To Get 15 or More Disposals,R17,ben hobbs,1.06,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,jye caldwell,1.06,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,nic martin,1.06,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,dyson heppell,1.10,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,mason redman,1.10,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,jordan ridley,1.12,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,andrew mcgrath,1.13,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,jake stringer,1.55,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,sam durham,1.66,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,archie perkins,1.69,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,jayden laverde,1.93,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,kyle langford,1.96,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,jake kelly,2.25,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,will snelling,2.55,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,brandon zerk-thatcher,3.60,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,andrew phillips,3.90,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,matt guelfi,3.90,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,mitch hinge,1.13,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,brodie smith,1.19,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,rory sloane,1.22,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,wayne milera,1.22,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,chayce jones,1.32,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,josh rachele,1.42,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,lachlan sholl,1.43,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,izak rankine,1.44,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,jake soligo,1.53,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,lachlan murphy,1.53,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,ned mchenry,1.55,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,josh worrell,1.58,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,reilly o'brien,1.69,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,taylor walker,2.15,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,riley thilthorpe,2.30,ESS,ADE
essendon v adelaide,To Get 15 or More Disposals,R17,luke pedlar,2.75,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,ben hobbs,1.40,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,jye caldwell,1.40,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,nic martin,1.41,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,mason redman,1.54,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,andrew mcgrath,1.69,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,dyson heppell,1.69,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,jordan ridley,1.71,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,jake stringer,3.05,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,archie perkins,4.30,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,sam durham,4.30,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,jayden laverde,4.60,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,kyle langford,4.80,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,jake kelly,5.00,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,will snelling,10.00,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,ben keays,1.08,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,mitch hinge,1.70,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,brodie smith,1.76,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,rory sloane,1.84,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,wayne milera,2.10,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,chayce jones,2.20,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,izak rankine,2.65,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,josh rachele,3.00,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,lachlan sholl,3.00,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,ned mchenry,3.05,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,jake soligo,3.50,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,josh worrell,3.60,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,lachlan murphy,4.00,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,reilly o'brien,4.30,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,taylor walker,5.70,ESS,ADE
essendon v adelaide,To Get 20 or More Disposals,R17,riley thilthorpe,8.00,ESS,ADE
essendon v adelaide,To Get 25 or More Disposals,R17,darcy parish,1.19,ESS,ADE
essendon v adelaide,To Get 25 or More Disposals,R17,zach merrett,1.25,ESS,ADE
essendon v adelaide,To Get 25 or More Disposals,R17,jye caldwell,2.55,ESS,ADE
essendon v adelaide,To Get 25 or More Disposals,R17,nic martin,2.55,ESS,ADE
