Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Aliir, Aliir",7,5,8,8,11,3,3,3,9,10,8,4,7,5,91.0
"Bergman, Miles",4,2,-,-,5,7,5,1,2,4,1,1,3,3,38.0
"Boak, Travis",,2,-,-,1,1,1,-,1,1,,,1,2,10.0
"Bonner, Riley",,,1,,,,-,-,-,1,1,2,-,-,5.0
"Burgoyne, Jase",,1,,,,,4,,,,,,,,5.0
"Burton, Ryan",3,-,,,3,1,4,6,2,1,5,2,,2,29.0
"Butters, Zak",1,-,1,1,5,-,1,3,-,2,1,-,-,-,15.0
"Byrne-Jones, Darcy",4,3,3,-,-,2,4,2,,2,1,6,1,3,31.0
"Clurey, Tom",,,7,,,,,,,,,,,,7.0
"Dixon, Charlie",-,5,1,3,4,,3,2,,,,,1,4,23.0
"Drew, Willem",1,1,1,2,1,1,1,-,1,1,3,3,-,2,18.0
"Duursma, Xavier",-,3,-,2,1,-,1,,,,,,,,7.0
"Evans, Francis",-,,,,,,,-,-,-,2,,,,2.0
"Fantasia, Orazio",-,-,-,,,,,,,,,,,,
"Farrell, Kane",5,3,6,1,5,1,,,1,3,3,2,-,2,32.0
"Finlayson, Jeremy",,,2,2,2,2,2,4,-,6,3,3,2,3,31.0
"Georgiades, Mitch",-,-,,,,,,,,,,,,,
"Horne-Francis, Jason",3,-,-,1,1,-,-,1,-,2,-,1,-,1,10.0
"Houston, Dan",3,5,8,-,4,1,2,3,3,7,3,3,1,3,46.0
"Jonas, Tom",4,11,5,6,,10,,2,5,7,,,,,50.0
"Jones, Lachie",1,1,2,,,,,,,,7,7,6,,24.0
"Lord, Ollie",,,,,,3,6,,4,2,3,5,,,23.0
"Lycett, Scott",2,2,-,3,2,,,,,6,2,1,1,4,23.0
"Marshall, Todd",3,-,1,4,3,-,,6,1,,,2,3,1,24.0
"McEntee, Jed",,,,1,1,3,1,1,-,2,1,-,2,-,12.0
"McKenzie, Trent",1,,,6,9,6,7,4,4,3,4,8,2,7,61.0
"Mead, Jackson",,,,1,-,,,,1,2,2,,,,6.0
"Narkle, Quinton",,,,,,,,,,,,,,1,1.0
"Powell-Pepper, Sam",-,1,2,1,3,3,1,2,2,1,-,-,1,1,18.0
"Rioli, Junior",3,1,1,1,1,1,1,1,,,-,1,-,,11.0
"Rozee, Connor",-,2,2,2,3,-,4,2,1,2,3,1,-,-,22.0
"Sinn, Josh",,,,,,,,,,,,2,-,-,2.0
"Teakle, Brynn",,,,,,1,2,2,2,,,,,,7.0
"Williams, Dylan",,,,1,2,1,4,4,2,1,-,3,2,2,22.0
"Wines, Ollie",1,-,-,-,3,-,2,1,-,-,4,2,2,-,15.0
Totals,46,48,51,46,70,47,59,50,41,66,57,59,35,46,721.0
Opponent,BL,CW,AD,SY,WB,WC,SK,ES,NM,ME,RI,HW,WB,GE,
