Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Aliir, Aliir",1,2,7,1,4,-,-,1,2,1,-,1,3,1,24.0
"Bergman, Miles",2,3,5,2,3,3,1,2,4,3,2,3,1,1,35.0
"Boak, Travis",,-,3,2,5,4,6,-,2,2,,,4,3,31.0
"Bonner, Riley",,,-,,,,3,4,2,-,1,2,-,-,12.0
"Burgoyne, Jase",,-,,,,,4,,,,,,,,4.0
"Burton, Ryan",1,1,,,3,-,4,1,6,1,1,5,,1,24.0
"Butters, Zak",1,1,2,2,2,6,3,6,2,3,-,7,5,3,43.0
"Byrne-Jones, Darcy",1,1,2,-,4,7,3,1,,12,1,-,10,6,48.0
"Clurey, Tom",,,2,,,,,,,,,,,,2.0
"Dixon, Charlie",-,2,1,5,5,,1,1,,,,,3,3,21.0
"Drew, Willem",4,5,10,4,6,10,8,8,5,10,5,9,4,2,90.0
"Duursma, Xavier",-,1,1,4,4,3,-,,,,,,,,13.0
"Evans, Francis",-,,,,,,,1,2,6,-,,,,9.0
"Fantasia, Orazio",2,2,1,,,,,,,,,,,,5.0
"Farrell, Kane",1,4,4,-,1,3,,,4,1,1,2,2,2,25.0
"Finlayson, Jeremy",,,3,2,3,-,3,2,1,-,1,5,2,2,24.0
"Georgiades, Mitch",2,-,,,,,,,,,,,,,2.0
"Horne-Francis, Jason",3,1,7,3,2,4,7,5,5,4,-,2,2,1,46.0
"Houston, Dan",1,3,3,5,5,3,7,3,5,2,2,3,-,2,44.0
"Jonas, Tom",1,-,2,-,,2,,1,4,2,,,,,12.0
"Jones, Lachie",2,-,1,,,,,,,,1,2,4,,10.0
"Lord, Ollie",,,,,,-,3,,2,-,3,1,,,9.0
"Lycett, Scott",3,1,5,5,2,,,,,9,5,-,2,3,35.0
"Marshall, Todd",3,1,4,6,3,2,,-,-,,,1,2,4,26.0
"McEntee, Jed",,,,3,5,3,3,3,5,1,1,3,-,6,33.0
"McKenzie, Trent",1,,,1,-,3,2,-,4,1,2,-,1,1,16.0
"Mead, Jackson",,,,4,3,,,,2,4,3,,,,16.0
"Narkle, Quinton",,,,,,,,,,,,,,1,1.0
"Powell-Pepper, Sam",5,4,3,3,1,1,2,5,5,3,1,5,2,3,43.0
"Rioli, Junior",4,1,1,3,3,2,5,3,,,3,2,3,,30.0
"Rozee, Connor",6,3,3,4,6,7,8,3,3,5,2,2,7,6,65.0
"Sinn, Josh",,,,,,,,,,,,-,-,1,1.0
"Teakle, Brynn",,,,,,2,7,3,2,,,,,,14.0
"Williams, Dylan",,,,1,2,1,1,-,2,1,-,-,1,-,9.0
"Wines, Ollie",-,3,6,3,3,2,1,2,8,4,4,5,6,6,53.0
Totals,44,39,76,63,75,68,82,55,77,75,39,60,64,58,875.0
Opponent,BL,CW,AD,SY,WB,WC,SK,ES,NM,ME,RI,HW,WB,GE,
