Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Aliir, Aliir",6,2,3,5,4,3,4,4,3,2,5,3,2,2,48.0
"Bergman, Miles",5,8,3,3,1,4,6,3,5,3,6,5,3,3,58.0
"Boak, Travis",,6,5,8,5,11,15,12,6,7,,,16,4,95.0
"Bonner, Riley",,,4,,,,2,7,4,3,6,5,2,1,34.0
"Burgoyne, Jase",,-,,,,,4,,,,,,,,4.0
"Burton, Ryan",3,-,,,4,1,3,3,3,2,1,4,,3,27.0
"Butters, Zak",11,9,6,13,13,16,18,12,15,19,12,9,14,14,181.0
"Byrne-Jones, Darcy",15,6,2,-,4,4,5,3,,4,1,3,3,6,56.0
"Clurey, Tom",,,1,,,,,,,,,,,,1.0
"Dixon, Charlie",3,6,1,12,4,,5,6,,,,,2,4,43.0
"Drew, Willem",16,8,8,6,6,13,10,12,9,11,4,9,8,8,128.0
"Duursma, Xavier",13,5,4,9,5,7,2,,,,,,,,45.0
"Evans, Francis",1,,,,,,,2,8,2,-,,,,13.0
"Fantasia, Orazio",4,3,3,,,,,,,,,,,,10.0
"Farrell, Kane",6,4,3,3,4,1,,,2,4,8,2,-,5,42.0
"Finlayson, Jeremy",,,5,4,2,4,4,4,5,2,2,2,3,-,37.0
"Georgiades, Mitch",5,4,,,,,,,,,,,,,9.0
"Horne-Francis, Jason",8,7,4,10,4,8,11,3,4,10,8,7,3,4,91.0
"Houston, Dan",9,3,4,5,3,8,8,5,9,9,8,6,5,12,94.0
"Jonas, Tom",4,1,3,5,,2,,1,6,1,,,,,23.0
"Jones, Lachie",5,2,5,,,,,,,,6,2,9,,29.0
"Lord, Ollie",,,,,,5,2,,5,6,8,5,,,31.0
"Lycett, Scott",12,8,9,8,2,,,,,7,11,8,9,3,77.0
"Marshall, Todd",3,3,1,3,2,2,,2,-,,,4,1,2,23.0
"McEntee, Jed",,,,5,7,2,5,4,4,7,3,3,5,2,47.0
"McKenzie, Trent",3,,,3,-,1,2,1,5,-,1,3,1,2,22.0
"Mead, Jackson",,,,4,3,,,,5,3,2,,,,17.0
"Narkle, Quinton",,,,,,,,,,,,,,6,6.0
"Powell-Pepper, Sam",8,10,5,5,8,6,7,5,5,5,6,11,4,6,91.0
"Rioli, Junior",7,7,8,1,1,4,1,5,,,-,4,5,,43.0
"Rozee, Connor",11,8,10,11,9,9,7,18,11,9,10,7,11,11,142.0
"Sinn, Josh",,,,,,,,,,,,-,3,3,6.0
"Teakle, Brynn",,,,,,8,8,5,4,,,,,,25.0
"Williams, Dylan",,,,3,2,2,3,7,6,4,1,7,3,5,43.0
"Wines, Ollie",17,13,12,13,13,18,18,16,14,18,14,17,8,18,209.0
Totals,175,123,109,139,106,139,150,140,138,138,123,126,120,124,1850.0
Opponent,BL,CW,AD,SY,WB,WC,SK,ES,NM,ME,RI,HW,WB,GE,
