Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,SF,PF,GF,Tot
"Barningham, Alick",-,,,,,,,,,,,,,,,,,,,
"Baud, Alf",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Brown, Ted",,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Burleigh, Herb",-,2,1,3,2,3,3,-,3,2,5,4,2,3,4,3,2,-,4,46.0
"Calwell, George",-,-,-,,-,1,-,-,-,,,-,-,1,,-,,,,2.0
"Challis, George",1,-,-,-,,-,1,-,-,-,-,,-,-,-,1,-,-,-,3.0
"Daykin, Percy",1,-,-,1,-,1,2,-,-,1,2,1,-,-,1,2,-,-,1,13.0
"Dick, Billy",-,-,-,-,-,-,-,-,-,,,,,,,,,,,
"Fisher, Charlie",1,1,-,-,,,,,,,1,,,,,2,-,1,-,6.0
"Gardiner, Vin",,,,2,5,2,3,3,1,1,1,3,3,,,1,5,2,3,35.0
"Gordon, Vic",,,,,,,,,,-,,,,,,,,,,
"Green, Gordon",,,,,,,,,,,,,1,,4,-,3,2,1,11.0
"Hammond, Charlie",-,-,-,-,-,1,-,-,-,-,2,1,1,1,1,1,-,-,2,10.0
"Haughton, Harry",-,-,,,-,1,1,1,1,-,-,-,-,-,1,-,-,-,-,5.0
"Hore, Bill",,,,-,-,,,,,,,,,,,,,,,
"Jamieson, Ernie",-,-,-,-,-,-,-,-,-,-,-,,,-,-,,-,-,-,
"Keily, Dan",,,,,-,,,,,,,-,-,-,-,-,,,,
"Leehane, Steve",-,-,-,-,,-,-,,,,-,-,,,,,,,,
"McDonald, Andy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"McGregor, Rod",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Morris, Jimmy",1,2,1,-,-,-,1,-,-,1,-,-,-,1,1,1,-,-,-,9.0
"Muir, George",,,,,,,,,,,,1,,,,,,,,1.0
"OBrien, Paddy",1,-,-,-,,,,-,-,-,-,-,-,-,1,-,-,-,-,2.0
"Robinson, Billy",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sharp, Athol",-,-,-,3,2,1,3,1,-,1,-,1,1,-,1,2,-,1,-,17.0
"Shortill, Joe",,,,-,-,,,,,-,,,,-,1,,,,,1.0
"Triplett, Frank",,,-,,,,,,,,,,,,,,,,,
"Valentine, Viv",-,2,1,1,-,1,1,-,-,1,1,-,1,3,2,1,1,-,-,16.0
Totals,5,8,3,10,9,11,15,5,5,7,12,11,9,9,17,14,11,6,11,178.0
Opponent,FI,SM,ES,ME,GE,CW,RI,SK,FI,SM,ES,ME,GE,CW,RI,SK,ME,FI,CW,
