Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,Tot
"Anderson, Lindsay",,,,-,,,,,,,,,,,,,,,
"Anderson, Syd",,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Boully, Harry",,,,,,,2,1,,,,,,,,,,,3.0
"Bowe, Bill",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Britt, Arthur",,,,2,,,,,,,,,,,,,,,2.0
"Byrne, Jim",,,,,,,,,,,,-,,,,,,,
"Cathie, George",1,-,-,1,2,-,-,2,-,-,,,,2,-,-,,,8.0
"Coutie, Vin",4,-,-,2,-,-,-,-,1,-,-,2,,,,,,,9.0
"Craig, Bobby",,,,,,,,,,,,,,,-,-,-,,
"Dalrymple, Syd",,,,,,,,,,,,,,,,,-,-,
"Drane, Horrie",,,,,,,,-,,,,,,-,,,,,
"Gardner, Corrie",-,-,-,-,,,,,,,,,,,,,-,,
"Gardner, Eric",,,,,-,-,1,2,-,1,-,-,-,-,-,-,-,-,4.0
"Geddes, Stewart",,1,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,1.0
"Herring, Maurie",-,-,-,-,-,-,-,-,,1,-,-,,1,,-,-,-,2.0
"Hocking, Ern",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,1,-,-,1.0
"Langley, Frank",1,-,,,1,-,-,-,2,-,-,-,1,1,-,2,-,1,9.0
"Leith, Jack",5,-,2,1,1,-,,,,,-,,1,4,4,2,4,2,26.0
"Lewis, Austin",,,,,,,-,-,-,,-,-,1,-,-,-,,-,1.0
"McClelland, Bill",-,-,-,,-,-,-,,,-,-,-,-,-,-,,,-,
"Moodie, George",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,1,1,-,2.0
"Moriarty, Dan",-,-,-,,,,,-,-,-,,-,-,-,-,-,-,,
"Parkin, Harry",-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,
"Paul, Laurie",,,-,,,,,,,,,,,,,,,,
"Puflett, Bob",,,,,,-,-,,-,,-,,,,,,,,
"Purse, Jack",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Rainey, Les",2,1,-,2,2,1,1,-,-,1,2,,-,1,1,1,1,1,17.0
"Reid, Curtis",-,,,-,,,,,,,,,,,,,,,
"Rippon, Les",,,,,,,,,,-,-,1,-,-,,,,,1.0
"Ryan, Tommy",-,,,-,-,1,3,3,1,-,2,2,-,,2,,3,3,20.0
"Sholl, Eddie",,,,,-,,,,,,,,,,,,,,
"Sowden, Arthur",-,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,1,-,2.0
"Wardill, Dick",-,1,1,,,,,,,,,,,,,,,,2.0
"Young, Charlie",-,-,-,-,-,-,-,,-,-,-,-,-,-,,1,,-,1.0
Totals,15,4,3,8,6,2,7,8,4,3,4,5,3,9,7,8,10,7,113.0
Opponent,SK,CW,ES,CA,FI,GE,SM,SK,CW,ES,CA,FI,GE,SM,CA,ES,SK,ES,
