Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,PF,Tot
"Abbott, Les",,,,-,,,,,,,,,,,,,,,,
"Blake, George",,,,,,,-,,,,,,,,,,,,,
"Boyle, Bob",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bradley, Rupe",,-,,,,,,,,,,,,,,,,,,
"Bruce, George",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Caine, Frank",,,,,,,1,1,2,1,1,-,5,3,3,3,4,1,-,25.0
"Clark, Norman",,,,,,,,,,-,-,-,-,-,-,-,,-,-,
"Elliott, Fred",-,-,-,-,1,2,1,-,-,-,-,1,1,-,-,1,-,1,1,9.0
"Flynn, Jim",-,-,-,1,-,-,-,-,-,-,-,1,-,-,,-,,1,-,3.0
"Grace, Mick",2,1,2,-,-,1,1,1,1,2,-,-,1,2,1,-,5,1,2,23.0
"Hammond, Charlie",1,1,-,-,-,-,-,1,-,-,-,1,1,1,-,-,-,-,-,6.0
"Hewitt, Fred",,,,,,,,1,,,,,-,,,,,,,1.0
"Hince, Frank",-,-,-,-,-,,,,,,,,,,,,,,,
"Ingleman, Alby",,,,,,,,,,,,,,,,,-,,,
"Johnson, George",2,-,,,-,-,-,1,-,1,1,1,-,-,1,-,1,1,-,9.0
"Kennedy, Jim",1,-,-,-,,1,1,1,1,1,2,-,2,1,1,3,3,2,-,20.0
"Kennedy, Ted",-,-,-,,,,,1,-,-,-,-,-,-,-,-,-,-,-,1.0
"Leeds, Billy",-,1,-,1,,,-,,-,,,,,,,,,,,2.0
"McCart, George",,,,,-,,,,,,,,,,,,,,,
"McGregor, Rod",,-,1,,-,-,-,1,,-,-,-,-,-,-,1,1,-,1,5.0
"McNeel, Archie",,,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"McVeigh, Bill",,,-,-,3,-,,,,-,,,,,,,,,,3.0
"Newbound, Harry",1,,,1,,-,,,,,,,,,-,,,,,2.0
"Opie, Jim",,,,,,,,,,,,,,,,,-,,,
"Parke, Bert",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Payne, Billy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Roland, Charlie",-,-,-,-,-,-,-,-,-,-,1,2,,1,-,3,1,2,1,11.0
"Sharp, Alf",,,-,-,,-,-,,-,,,,,,,,,,,
"Slater, Jim",,,,,-,-,,-,-,,,,,,,,,,,
"Snell, Archie",1,1,4,1,1,1,3,-,2,2,-,-,-,1,-,-,2,-,1,20.0
"Topping, George",-,-,-,1,,,1,,-,,1,-,1,-,-,1,1,2,-,8.0
"Tough, Charlie",,,,,-,,,-,,,,,,,,,,,,
"Yeomans, Edgar",-,,,,-,1,,,,,,,,,,,,,,1.0
Totals,8,4,7,5,5,6,8,8,6,7,6,6,12,9,6,12,18,11,6,150.0
Opponent,ES,CW,SM,FI,GE,ME,SK,ES,CW,SM,FI,GE,ME,SK,CW,SM,ME,CW,FI,
