Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,GF,Tot
"Belcher, Vic",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bennett, Harold",-,-,-,,,,,,,,,-,-,-,-,,,,,,,
"Bollard, Tom",,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,
"Bower, George",-,-,,,,,,,,,,,,,,,,,,,,
"Caldwell, Jim",,-,-,-,-,-,-,1,,,-,-,-,1,,-,-,1,1,-,-,4.0
"Charge, Les",1,-,4,3,1,-,-,-,1,-,-,1,2,1,-,-,-,2,-,1,1,18.0
"Deas, Bob",-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,
"Eastick, Bill",-,-,,,,,,,,,,,,,,,,,,,,
"Freeman, Jack",4,3,-,1,3,-,,,5,4,2,1,-,2,2,-,1,4,2,2,-,36.0
"Hair, Ben",-,-,-,-,-,-,-,-,-,-,-,,-,,,-,1,-,-,-,-,1.0
"Hennington, Bill",,,,-,-,-,,-,-,,,-,,,,,,,,,,
"Hiskins, Arthur",1,-,-,,,,-,,,,,,,,,,,,,,,1.0
"Hiskins, Stan",4,1,-,-,1,1,2,-,-,2,-,,,,,-,,-,-,-,-,11.0
"Jackson, Percy",,,,,,,1,1,,,,2,-,-,1,,-,,-,,,5.0
"Jones, Charlie",,,,,,,,,1,,-,-,,,-,,,,,,,1.0
"Joolen, Herb",,,,,,,,,,,,,,,,1,,,,,,1.0
"Kelly, Harvey",-,3,5,1,2,1,2,1,1,-,1,2,1,-,-,-,-,-,-,1,-,21.0
"Laidlaw, Wally",,,,,,,,,,-,,,,,-,,,,,,,
"Matthews, Herb",,,,,,,,,,-,,,,,,,,,,,,
"Morgan, Harry",2,-,-,1,2,2,1,2,1,-,2,1,4,-,1,-,5,2,1,-,-,27.0
"Mortimer, Len",,,,-,,,,,,,,,,,,,-,1,,,,1.0
"Mullaly, Dick",1,1,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,,-,1,3.0
"OBrien, Jack",,,,,,,,,2,-,,,,,,,,,,,,2.0
"ODonoghue, Alan",,,-,-,,,1,-,-,-,-,1,1,-,-,4,1,-,-,-,-,8.0
"Payne, George",,,,,-,-,-,-,,2,-,,,1,,,,,,,,3.0
"Prince, Joe",-,-,-,-,-,-,-,-,-,-,,,,-,,,-,-,-,-,-,
"Rademacher, Arthur",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rusich, Les",-,-,1,2,1,-,-,-,1,,,-,1,,,-,,-,1,-,-,7.0
"Saltau, Harry",,,,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Sloss, Bruce",1,-,1,-,1,1,,,,1,1,2,-,1,-,3,-,-,-,-,2,14.0
"Tandy, Mark",-,,,,-,-,-,-,1,,-,-,-,1,-,-,-,-,-,1,-,3.0
"Thomas, Claude",,,-,-,,,,,,-,-,-,-,,-,-,,,,,,
Totals,14,8,11,8,11,5,7,5,13,9,6,10,9,7,4,8,8,10,5,5,4,167.0
Opponent,UN,GE,FI,CA,SK,ES,RI,CW,ME,UN,GE,FI,CA,SK,ES,RI,CW,ME,GE,CA,CA,
