Player,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Brushfield, Nick",,,,,-,,,,,,,,,,,,,
"Coghlan, Arthur",-,-,-,-,,,-,-,-,-,,,,,,,-,
"Dunstone, Jack",-,-,1,,-,-,-,,1,-,-,,-,-,-,-,-,2.0
"Ellis, Ray",-,,,-,,,,,,,,,,,,,,
"Fleming, Eric",1,-,-,1,3,-,-,3,-,-,1,3,2,,1,1,2,18.0
"Fleming, Roy",-,1,,1,2,-,,,,,,,,,,,,4.0
"Greeves, Edward",,,,,,,3,1,-,-,2,1,-,1,1,-,-,9.0
"Hagger, Lloyd",1,-,,,,-,-,4,3,5,1,2,4,5,3,8,4,40.0
"Hall, Syd",,-,-,,,,,,,,,,,,,,,
"Harris, George",,1,-,1,-,,,,,,,,,,,,,2.0
"Hudd, Bill",,,,,,,,,,,,,,,-,1,-,1.0
"Johns, Keith",-,-,-,1,-,-,,,1,,-,1,-,-,-,-,-,3.0
"Jones, Jockie",-,2,3,2,1,1,-,,,,,,,,,-,,9.0
"Jorgensen, Frank",,,,,-,-,-,-,,,,-,1,-,1,,-,2.0
"Keane, Bill",,,-,,1,-,,,,,,,1,4,1,1,1,9.0
"Mathieson, Jim",-,-,3,1,-,-,-,-,-,-,-,-,-,1,,,1,6.0
"McCarter, Billy",-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McGregor, Stan",-,,,-,,,,,,,,,,,,,,
"Nicolson, Ken",,,,,-,-,-,-,,-,-,-,-,-,-,-,-,
"Pink, Arthur",-,-,-,-,,,1,-,-,-,2,-,2,-,-,-,-,5.0
"Plane, Charlie",-,-,-,-,,,-,-,-,-,-,-,-,-,2,-,-,2.0
"Rankin, Bert",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Rankin, Cliff",3,3,3,2,-,4,4,5,5,2,2,1,3,2,-,4,,43.0
"Rodgers, Jimmy",,,,,,,,-,-,-,-,-,,-,,,,
"Sharland, Wallace",-,3,-,,,1,,,,,,,,,,,,4.0
"Smith, Les",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Stevenson, Edward",,,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Tayler, Alec",,,,,,,,-,-,-,-,-,,,,,,
"Thomas, Stan",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Todd, George",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,5,10,10,10,7,6,8,13,10,7,9,8,13,13,9,15,8,161.0
Opponent,ME,FI,CW,SM,SK,RI,ES,CA,ME,FI,CW,SM,SK,RI,ES,CA,FI,
