Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Adams, Taylor",12,10,14,11,7,,10,11,12,8,7,14,17,133.0
"Cameron, Darcy",4,4,5,,,,,,,4,6,8,11,42.0
"Carmichael, Josh",,,1,,,,,,,,,,,1.0
"Cox, Mason",2,5,,,,,,3,8,5,2,5,5,35.0
"Crisp, Jack",13,13,15,10,16,17,12,8,8,9,14,11,21,167.0
"Daicos, Josh",18,17,15,19,21,22,18,13,18,22,12,12,12,219.0
"Daicos, Nick",21,22,20,20,31,29,13,14,26,15,18,24,15,268.0
"Elliott, Jamie",12,5,11,7,8,10,6,9,11,7,6,,,92.0
"Frampton, Billy",,8,8,4,7,8,4,5,,,,9,6,59.0
"Ginnivan, Jack",,,,,10,8,5,2,3,-,10,4,,42.0
"Harrison, Harvey",,,,,,,,,,,,6,8,14.0
"Hill, Bobby",10,8,6,6,8,5,5,1,11,5,11,2,6,84.0
"Hoskin-Elliott, Will",9,8,2,11,8,7,6,15,6,13,9,2,13,109.0
"Howe, Jeremy",7,,,,,,,,,,,,,7.0
"Johnson, Ash",,,6,5,6,5,2,2,8,2,2,3,3,44.0
"Kelly, Will",,,,,,3,5,,,,,,,8.0
"Kreuger, Nathan",,,,,,2,2,,,,,,,4.0
"Lipinski, Patrick",,,,,,,,,,,,,10,10.0
"Markov, Oleg",,,,8,7,12,10,4,13,8,8,1,3,74.0
"Maynard, Brayden",12,5,12,18,17,13,13,8,10,9,13,7,19,156.0
"McCreery, Beau",15,4,7,11,7,10,6,1,7,6,7,2,7,90.0
"McInnes, Reef",1,1,,1,,,,,2,,,,3,8.0
"McStay, Daniel",4,5,8,3,1,,,,,,,,,21.0
"Mihocek, Brody",5,8,4,4,9,3,4,5,4,7,7,9,5,74.0
"Mitchell, Tom",7,13,17,16,16,10,14,14,24,11,23,15,18,198.0
"Moore, Darcy",4,5,3,6,8,6,8,9,8,7,4,9,5,82.0
"Murphy, Nathan",5,3,5,10,6,,5,7,8,3,4,10,7,73.0
"Noble, John",23,12,8,13,20,21,19,11,17,20,13,10,15,202.0
"Pendlebury, Scott",15,11,16,17,13,15,,21,12,18,17,12,13,180.0
"Quaynor, Isaac",3,12,10,13,7,6,6,16,8,5,8,14,13,121.0
"Ruscoe, Trey",,,,,,6,,,,,,,,6.0
"Sidebottom, Steele",13,11,10,9,19,20,14,11,16,17,2,,,142.0
"Wilson, Tom",,,,,4,,,,,,,,,4.0
"de Goey, Jordan",18,7,17,10,,19,12,5,19,13,20,14,,154.0
Totals,233,197,220,232,256,257,199,195,259,214,223,203,235,2923.0
Opponent,GE,PA,RI,BL,SK,ES,AD,SY,GW,CA,NM,WC,ME,
