Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Adams, Taylor",-,3,2,1,1,,-,2,2,-,3,2,2,18.0
"Cameron, Darcy",4,2,1,,,,,,,4,-,3,-,14.0
"Carmichael, Josh",,,-,,,,,,,,,,,
"Cox, Mason",-,4,,,,,,2,1,3,1,5,1,17.0
"Crisp, Jack",-,3,1,-,-,-,1,2,2,-,-,-,-,9.0
"Daicos, Josh",-,2,-,-,4,-,1,1,1,-,1,-,-,10.0
"Daicos, Nick",2,-,2,1,-,-,1,2,1,1,-,3,1,14.0
"Elliott, Jamie",-,2,2,1,1,-,-,-,1,1,-,,,8.0
"Frampton, Billy",,-,-,-,-,-,1,1,,,,-,-,2.0
"Ginnivan, Jack",,,,,-,-,-,1,-,-,1,-,,2.0
"Harrison, Harvey",,,,,,,,,,,,1,-,1.0
"Hill, Bobby",2,-,-,1,-,-,-,-,-,-,-,2,-,5.0
"Hoskin-Elliott, Will",1,1,-,-,-,-,1,-,-,1,2,-,1,7.0
"Howe, Jeremy",-,,,,,,,,,,,,,
"Johnson, Ash",,,1,1,-,-,1,1,1,-,2,-,-,7.0
"Kelly, Will",,,,,,-,-,,,,,,,
"Kreuger, Nathan",,,,,,-,-,,,,,,,
"Lipinski, Patrick",,,,,,,,,,,,,1,1.0
"Markov, Oleg",,,,-,2,2,-,1,-,-,-,-,-,5.0
"Maynard, Brayden",1,-,1,1,-,-,-,1,2,-,-,1,1,8.0
"McCreery, Beau",-,-,1,-,-,-,1,-,-,1,-,-,-,3.0
"McInnes, Reef",1,-,,-,,,,,-,,,,-,1.0
"McStay, Daniel",1,2,1,-,-,,,,,,,,,4.0
"Mihocek, Brody",2,-,1,-,-,-,-,1,1,-,-,-,1,6.0
"Mitchell, Tom",2,3,2,2,3,2,2,1,1,2,-,2,4,26.0
"Moore, Darcy",2,1,1,1,1,1,3,1,-,-,-,1,-,12.0
"Murphy, Nathan",1,3,3,4,1,,1,-,1,2,-,-,1,17.0
"Noble, John",2,2,-,4,-,1,1,5,1,1,1,2,-,20.0
"Pendlebury, Scott",1,3,-,1,2,2,,-,-,1,1,-,1,12.0
"Quaynor, Isaac",1,1,-,1,-,1,2,-,1,-,3,-,-,10.0
"Ruscoe, Trey",,,,,,1,,,,,,,,1.0
"Sidebottom, Steele",-,-,-,1,-,-,1,1,-,-,-,,,3.0
"Wilson, Tom",,,,,-,,,,,,,,,
"de Goey, Jordan",1,2,1,2,,-,1,1,1,1,1,-,,11.0
Totals,24,34,20,22,15,10,18,24,17,18,16,22,14,254.0
Opponent,GE,PA,RI,BL,SK,ES,AD,SY,GW,CA,NM,WC,ME,
