Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,Tot
"Battle, Josh",2,-,-,1,-,3,1,1,-,1,1,2,-,-,1,13.0
"Butler, Dan",1,1,-,1,1,2,1,2,2,-,1,2,-,-,-,14.0
"Byrnes, Ryan",-,-,-,1,1,1,-,-,-,-,2,-,1,1,1,8.0
"Bytel, Jack",1,,,-,-,,,1,1,,,,,,,3.0
"Caminiti, Anthony",1,-,1,2,1,,,,2,3,-,2,2,-,1,15.0
"Clark, Hunter",2,3,1,3,1,1,1,2,1,1,-,,,,,16.0
"Cordy, Zaine",1,-,-,1,-,1,-,,,,,,,,,3.0
"Crouch, Brad",2,-,2,2,2,1,1,1,1,-,1,1,-,1,-,15.0
"Gresham, Jade",1,1,1,1,1,-,-,1,,1,1,-,2,-,-,10.0
"Higgins, Jack",-,4,1,-,1,-,2,-,-,-,1,-,-,1,2,12.0
"Hill, Bradley",-,-,2,1,-,-,-,1,-,-,1,1,-,1,1,8.0
"Howard, Dougal",3,-,2,-,-,1,-,-,1,-,-,1,-,-,-,8.0
"King, Max",,,,,,,,,,1,1,1,1,1,1,6.0
"Marshall, Rowan",3,1,2,-,2,1,1,-,-,1,2,-,-,-,3,16.0
"Membrey, Tim",,,,,,-,-,1,-,,,,,,,1.0
"Owens, Mitch",-,-,1,1,1,-,1,-,2,-,,1,1,1,-,9.0
"Paton, Ben",-,-,-,-,-,-,-,-,-,-,-,,,1,,1.0
"Phillipou, Mattaes",-,1,1,1,-,1,2,-,-,-,-,3,-,1,-,10.0
"Ross, Sebastian",,-,-,1,3,1,-,1,-,2,-,1,-,,1,10.0
"Sharman, Cooper",,,,,,,,-,-,,-,-,-,-,-,
"Sinclair, Jack",-,1,-,-,-,-,-,-,-,1,1,-,1,-,-,4.0
"Steele, Jack",-,-,,,,2,2,1,1,1,-,1,1,2,2,13.0
"Stocker, Liam",-,-,-,-,1,-,1,2,1,1,3,-,-,1,1,11.0
"Wanganeen-Milera, Nasiah",1,-,1,-,-,-,-,-,1,-,-,1,1,-,-,5.0
"Webster, Jimmy",1,,-,,,,,,,-,1,1,1,-,-,4.0
"Wilkie, Callum",2,2,-,3,-,3,1,2,1,-,-,-,1,1,1,17.0
"Windhager, Marcus",,1,-,-,-,-,-,,,,,1,-,1,-,3.0
"Wood, Mason",1,1,3,-,-,2,-,2,-,1,-,1,-,1,1,13.0
Totals,22,16,18,19,15,20,14,18,14,14,16,20,12,14,16,248.0
Opponent,FR,WB,ES,GC,CW,CA,PA,NM,AD,GW,HW,SY,RI,BL,WC,
