Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,Tot
"Bowey, Jake",10,12,10,11,13,13,10,12,10,5,11,12,,,12,11,152.0
"Brayshaw, Angus",14,18,11,8,7,12,14,10,14,5,15,13,10,15,15,11,192.0
"Brown, Ben",12,12,1,,,,,,,,,,,,4,6,35.0
"Chandler, Kade",11,8,7,7,3,8,13,4,9,8,4,9,8,3,4,,106.0
"Fritsch, Bayley",,10,3,13,6,5,9,5,14,10,8,12,8,5,1,,109.0
"Gawn, Max",14,-,,,,15,10,9,12,8,6,10,7,10,13,11,125.0
"Grundy, Brodie",7,3,10,13,5,4,8,4,2,5,8,3,7,6,5,6,96.0
"Harmes, James",6,3,,,,,1,4,,,7,2,,,10,,33.0
"Hibberd, Michael",,,8,6,,11,11,,11,7,6,,4,10,,,74.0
"Hunter, Lachie",8,15,13,16,14,6,9,13,11,16,,14,21,11,21,11,199.0
"Jordon, James",,,13,4,4,6,6,7,6,4,2,,6,4,,10,72.0
"Langdon, Ed",12,9,13,14,14,8,10,5,11,7,8,15,6,14,13,12,171.0
"Laurie, Bailey",2,,,,,1,,,,,,,,,,,3.0
"Lever, Jake",17,14,7,9,,10,5,5,5,3,3,8,4,6,9,12,117.0
"May, Steven",,,17,15,13,15,10,11,14,19,6,16,15,15,18,23,207.0
"McDonald, Tom",8,5,,12,3,,,,,4,4,,,,,,36.0
"McVee, Judd",11,4,8,8,10,10,9,5,5,3,4,12,5,10,9,9,122.0
"Melksham, Jake",2,2,3,,6,,,,,,,,,,5,10,28.0
"Neal-Bullen, Alex",11,8,10,6,13,8,9,5,11,6,10,4,10,7,13,9,140.0
"Oliver, Clayton",15,22,11,12,15,18,17,12,18,17,,,,,,,157.0
"Petracca, Christian",18,11,20,12,14,15,20,12,18,13,18,17,14,18,17,8,245.0
"Petty, Harry",9,1,7,5,9,5,,5,5,,,,,2,8,7,63.0
"Pickett, Kysaiah",15,,,11,8,8,11,5,5,2,9,3,6,8,15,2,108.0
"Rivers, Trent",15,13,13,15,11,6,11,12,12,16,8,12,13,12,10,11,190.0
"Salem, Christian",,,,,,,,,,11,8,13,17,15,16,17,97.0
"Schache, Josh",,,,,,,6,,,,,,,,,,6.0
"Smith, Joel",,,,,,,,,,,,3,7,6,2,-,18.0
"Spargo, Charlie",12,6,6,9,1,,,,6,6,8,8,4,1,,7,74.0
"Sparrow, Tom",7,7,7,10,7,11,12,8,7,,10,6,11,13,18,7,141.0
"Tomlinson, Adam",15,10,,,13,,,,,,,7,13,,,,58.0
"Turner, Daniel",,,,,,,,8,,,,,,,,,8.0
"Viney, Jack",,8,11,11,15,15,14,11,13,10,9,8,13,13,20,11,182.0
"Woewodin, Taj",,,,,,,,,,,,,,,,5,5.0
"van Rooyen, Jacob",,,5,3,2,5,3,5,5,7,5,8,6,3,,,57.0
Totals,251,201,214,230,206,215,228,177,224,192,177,215,215,207,258,216,3426.0
Opponent,WB,BL,SY,WC,ES,RI,NM,GC,HW,PA,FR,CA,CW,GE,GW,SK,
