Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,Tot
"Bowey, Jake",10,8,10,10,14,11,10,9,8,4,9,12,,,9,13,137.0
"Brayshaw, Angus",18,13,16,12,8,18,20,15,19,7,17,16,15,12,10,18,234.0
"Brown, Ben",12,8,1,,,,,,,,,,,,2,7,30.0
"Chandler, Kade",11,9,7,12,6,9,16,6,6,8,5,12,8,5,6,,126.0
"Fritsch, Bayley",,9,4,14,9,6,8,6,10,6,5,11,4,4,-,,96.0
"Gawn, Max",5,-,,,,5,8,6,6,5,5,7,9,3,4,6,69.0
"Grundy, Brodie",7,5,11,10,7,8,9,4,5,3,6,5,9,6,10,7,112.0
"Harmes, James",10,5,,,,,2,5,,,9,3,,,12,,46.0
"Hibberd, Michael",,,7,6,,12,14,,10,5,3,,3,7,,,67.0
"Hunter, Lachie",10,14,15,21,16,12,15,14,10,14,,17,21,16,18,13,226.0
"Jordon, James",,,16,6,5,15,15,12,8,1,1,,6,5,,18,108.0
"Langdon, Ed",13,14,13,15,16,13,14,6,19,8,14,17,8,18,14,14,216.0
"Laurie, Bailey",2,,,,,1,,,,,,,,,,,3.0
"Lever, Jake",14,12,8,10,,15,7,7,6,5,5,9,4,7,8,15,132.0
"May, Steven",,,13,12,4,8,7,6,7,10,5,10,11,5,14,17,129.0
"McDonald, Tom",9,5,,10,5,,,,,2,3,,,,,,34.0
"McVee, Judd",11,4,12,8,6,14,9,9,7,2,6,13,6,11,12,10,140.0
"Melksham, Jake",2,2,4,,4,,,,,,,,,,3,10,25.0
"Neal-Bullen, Alex",11,9,9,11,9,7,14,4,12,6,9,7,10,12,10,8,148.0
"Oliver, Clayton",20,20,13,16,15,24,21,13,20,16,,,,,,,178.0
"Petracca, Christian",17,14,15,20,10,18,18,15,16,10,18,15,13,16,21,10,246.0
"Petty, Harry",8,3,6,5,12,4,,7,4,,,,,5,12,9,75.0
"Pickett, Kysaiah",14,,,9,8,4,8,3,9,2,5,2,4,4,10,3,85.0
"Rivers, Trent",17,10,17,17,16,9,14,13,15,11,9,18,14,10,14,16,220.0
"Salem, Christian",,,,,,,,,,12,9,12,14,13,16,17,93.0
"Schache, Josh",,,,,,,5,,,,,,,,,,5.0
"Smith, Joel",,,,,,,,,,,,5,6,5,2,-,18.0
"Spargo, Charlie",12,7,4,11,2,,,,11,9,8,9,6,-,,8,87.0
"Sparrow, Tom",11,13,7,11,9,15,18,10,12,,9,8,13,14,15,16,181.0
"Tomlinson, Adam",11,6,,,9,,,,,,,10,12,,,,48.0
"Turner, Daniel",,,,,,,,7,,,,,,,,,7.0
"Viney, Jack",,10,9,9,18,19,11,13,14,9,6,9,13,17,19,16,192.0
"Woewodin, Taj",,,,,,,,,,,,,,,,7,7.0
"van Rooyen, Jacob",,,3,2,1,2,6,5,9,4,6,10,5,4,,,57.0
Totals,255,200,220,257,209,249,269,195,243,159,172,237,214,199,241,258,3577.0
Opponent,WB,BL,SY,WC,ES,RI,NM,GC,HW,PA,FR,CA,CW,GE,GW,SK,
