Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,Tot
"Bowey, Jake",4,4,3,6,7,-,7,7,6,4,8,4,,,12,5,77.0
"Brayshaw, Angus",5,12,1,6,3,3,11,8,5,10,10,8,10,13,13,7,125.0
"Brown, Ben",4,6,1,,,,,,,,,,,,8,4,23.0
"Chandler, Kade",4,3,3,3,5,4,5,4,7,4,1,2,4,7,5,,61.0
"Fritsch, Bayley",,4,7,4,2,2,5,1,5,8,8,6,5,5,1,,63.0
"Gawn, Max",15,1,,,,13,7,6,11,8,10,9,6,11,16,12,125.0
"Grundy, Brodie",8,8,11,13,12,8,9,2,4,9,13,7,5,9,6,8,132.0
"Harmes, James",6,5,,,,,1,2,,,8,3,,,7,,32.0
"Hibberd, Michael",,,3,1,,12,3,,5,4,8,,2,8,,,46.0
"Hunter, Lachie",2,8,8,5,7,8,4,8,7,8,,7,7,9,11,9,108.0
"Jordon, James",,,6,2,2,3,7,5,2,5,1,,2,5,,7,47.0
"Langdon, Ed",2,4,12,6,8,7,6,4,3,7,4,9,6,4,11,7,100.0
"Laurie, Bailey",1,,,,,2,,,,,,,,,,,3.0
"Lever, Jake",7,6,6,6,,5,4,3,5,4,4,9,7,9,10,3,88.0
"May, Steven",,,4,5,-,9,4,2,2,5,2,5,4,4,5,8,59.0
"McDonald, Tom",4,6,,6,2,,,,,7,4,,,,,,29.0
"McVee, Judd",2,3,6,7,10,2,5,4,6,4,5,3,6,3,2,5,73.0
"Melksham, Jake",1,2,1,,6,,,,,,,,,,2,-,12.0
"Neal-Bullen, Alex",5,5,6,4,8,5,5,3,7,6,8,5,4,6,8,4,89.0
"Oliver, Clayton",15,15,15,18,25,10,15,14,14,16,,,,,,,157.0
"Petracca, Christian",14,10,19,8,18,9,16,12,15,13,14,17,15,16,13,10,219.0
"Petty, Harry",6,5,6,5,6,4,,3,4,,,,,1,5,4,49.0
"Pickett, Kysaiah",7,,,6,2,3,10,7,3,4,7,4,2,6,9,1,71.0
"Rivers, Trent",4,7,2,11,5,5,5,6,9,5,5,7,8,12,3,5,99.0
"Salem, Christian",,,,,,,,,,5,8,9,8,8,5,5,48.0
"Schache, Josh",,,,,,,4,,,,,,,,,,4.0
"Smith, Joel",,,,,,,,,,,,-,5,6,2,-,13.0
"Spargo, Charlie",4,2,2,1,-,,,,1,3,6,5,-,1,,3,28.0
"Sparrow, Tom",1,8,2,8,4,7,6,5,3,,10,9,6,5,9,8,91.0
"Tomlinson, Adam",4,2,,,4,,,,,,,2,4,,,,16.0
"Turner, Daniel",,,,,,,,2,,,,,,,,,2.0
"Viney, Jack",,10,11,15,9,8,10,10,18,7,11,11,19,8,24,10,181.0
"Woewodin, Taj",,,,,,,,,,,,,,,,5,5.0
"van Rooyen, Jacob",,,6,7,7,6,-,4,5,6,2,7,4,4,,,58.0
Totals,125,136,141,153,152,135,149,122,147,152,157,148,139,160,187,130,2333.0
Opponent,WB,BL,SY,WC,ES,RI,NM,GC,HW,PA,FR,CA,CW,GE,GW,SK,
