Player,R1,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R2,R14,R15,R16,R17,SF,Tot
"Aitken, James",,,,,,,-,,,,,,,,,,,,
"Bailiff, Les",-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Bennion, Bill",,,,,,,-,-,-,1,1,-,-,1,-,-,-,-,3.0
"Bowey, Frank",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Clarke, Ken",,,,,,,,,,,,,,,1,1,-,,2.0
"Coles, Charlie",-,2,-,-,4,-,-,-,1,2,-,2,2,-,2,4,-,-,19.0
"Cronin, Fred",-,1,,,-,-,-,,,,,,,,,,,,1.0
"Donaghy, Mick",-,-,-,-,,,,-,-,,,,-,-,-,-,-,-,
"Eason, Bill",2,2,2,1,1,1,1,2,-,1,1,1,1,-,-,1,-,-,17.0
"Fletcher, Percy",-,,-,-,-,-,-,,,,,,,,,,-,,
"Forbes, Ivan",-,5,-,-,-,1,-,1,5,3,4,-,3,2,3,2,-,-,29.0
"Hines, Willie",1,-,1,2,-,-,1,,,,,,,,,,,,5.0
"Holligan, Teddy",,,,,,,,,,-,-,-,-,-,,2,-,-,2.0
"Hopkins, Artie",,-,-,-,,-,,,,,,,,,,,,,
"Kearney, Gordon",,,-,,-,,,,,,,,,-,-,,-,-,
"Kerr, Bob",,,,,-,-,-,,,,,,,,,,,,
"Lee, Jack",,,,,,,,-,-,,,-,,,,,,,
"McCallum, Firth",,,,,,,,,,,,,,,,-,,,
"McKenzie, Alec",2,-,,-,-,1,-,-,-,1,-,1,1,-,-,-,-,1,7.0
"McKinley, Bill",,,,,,-,-,-,-,-,-,-,-,-,-,,-,-,
"Mesley, Arthur",,,,,,,,-,-,-,-,-,-,,-,-,,-,
"Newling, Ernest",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Pincott, Arthur",-,-,-,-,-,,,,-,-,-,-,,,-,,,,
"Quinton, Horrie",,,,,,,,,,-,-,-,-,-,-,-,-,-,
"Rankin, Teddy",1,-,-,-,-,-,1,1,-,-,1,-,-,-,1,1,1,1,8.0
"Stephens, Peter",-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,4.0
"Stodart, Frank",,,,,,,,-,,,-,,-,-,,-,,,
"Wayth, Stan",,,-,,,,,,,,,,,,,,,,
"Webb, Hughie",-,-,-,-,,,,,,,,,,,,,,,
"Woods, Ike",3,3,2,-,2,-,1,2,4,1,6,-,-,2,3,2,1,2,34.0
"Wright, Jack",-,-,,-,-,-,-,-,-,-,-,-,-,-,,,,-,
"Young, Henry",-,1,-,2,1,-,,-,-,-,-,1,1,-,1,1,1,-,9.0
Totals,9,15,6,5,8,3,5,6,10,9,13,5,8,5,12,15,3,4,141.0
Opponent,SK,ME,SM,ES,CW,FI,SK,CA,ME,SM,ES,CW,CA,FI,SM,ES,FI,FI,
