Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,GF,Tot
"Beck, Les",-,-,-,-,-,-,-,-,,-,-,-,1,-,,-,-,-,-,1.0
"Bickford, Albert",,,,,,-,,,,,,,,,,,,,,
"Bruce, George",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,,-,-,2.0
"Caine, Frank",1,1,6,2,1,-,1,2,1,-,8,-,1,4,-,1,2,1,-,32.0
"Clark, Norman",,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,
"Elliott, Fred",-,-,1,1,-,-,-,1,-,2,1,1,1,1,-,,,,,9.0
"Flynn, Jim",-,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,
"Gardiner, Vin",,,-,1,1,1,3,,,1,1,,,,-,,,,,8.0
"Gillespie, Dave",,,,-,-,,,,,,,,,,,,,,,
"Gillespie, Doug",-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,
"Gotz, Martin",-,-,,,,,,,,,,,-,-,-,-,1,-,-,1.0
"Grace, Mick",2,1,1,1,-,1,2,-,-,,,,,,,3,1,4,-,16.0
"Hammond, Charlie",-,-,1,-,-,1,,,,-,-,-,1,-,-,-,-,-,-,3.0
"Harris, Dick",,,,,,-,2,1,-,-,-,-,-,-,1,1,-,3,-,8.0
"Hickey, Bill",-,,,,,,,,,,,,,,,,,,,
"Ingleman, Alby",,,,-,,,,,,,,,,,,,-,,-,
"Jinks, Fred",1,1,-,,-,-,2,-,-,-,-,-,1,1,-,,-,-,1,7.0
"Johnson, George",,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,2.0
"Kelly, Harvey",,,,,,,,,2,4,3,-,-,1,-,3,4,2,1,20.0
"Kennedy, Jim",,,,,,,,,,,,,,,,-,-,,,
"Kennedy, Ted",-,-,-,1,2,-,-,-,-,-,1,-,-,1,-,-,-,-,-,5.0
"Lang, Alex",-,1,-,1,1,-,-,1,-,1,-,1,-,-,2,-,-,1,1,10.0
"Marchbank, Jim",,,1,,,,1,-,-,,,-,-,1,1,,,,,4.0
"McGregor, Rod",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,
"Payne, Billy",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Pearce, Horrie",,,,,,,,,,,1,-,,,,,,,,1.0
"Snell, Archie",-,-,1,-,,-,-,-,,,,,,,,1,,,,2.0
"Topping, George",-,4,,3,-,1,4,2,2,1,-,2,-,1,-,,1,2,3,26.0
"Wheeler, Alf",,,,,,,,,,,,,,,,,-,,,
"Williams, Frank",-,,,,,,,,-,,,,,,,-,-,,,
Totals,4,8,12,10,5,4,15,8,5,9,15,4,5,10,4,11,9,13,6,157.0
Opponent,SK,GE,ME,FI,SM,CW,ES,SK,GE,ME,FI,SM,CW,ES,SM,ES,ME,SK,SM,
