Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,Tot
"Anderson, Jim",,,,-,-,-,-,-,-,-,-,3,-,-,,,,,3.0
"Barker, George",2,3,1,2,1,2,2,2,1,3,-,-,-,7,2,,,1,29.0
"Barry, Son",,,,,,,,-,1,2,-,-,-,-,1,-,,-,4.0
"Baxter, Ben",-,-,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Blackmore, Lewis",,,,,,,,,,,,,,,,4,1,1,6.0
"Busbridge, Bill",-,,,,,,,,,,,,,,,,,,
"Callan, Hughie",-,1,-,2,-,1,-,-,1,-,1,-,-,1,-,2,,-,9.0
"Cameron, Ernie",,,,,-,,,1,-,,1,-,1,-,-,,-,,3.0
"Carkeek, William",,2,-,,,,,,,,,,,,,,,,2.0
"Davis, Harry",-,-,-,-,,-,-,,,,,1,-,,-,2,,-,3.0
"Everard, John",,,,,,,,,,-,,,,,,,,,
"Fraser, Simon",,-,-,1,,,1,-,,,,-,-,-,,,,,2.0
"Gilligan, Arthur",-,1,2,1,1,-,-,,,,,,,,,,,,5.0
"Griffith, Billy",,,,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Harris, Dick",2,,,,,,,,,-,,,,,3,,,,5.0
"Kerr, Bill",-,,,,,,,,,,,,,,,,,,
"Laxton, Bert",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Legge, Arthur",,,-,,2,-,,,,,,,,,,,,,2.0
"Madden, Mick",1,2,-,3,-,,1,1,-,-,2,1,-,-,-,-,-,-,11.0
"Matheson, Alby",,,-,,,,,,,,,,,,,,,,
"McDonald, Arch",,,,,,,,,,,,,,,,,-,,
"McDonald, Edwin",,,,,,,,,,,,,,,,,1,,1.0
"McDonald, Jim",-,-,-,-,1,-,-,-,1,-,-,,-,-,-,-,-,-,2.0
"McKenzie, Jack",2,1,1,3,-,-,-,-,1,1,1,4,2,-,2,1,-,1,20.0
"McVitty, Bill",,,,-,,,,,,,-,-,,,,,,,
"Megson, Jack",-,,,,,,,,,,,,,,,,,,
"OBrien, Jimmy",-,-,-,-,-,-,-,,-,,,,,,,,,,
"Phipps, Jim",,-,-,-,-,-,,,,,,,,-,-,-,-,-,
"Robinson, Bill",-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Robinson, Fred",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sewart, Bill",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shea, Mark",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Smith, Dave",-,2,1,2,,-,2,3,1,2,1,-,-,2,2,1,1,1,21.0
"Tymms, Athol",,,,,,,,-,,,,,,,,-,1,,1.0
"Vollugi, Herc",-,-,-,,2,-,-,-,-,-,-,,,,,2,-,-,4.0
Totals,7,12,5,14,7,3,6,7,6,8,6,9,3,10,10,12,4,4,133.0
Opponent,CA,GE,ME,SM,SK,FI,CW,CA,GE,ME,SM,SK,FI,CW,GE,SK,FI,FI,
