Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,GF,Tot
"Arnott, Simon",,,,5,1,1,6,4,4,2,6,,,,,,,,,,,3,1,,,33.0
"Barry, Leo",,,,,,,,,,1,1,,2,,,,,,,3,3,,,,,10.0
"Bayes, Mark",,,,,,,,,,,,,,,,,,3,3,4,-,3,1,-,5,19.0
"Carey, Stefan",,,,,,6,-,,,,,,,,,,,,,4,1,,,,,11.0
"Chapman, Wade",3,7,4,6,4,7,3,3,3,8,6,4,,,,,,,,,,-,,5,4,67.0
"Crawford, Justin",,,,,2,2,2,,,,,,,,1,,,7,,2,,,1,,,17.0
"Cresswell, Daryn",10,6,8,10,11,3,6,8,3,9,5,8,11,8,4,,5,2,8,4,9,4,1,2,16,161.0
"Direen, Scott",2,10,4,-,,,,,,,,,3,2,4,6,4,6,5,4,-,,,,,50.0
"Dunkley, Andrew",10,12,3,6,7,8,8,8,15,1,6,8,4,2,2,2,6,10,8,1,4,1,6,2,2,142.0
"Dyson, Kevin",4,6,13,6,8,8,5,8,11,3,10,6,,10,6,6,,,7,8,4,8,2,6,13,158.0
"Filandia, Peter",4,6,6,7,6,11,4,11,5,,,,,,,,,9,2,5,4,,,,,80.0
"Garlick, Simon",,,,,,,3,5,5,3,5,7,4,7,4,9,8,5,5,3,4,-,3,3,2,85.0
"Grant, Shannon",4,3,3,3,8,4,11,9,9,9,12,6,2,7,1,10,3,10,7,7,6,6,7,4,3,154.0
"Gray, Troy",,,2,-,,,,,,,,,,,,1,6,,,,,,,,,9.0
"Heuskes, Adam",5,10,8,4,,,,6,11,8,4,4,4,4,2,5,6,11,3,3,4,2,2,7,10,123.0
"Kelly, Paul",10,5,12,8,7,6,4,15,3,7,8,9,13,6,6,14,12,9,8,11,4,9,3,7,9,205.0
"Kickett, Derek",2,4,6,12,4,3,8,10,6,2,3,3,5,6,1,5,3,7,8,3,2,2,1,2,2,110.0
"King, Clinton",,,,,,,,,,,,1,,,,2,5,3,-,,,,,,,11.0
"Lewis, Dale",6,10,6,,,,,,,1,6,8,6,5,,,,,,,,5,5,4,6,68.0
"Lockett, Tony",2,1,1,5,2,4,-,4,1,2,4,1,1,2,2,1,,5,2,2,1,,,2,-,45.0
"Luff, Troy",,,2,9,5,3,2,6,6,6,7,5,4,3,4,5,3,6,3,1,1,-,-,2,3,86.0
"Maxfield, Stuart",5,6,2,3,3,2,1,4,4,7,6,5,5,3,-,5,4,3,5,3,,2,5,1,3,87.0
"McPherson, Daniel",,,,,4,6,2,3,5,1,3,5,5,-,4,2,4,6,5,,,1,4,4,2,66.0
"McRae, Dean",7,7,,,,2,,,,,,,,,,,,,,,,,,,,16.0
"Mooney, Jason",,,,,,,,,,,,-,2,3,-,4,3,2,3,7,5,5,3,2,3,42.0
"Myles, Dion",,,,,,,,,,,,,,,,1,-,,,,,,,,,1.0
"Nicks, Matthew",,,5,4,-,,2,-,-,,,,,,,,,,,,,,,,,11.0
"OBrien, Craig",4,3,-,,4,1,,,1,2,,5,2,-,1,6,3,,,,4,2,6,2,1,47.0
"OLoughlin, Michael",4,2,4,8,5,3,4,9,8,10,5,7,5,5,5,10,14,11,8,5,3,4,7,4,3,153.0
"Rocca, Anthony",3,5,7,3,-,,,,,,-,3,,-,1,,2,,,,,,,,,24.0
"Roos, Paul",8,11,,6,10,3,10,7,9,11,12,11,12,14,9,8,8,9,5,10,7,2,8,3,11,204.0
"Rose, Gavin",7,5,,,,,,-,,,,6,1,,,,,6,,,,,,,,25.0
"Seymour, Brad",4,4,4,3,6,4,4,7,11,6,10,,7,7,6,7,5,7,7,4,8,7,3,8,6,145.0
"Stafford, Greg",2,4,8,5,6,4,8,5,4,5,5,,4,8,6,4,11,,4,,4,4,6,6,4,117.0
Totals,106,127,108,113,103,91,93,132,124,104,124,112,102,102,69,113,115,137,106,94,78,70,75,76,108,2582.0
Opponent,AD,FR,CW,RI,HW,ES,ME,WC,BB,FI,NM,FO,CA,GE,SK,AD,FR,ME,RI,HW,ES,WC,HW,ES,NM,
