Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Angwin, Ryan",,,,,,79,81,73,64,69,75,78,74,14,67.9/764:54
"Ash, Lachie",90,86,84,80,80,88,85,80,77,83,78,77,76,83,82.0/1436:60
"Bedford, Toby",,,,,,,81,82,81,86,89,90,76,87,84.0/837:39
"Briggs, Kieren",,,,,,,,,,79,80,78,78,78,78.6/489:06
"Brown, Callum",,,,,,,77,74,57,,78,71,76,83,73.7/638:14
"Buckley, Jack",86,90,90,86,90,92,98,100,92,100,100,94,100,91,93.5/1637:58
"Cadman, Aaron",,,,,62,63,43,50,77,77,62,57,,72,62.4/702:37
"Callaghan, Finn",84,85,86,86,82,90,84,86,84,84,84,84,84,80,84.5/1480:55
"Coniglio, Stephen",88,81,80,83,83,84,80,79,85,82,84,82,82,80,82.4/1442:28
"Cumming, Isaac",87,90,67,83,83,82,86,80,,,,,,,82.4/830:45
"Daniels, Brent",82,86,82,81,,89,82,85,77,87,83,35,,,78.9/1097:45
"Fahey, Josh",,,,,,,,,,,13,32,78,,40.7/153:45
"Fleeton, Cameron",,,,,,,,,76,86,,,,,81.2/203:17
"Flynn, Matt",79,80,78,79,75,79,76,72,79,,,,,,77.5/874:23
"Green, Tom",86,87,87,87,85,,86,85,85,84,82,87,81,82,85.0/1378:08
"Greene, Toby",91,94,91,93,94,96,96,,,90,89,94,89,82,91.7/1383:50
"Hamilton, Cooper",,84,63,25,81,,,,,,,,,,63.6/313:19
"Haynes, Nick",74,81,90,81,89,87,84,91,96,22,,,79,68,78.3/1172:42
"Himmelberg, Harry",74,78,77,81,77,81,80,77,84,41,,87,89,82,77.4/1260:29
"Hogan, Jesse",89,84,84,83,87,85,84,86,86,89,88,84,84,,85.6/1399:50
"Idun, Connor",89,85,89,92,79,86,85,95,93,98,89,92,92,95,89.9/1574:57
"Keeffe, Lachlan",,,,,,,,,,,93,78,71,74,79.1/390:39
"Kelly, Josh",68,,84,87,84,84,79,84,86,85,,,,83,82.3/1026:23
"Kennedy, Adam",77,75,,75,55,15,,,,,,,,,59.4/375:05
"Lloyd, Daniel",88,84,83,89,88,,,74,81,,77,82,84,85,83.2/1133:09
"OHalloran, Xavier",,,,,72,71,88,88,83,87,90,89,87,87,84.2/1049:54
"Peatling, James",82,75,78,,74,80,77,29,79,80,60,,,,71.7/903:56
"Perryman, Harry",3,,,,,80,68,67,78,77,80,86,80,82,69.6/876:54
"Riccardi, Jake",72,58,59,57,,,,,,79,70,78,67,82,69.2/780:56
"Rowston, Harry",,60,64,57,23,79,17,,,,,,15,,45.1/394:23
"Stone, Conor",,48,21,61,,,,,,,,,,,43.3/161:43
"Taylor, Sam",93,92,99,96,96,54,,,,,,,,78,86.8/757:08
"Ward, Callan",79,86,80,77,81,72,,81,20,57,74,80,74,75,72.1/1168:53
"Wehr, Jacob",88,29,,,,,,,,,,,,,59.2/155:33
"Whitfield, Lachie",48,,83,82,83,84,85,80,79,80,81,85,84,79,79.3/1288:42
Totals,,,,,,,,,,,,,,,
Opponent,AD,WC,CA,ES,HW,BL,SY,WB,CW,SK,GE,RI,NM,FR,
