Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Allen, Harry",,,-,,,1,-,-,1,1,,,,,1,,,-,-,4.0
"Armstrong, Les",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Baker, Jack",,,1,-,-,-,-,1,-,-,-,-,-,-,1,-,,1,,4.0
"Blencowe, Jack",,,,,,,,,,1,,1,,,,,,,,2.0
"Brownlees, Rupe",,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brownlees, Tom",1,-,1,-,-,,,2,,,,,,,,,,,,4.0
"Burleigh, Gordon",,,,1,,,,,,,,,,,,,,,,1.0
"Collins, Basil",,,,,-,,,,,,,,,,,,,,,
"Conradi, Harold",,,,,-,,,,,,,,,,,,,,,
"Dalton, Bert",-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,
"Eason, Alec",,-,1,2,1,-,-,-,-,-,-,-,2,-,-,-,-,-,1,7.0
"Eason, Bill",1,1,3,3,-,1,1,1,-,-,2,2,-,3,1,-,1,2,-,22.0
"Fairbairn, Les",,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,-,1.0
"Freeman, Neil",-,,-,,,,,,,,,,,,,,,,,
"Gray, Jack",-,-,,-,,,1,-,-,-,-,-,1,-,-,-,-,-,-,2.0
"Grigg, Dick",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2.0
"Healy, Leo",-,-,-,-,-,2,-,-,-,-,2,-,1,-,,,-,-,-,5.0
"Heinz, George",2,1,-,1,1,-,1,1,3,-,-,3,1,1,2,2,2,-,1,22.0
"James, Les",-,-,,,,,,,1,,1,-,-,-,1,-,1,-,-,4.0
"Johns, Alwyn",-,-,,,,-,-,-,-,2,2,-,-,1,1,1,1,1,1,10.0
"Marsham, Harry",-,-,-,1,-,-,-,-,1,-,-,-,-,1,,-,1,-,-,4.0
"Martini, Percy",4,3,3,3,3,-,3,3,3,-,,1,3,6,3,1,2,3,1,45.0
"McCarter, Billy",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Moulden, Bill",-,,,1,,,,,,,,,,,,,,,,1.0
"Orchard, Billy",-,2,1,1,-,-,2,-,,,2,2,-,1,1,1,1,,,14.0
"Rankin, Bert",-,-,,-,1,,,,,,,,,,,,,-,-,1.0
"Scown, Percy",,,,,,-,-,,,,-,-,-,-,-,-,-,,,
"Slater, Joe",-,,,,,-,,,-,-,-,,-,-,-,-,-,-,-,
"Wilton, Billy",-,,-,-,-,,,,,,,,,,,,,,,
Totals,8,7,10,13,6,4,9,8,9,5,9,9,8,13,11,5,9,8,5,156.0
Opponent,ES,SM,ME,UN,RI,FI,CA,SK,CW,ES,SM,ME,UN,RI,FI,CA,SK,CW,SM,
