Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R3,R15,R16,R17,SF,GF,Tot
"Adams, Ernie",-,2,-,-,,,2,-,,,,,,,,,,,,4.0
"Bowe, Bill",-,,,,,,,,,,,,,,,,,,,
"Byers, Eddie",-,-,-,,,,,,-,,,-,-,-,,,,,,
"Cumberland, Vic",2,-,-,-,-,1,-,-,-,2,-,-,-,,-,1,-,1,-,7.0
"Gardner, Corrie",-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"Gardner, Eric",,,,,,,,,1,2,-,1,,-,,1,-,-,,5.0
"Geddes, Stewart",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,1,1.0
"Graham, Harry",,,,,,,,1,2,,,,,,,,,,,3.0
"Hay, Ced",,,,,,,,,,,,,,-,,,,,,
"Hay, Harold",,,,,,,,,,,,-,-,,1,-,1,-,-,2.0
"Herring, Maurie",,,,,,,,,,,,,,,,,,-,-,
"Langley, Frank",1,1,2,-,2,1,-,-,,-,-,-,2,-,-,-,-,-,-,9.0
"Leith, Jack",,-,-,-,,1,3,-,1,-,3,4,2,-,2,1,-,1,1,19.0
"Lewis, Austin",,-,-,-,-,1,-,-,-,,-,-,-,-,-,1,,-,-,2.0
"McClelland, Bill",-,-,-,-,-,-,,,,,,-,-,-,,-,-,-,-,
"McCulloch, Bill",,,,-,,,,,,,,,,,,,,,,
"McGinis, Fred",1,-,-,-,-,1,-,-,2,-,-,,-,-,-,3,1,2,-,10.0
"McGuigan, Bryan",-,,,,,-,,,,,,,,,,,,,,
"Moodie, George",-,-,-,-,-,-,-,1,1,-,-,,2,-,-,-,-,-,-,4.0
"Moriarty, Dan",,-,-,-,-,-,-,-,-,,-,,-,-,-,,-,,,
"Parkin, Harry",,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,
"Pirrie, Dick",2,,,,-,,,,,-,,-,,,,,,,,2.0
"Purse, Jack",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Riggall, Harold",,,,,,,,,,,,,,1,,,,,,1.0
"Rippon, Harold",-,,,,,,,,,,,,,,,,,,,
"Rippon, Les",,-,-,-,-,-,-,-,,-,-,-,,-,-,2,-,-,-,2.0
"Ryan, Tommy",2,-,,1,3,2,4,4,1,-,-,-,-,2,1,3,-,,1,24.0
"Sholl, Eddie",,,-,,,,-,-,-,-,-,-,,,-,-,-,-,-,
"Sowden, Arthur",1,-,-,1,-,-,1,-,,-,-,-,-,-,-,-,-,-,,3.0
"Strahan, Dave",,,-,,-,,-,,-,-,,,,,,,,,,
"Wardill, Dick",-,1,,1,1,1,5,-,1,-,1,1,1,-,1,,1,3,1,19.0
"Young, Charlie",-,1,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,-,1.0
Totals,9,5,2,3,6,8,15,6,9,4,4,6,7,3,5,12,3,7,4,118.0
Opponent,SK,ES,GE,FI,SM,CW,SK,ES,CA,GE,FI,SM,CW,CA,GE,SK,CW,ES,FI,
