Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Bergman, Miller",3,6,3,,,,,5,2,6,3,5,-,2,35.0
"Bonar, Aiden",5,,,2,,,,,,,,,,,7.0
"Coleman-Jones, Callum",,,,,,,1,,,7,2,6,5,2,23.0
"Comben, Charlie",3,1,4,1,5,2,1,,,,,,,,17.0
"Corr, Aidan",,10,5,2,2,2,10,7,5,,,,2,3,48.0
"Cunnington, Ben",3,2,2,-,3,3,5,1,,,,,,,19.0
"Curtis, Paul",3,1,4,3,,1,2,5,4,1,1,,2,2,29.0
"Davies-Uniacke, Luke",1,7,,4,3,2,,2,3,,,,,,22.0
"Drury, Blake",,,,,,,,4,1,-,,,,,5.0
"Ford, Eddie",,,,,,,,,,4,6,6,7,-,23.0
"Goater, Josh",3,5,3,,,,,,,,,,,,11.0
"Goldstein, Todd",,-,1,2,2,-,2,6,5,3,2,2,2,4,31.0
"Greenwood, Hugh",1,3,1,2,2,,,,1,4,3,2,,1,20.0
"Hall, Aaron",,,,,,5,12,,,4,5,4,5,,35.0
"Howe, Daniel",,1,5,3,5,-,6,,,5,5,,,,30.0
"Larkey, Nick",3,2,2,2,2,2,3,5,5,5,8,7,3,5,54.0
"Lazzaro, Charlie",,,,,,,,-,,,1,,,,1.0
"Logue, Griffin",4,7,6,,8,5,5,3,4,2,6,4,8,4,66.0
"Mahony, Jack",,,,,,,,7,1,,,,,,8.0
"McDonald, Luke",5,5,8,8,5,5,7,4,7,7,5,5,2,7,80.0
"McKay, Ben",,,,,1,3,7,10,5,6,3,10,5,11,61.0
"Perez, Flynn",,,,,,,,7,1,,,,,,8.0
"Phillips, Will",-,,2,2,2,-,,,,1,2,-,4,1,14.0
"Powell, Tom",3,3,7,-,3,3,-,,,3,3,1,3,2,31.0
"Scott, Bailey",5,6,2,3,5,3,5,6,5,6,6,5,4,6,67.0
"Sheezel, Harry",9,8,7,5,2,3,11,8,4,5,6,2,7,4,81.0
"Shiels, Liam",3,3,4,2,5,2,6,7,4,5,,4,2,4,51.0
"Simpkin, Jy",3,2,,2,-,,10,1,1,4,2,-,,-,25.0
"Spicer, Phoenix",,,,,,,,,1,1,-,1,2,1,6.0
"Stephenson, Jaidyn",2,2,3,5,2,3,5,6,3,1,9,5,6,3,55.0
"Taylor, Curtis",6,4,5,8,8,5,7,4,3,,,,,,50.0
"Thomas, Tarryn",,,,,,,,,,,,2,2,2,6.0
"Tucker, Darcy",,,1,5,6,6,6,7,-,,,7,2,,40.0
"Turner, Kayne",1,5,4,4,-,2,4,,,,,,,,20.0
"Wardlaw, George",,,,,,,,,,2,5,-,2,-,9.0
"Xerri, Tristan",1,,,,,,,,,,,,,,1.0
"Ziebell, Jack",9,11,6,7,6,8,6,18,8,7,7,7,4,4,108.0
"Zurhaar, Cameron",1,1,4,2,-,4,3,4,3,,3,2,2,5,34.0
Totals,77,95,89,74,77,69,124,127,76,89,93,87,81,73,1231.0
Opponent,WC,FR,HW,CA,BL,GC,ME,SK,PA,SY,CW,ES,GW,WB,
