Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,Tot
"Bailiff, Les",-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,
"Baker, Jack",-,,2,1,,1,,,,,,,,,,,,,4.0
"Bennion, Bill",,,,,,,,,,,,,,,,,-,1,1.0
"Bowey, Frank",-,,-,,,,,,,,,,,,,-,-,-,
"Buchan, Tommy",,-,-,2,1,-,1,-,1,1,-,-,,,-,,-,-,6.0
"Burns, Peter",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Coles, Charlie",-,1,1,,-,1,2,3,1,5,1,2,3,-,2,2,-,-,24.0
"Donaghy, Mick",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Fletcher, Percy",,,,,,,,,,,,,,,,-,,-,
"Flynn, Jim",,,,-,1,-,1,-,,-,-,2,,-,2,-,-,-,6.0
"Gill, Billy",,,,,,,,,-,-,,-,-,1,-,,,,1.0
"Hardiman, Jack",-,1,-,,-,,,,,,,,1,,,,,,2.0
"Holland, Ted",-,-,-,-,,-,,,,,,,,,,,,,
"Holligan, Teddy",1,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,4.0
"Horman, James",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,1.0
"Lockwood, George",,,-,-,-,-,-,-,,,,,,,,-,,,
"Lockwood, Teddy",,3,2,1,,,,,-,-,-,5,1,4,1,-,-,-,17.0
"Lord, Don",,,,,,,,,,-,,,-,,,,,,
"McCallum, Firth",-,1,-,,-,1,-,-,-,,-,-,,,,,,,2.0
"McKeegan, Tim",,,,,,-,-,-,-,-,-,-,-,,-,-,-,-,
"McShane, Jim",-,-,1,-,-,1,2,3,2,-,1,,1,1,1,2,-,,15.0
"McShane, Joe",-,-,,-,1,1,-,-,-,-,-,-,-,-,,1,1,,4.0
"Moodie, Bill",,,,,,3,2,1,-,,,,,,,,,,6.0
"Newling, Ernest",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"OLoughlin, Jack",,,,,,,,,-,-,-,-,-,-,-,1,-,-,1.0
"Palmer, George",,,,,,,,,,-,,,,,,,,,
"Palmer, Jimmy",-,-,-,-,-,,-,-,-,,-,-,-,-,,,-,,
"Powell, Joe",,,,,-,,,,,,,,,,,,,,
"Rankin, Teddy",-,-,-,-,-,1,1,-,2,2,-,1,-,-,-,-,1,1,9.0
"Saxbee, George",,,,,,,,,,,,,,,,-,,,
"Thompson, Archie",-,-,-,-,,,,,,,,,-,-,-,,,-,
"Woods, Ike",,,,,,,,,,,,,,-,-,-,3,1,4.0
"Young, Henry",1,-,,-,-,1,-,1,-,-,-,1,2,-,-,1,-,-,7.0
Totals,2,6,7,4,3,11,9,9,6,8,2,12,8,6,6,7,5,3,114.0
Opponent,ME,FI,CA,ES,CW,SK,SM,ME,FI,CA,ES,CW,SK,SM,CA,SM,ES,CW,
