Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,Tot
"Amon, Karl",4,3,5,3,3,5,3,8,3,2,4,5,3,3,6,60.0
"Blanck, James",3,2,,,,,,,-,5,1,2,2,-,1,16.0
"Bramble, Lachlan",8,5,2,,,,,1,4,7,5,3,2,8,,45.0
"Breust, Luke",5,4,5,6,4,1,3,,2,5,5,6,2,4,3,55.0
"Brockman, Tyler",,,6,-,2,2,3,3,,5,4,6,6,2,,39.0
"Butler, Sam",,1,,,,,,,4,4,4,3,1,1,4,22.0
"Day, Will",8,4,11,4,,,5,4,1,5,5,4,8,9,5,73.0
"Frost, Sam",5,3,6,3,4,7,7,5,3,5,3,4,,2,4,61.0
"Grainger-Barras, Denver",,,,,2,1,,,,,,,,,,3.0
"Greene, Fergus",2,6,4,2,7,6,1,-,,,,,,,6,34.0
"Hardwick, Blake",9,2,11,2,1,3,12,10,6,4,6,6,9,8,1,90.0
"Impey, Jarman",7,6,6,5,3,7,5,3,2,3,6,6,12,6,,77.0
"Jiath, Changkuoth",3,4,5,4,2,3,4,,3,,,,,,,28.0
"Koschitzke, Jacob",-,4,,,,,,,1,3,6,2,3,2,,21.0
"Lewis, Mitch",,,,,,,11,6,3,8,5,8,6,4,2,53.0
"Long, Ned",,,,,3,1,,,,,,,,,,4.0
"Lynch, Max",,,,,,-,,,,,,,,,,
"Macdonald, Bailey",,,,,,,,,,,,6,,,,6.0
"Macdonald, Connor",11,5,5,2,5,1,,1,,1,2,1,3,3,6,46.0
"Mackenzie, Cam",4,1,3,2,1,-,,,3,3,-,1,4,1,,23.0
"Maginness, Finn",6,3,4,6,,,,,,,,,,,3,22.0
"Meek, Lloyd",6,1,1,2,-,,,6,1,2,5,3,4,-,1,32.0
"Mitchell, Seamus",,,,,4,6,3,4,8,6,5,,4,6,6,52.0
"Moore, Dylan",9,8,12,4,3,4,2,4,1,3,9,2,5,1,3,70.0
"Morrison, Harry",,,7,3,4,6,6,8,4,,,,,,6,44.0
"Nash, Conor",1,4,3,-,1,1,-,2,1,8,4,1,6,1,-,33.0
"Newcombe, Jai",3,5,7,4,6,8,1,3,4,5,4,2,5,3,3,63.0
"Ramsden, Max",,,,,,,2,,,,,,,,,2.0
"Reeves, Ned",1,1,1,-,4,1,3,1,,2,1,1,1,1,1,19.0
"Scrimshaw, Jack",,,9,2,,2,3,3,,,,4,6,11,5,45.0
"Sicily, James",15,7,18,4,6,11,6,6,8,11,16,,12,,,120.0
"Ward, Josh",8,3,5,4,2,,5,3,,,,,,,6,36.0
"Weddle, Josh",,,,,,,5,2,4,7,4,4,5,4,5,40.0
"Wingard, Chad",3,,,6,-,1,8,6,4,,,,,,5,33.0
"Worpel, James",3,3,4,1,2,1,5,2,2,1,2,1,1,2,2,32.0
Totals,124,85,140,69,69,78,103,91,72,105,106,81,110,82,84,1399.0
Opponent,ES,SY,NM,GE,GW,AD,WB,FR,ME,WC,SK,PA,BL,GC,CA,
