Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,Tot
"Amon, Karl",-,-,2,-,1,-,-,-,-,-,-,1,1,-,5.0
"Blanck, James",-,1,,,,,,,1,-,-,-,-,1,3.0
"Bramble, Lachlan",-,1,1,,,,,1,-,-,-,-,-,-,3.0
"Breust, Luke",1,-,-,1,2,1,2,,-,3,-,1,-,-,11.0
"Brockman, Tyler",,,1,-,-,-,1,-,,-,-,-,-,-,2.0
"Butler, Sam",,-,,,,,,,3,1,-,-,1,1,6.0
"Day, Will",2,4,-,1,,,2,-,-,-,1,-,2,1,13.0
"Frost, Sam",-,-,2,-,-,1,-,-,-,-,-,-,,2,5.0
"Grainger-Barras, Denver",,,,,1,-,,,,,,,,,1.0
"Greene, Fergus",1,-,1,-,1,-,-,1,,,,,,,4.0
"Hardwick, Blake",-,2,1,-,1,-,-,-,-,1,-,-,-,-,5.0
"Impey, Jarman",1,-,1,1,-,2,1,1,1,-,1,1,-,-,10.0
"Jiath, Changkuoth",-,-,1,1,-,1,-,,3,,,,,,6.0
"Koschitzke, Jacob",2,1,,,,,,,2,-,-,2,1,1,9.0
"Lewis, Mitch",,,,,,,-,1,-,2,-,-,-,1,4.0
"Long, Ned",,,,,-,-,,,,,,,,,
"Lynch, Max",,,,,,-,,,,,,,,,
"Macdonald, Bailey",,,,,,,,,,,,1,,,1.0
"Macdonald, Connor",-,-,-,1,-,4,,-,,1,-,1,-,-,7.0
"Mackenzie, Cam",2,-,-,-,-,-,,,-,-,-,1,-,-,3.0
"Maginness, Finn",-,1,-,-,,,,,,,,,,,1.0
"Meek, Lloyd",1,2,1,2,-,,,1,-,1,1,-,1,-,10.0
"Mitchell, Seamus",,,,,-,-,-,-,1,1,3,,1,-,6.0
"Moore, Dylan",1,1,1,1,2,1,2,2,-,-,1,-,2,3,17.0
"Morrison, Harry",,,-,-,-,3,-,-,-,,,,,,3.0
"Nash, Conor",-,-,-,-,1,2,-,-,1,1,1,2,2,1,11.0
"Newcombe, Jai",-,1,3,4,2,-,1,2,1,1,3,3,-,5,26.0
"Ramsden, Max",,,,,,,-,,,,,,,,
"Reeves, Ned",1,-,1,1,2,-,-,-,,1,2,1,-,1,10.0
"Scrimshaw, Jack",,,2,-,,-,-,-,,,,1,1,-,4.0
"Sicily, James",1,-,-,1,-,-,1,-,1,1,2,,3,,10.0
"Ward, Josh",-,-,1,2,2,,-,-,,,,,,,5.0
"Weddle, Josh",,,,,,,-,-,-,-,-,2,1,1,4.0
"Wingard, Chad",1,,,-,1,4,-,1,-,,,,,,7.0
"Worpel, James",3,3,1,2,2,-,1,-,-,1,1,-,-,2,16.0
Totals,17,17,20,18,18,19,11,10,14,15,16,17,16,20,228.0
Opponent,ES,SY,NM,GE,GW,AD,WB,FR,ME,WC,SK,PA,BL,GC,
