Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,PF,Tot
"Adams, Taylor",25,16,30,,22,18,23,29,23,20,21,28,20,24,20,28,,28,9,,,,16,,,400.0
"Begg, Aiden",,,,,,,15,13,2,,,,,,,,,,,,,,,,,30.0
"Bianco, Trent",7,,,1,,,,7,,,,,,,,,20,13,11,3,14,,,16,8,100.0
"Brown, Callum",,,,19,12,4,13,,5,,,,,,,,,,,,14,,,,,67.0
"Brown, Tyler",9,8,-,,,,8,14,13,12,6,1,-,,,-,,,,,,,,,,71.0
"Cameron, Darcy",,6,13,8,7,8,16,21,11,12,13,26,15,17,15,12,17,4,16,6,15,13,14,10,17,312.0
"Carmichael, Josh",,,,,,,,,,,,,,,,14,24,5,12,17,11,,,-,,83.0
"Chugg, Isaac",,,,,,,,,,,,,,5,-,,,,,,,,,,,5.0
"Cox, Mason",9,,,,4,,,,,2,11,7,21,5,9,11,8,8,8,8,11,9,6,10,5,152.0
"Crisp, Jack",16,26,24,29,36,24,28,30,24,27,27,25,29,19,18,18,18,23,16,24,19,19,23,24,29,595.0
"Daicos, Josh",21,25,21,28,22,20,20,9,14,20,23,19,18,23,19,28,24,19,26,15,25,28,29,17,14,527.0
"Daicos, Nick",27,22,26,32,27,23,19,25,21,23,16,36,33,25,37,21,40,21,21,31,20,25,25,25,23,644.0
"Elliott, Jamie",17,13,26,12,,,,,,13,14,,19,14,13,20,18,14,11,13,6,12,8,15,7,265.0
"Ginnivan, Jack",10,21,6,12,,12,11,5,,12,9,10,8,18,8,8,13,5,8,5,7,8,9,11,7,223.0
"Grundy, Brodie",17,15,20,19,14,16,,,,,,,,,,,,,,,,,,,,101.0
"Henry, Oliver",10,13,13,6,,,,10,10,13,10,12,5,6,8,5,-,,,,,-,,,,121.0
"Hoskin-Elliott, Will",,13,15,10,15,18,17,14,13,14,8,16,20,23,17,13,9,11,12,4,9,10,14,12,11,318.0
"Howe, Jeremy",22,20,15,14,14,22,10,17,22,13,20,15,9,10,,20,14,20,9,18,20,16,16,17,12,385.0
"Johnson, Ash",,,,,,,,,,,,,,,,,11,6,12,7,8,3,9,8,2,66.0
"Kreuger, Nathan",,5,,,12,-,,,,,,,,,,,,,,,,,1,,4,22.0
"Lipinski, Patrick",30,24,23,21,22,18,30,30,23,29,21,29,18,21,20,17,28,17,21,17,15,19,18,21,19,551.0
"Macrae, Finlay",,,,,,,,,4,,,,,,,,,,,,,11,,,,15.0
"Madgen, Jack",16,11,17,9,13,9,6,-,3,,,,,,,,,,,,,,,,,84.0
"Maynard, Brayden",,,14,22,19,15,14,15,23,13,13,17,25,22,18,21,16,9,21,18,18,18,19,10,12,392.0
"McCreery, Beau",13,9,,,,7,9,9,3,12,-,11,13,10,6,12,12,13,7,5,10,14,14,6,9,204.0
"McInnes, Reef",,,14,6,10,2,-,,,,,7,,,,,,,,,,,,,,39.0
"Mihocek, Brody",14,11,7,13,,8,13,8,9,6,5,11,16,11,13,4,10,12,,9,6,6,6,9,8,215.0
"Moore, Darcy",16,18,11,14,17,12,13,13,17,12,10,16,14,16,13,,11,12,12,12,10,24,21,15,20,349.0
"Murphy, Nathan",,,,,,,,,,7,14,13,9,11,17,10,6,10,13,15,14,7,4,8,4,162.0
"Noble, John",22,17,18,13,6,23,21,16,18,18,21,18,18,20,23,18,13,11,13,15,20,16,27,21,14,440.0
"Pendlebury, Scott",24,28,20,23,27,25,25,24,,16,18,25,21,19,17,23,29,16,16,20,26,26,34,24,29,555.0
"Poulter, Caleb",,,,,,,,,13,,,,,,,,,,,,,,,,,13.0
"Quaynor, Isaac",20,20,21,11,14,13,14,17,16,13,12,16,16,13,15,15,,12,8,9,9,11,11,9,18,333.0
"Roughead, Jordan",,,,,6,,,,,,,,,,,,,,,,,,,,,6.0
"Ruscoe, Trey",,,,,,,,,,,,,,-,12,8,13,,,,,,,,,33.0
"Sidebottom, Steele",16,19,19,14,14,14,20,16,16,23,17,24,11,26,27,15,20,12,13,20,15,17,23,19,19,449.0
"Wilson, Tom",-,,,16,7,,,,,,,,,,,,,,,,,,,,,23.0
"de Goey, Jordan",27,24,20,,21,27,11,22,20,19,24,21,22,,11,,,,23,25,,16,26,24,12,395.0
Totals,388,384,393,352,361,338,356,364,323,349,333,403,380,358,356,341,374,301,318,316,322,328,373,331,303,8745.0
Opponent,SK,AD,GE,WC,BL,ES,GC,RI,WB,FR,CA,HW,ME,GW,GC,NM,AD,ES,PA,ME,SY,CA,GE,FR,SY,
