Player,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Bendle, Bill",1,-,-,-,-,-,,,2,1,,,2,,,,,6.0
"Brownlees, Tom",,-,2,1,-,-,-,-,-,1,-,-,-,-,1,3,-,8.0
"Buchanan, Vic",,,,,,,,,,,,,,,,-,,
"Clemenger, John",,,,,,,,,,,-,,,,,-,,
"Collins, Basil",,,,,,,,,,,,,,,,1,,1.0
"Craven, Harold",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Eason, Alec",2,1,1,1,1,1,-,-,-,1,-,1,-,-,2,,-,11.0
"Feder, Ted",,,,,-,-,,,,,,,,,,,,
"Gray, Jack",-,-,,-,-,-,,,,,,,,,,,,
"Grigg, Dick",,,,,,,,,,,,,,,,-,-,
"Gross, Vic",-,-,-,,,-,-,-,-,-,-,,,-,-,-,-,
"Hagger, Lloyd",4,3,2,3,1,2,1,1,1,2,1,-,-,1,-,,1,23.0
"Johns, Keith",,1,-,1,-,-,-,1,-,1,1,-,-,1,-,-,-,6.0
"Jones, Jockie",1,1,-,,,,-,-,1,,,2,3,-,,2,,10.0
"Keane, Bill",,,,,,,,,,,,-,-,-,2,1,-,3.0
"Kearney, Jim",,,-,,,,,,,,-,-,-,,,,,
"Kroger, Max",,-,-,-,-,,-,-,,1,-,-,-,-,1,-,-,2.0
"Lineen, Jock",-,,,,,,,,,,,,,,,,,
"Manson, Harold",,,,,,,,,,,,,,,,-,,
"Mathieson, Jim",-,-,1,1,-,-,2,-,1,-,-,-,,1,1,,2,9.0
"McCarter, Billy",-,-,-,-,-,-,-,1,-,-,-,-,,,-,-,-,1.0
"Murrell, Jack",,,,-,,,-,-,-,-,-,-,-,-,-,,-,
"Peck, Eric",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,-,1.0
"Rankin, Bert",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"Rankin, Cliff",3,7,4,4,5,2,4,5,4,3,3,10,1,1,3,2,2,63.0
"Rollason, Neville",-,-,,,,,,3,,,,,,,,-,,3.0
"Ross, Jack",-,,-,-,1,-,-,-,-,-,-,-,-,-,-,,-,1.0
"Sharland, Wallace",-,,1,-,3,3,1,,-,-,,,3,1,-,1,1,14.0
"Smith, Herbie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Smith, Les",,,,,,,,,,,,,,,,-,,
"Thomas, Stan",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,
Totals,11,13,11,12,11,8,8,11,9,10,5,13,9,6,10,10,6,163.0
Opponent,ES,CW,RI,FI,SK,CA,SM,ME,ES,CW,RI,FI,SK,CA,SM,ME,RI,
