Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,GF,Tot
"Anderson, Billy",-,,,,,,,-,2,1,-,-,,,,,,,,,,3.0
"Angwin, Bill",,,,,,,,,,,,,,,-,-,1,-,,,,1.0
"Baird, Des",-,-,,,,,,2,-,-,-,-,1,-,-,-,-,-,-,-,1,4.0
"Barwick, Vic",,,,,,,,,1,,,,,,,,,,,,,1.0
"Best, Arthur",2,1,3,,-,,-,,,,,,-,,,,,,,,,6.0
"Bowden, Bob",,,,,-,-,-,,,-,-,,-,-,-,-,-,-,-,-,-,
"Bowen, Ned",,,,,,-,-,,,,,,,,,,,,,,,
"Cazaly, Roy",-,-,-,1,-,-,-,-,-,,-,,1,-,-,-,1,-,-,3,-,6.0
"Collins, Ted",,-,-,-,-,-,-,-,-,-,1,-,1,2,1,-,-,-,1,1,-,7.0
"Cumberland, Vic",-,1,1,-,-,-,1,-,2,2,-,1,-,-,-,-,2,1,-,1,-,12.0
"Dangerfield, Gordon",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Doolan, Jim",,-,-,-,-,-,,,,1,,,,,,,,,,,,1.0
"Eicke, Wels",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Ellis, Reg",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Flintoft, Bill",,,,,-,,,,,,,,,,,,,,,,,
"Hanson, Fred",-,,,,,,,,,,,,,,,,,,,,,
"Harris, Dick",,-,-,-,-,-,2,,,1,-,-,,-,,,,,-,-,-,3.0
"Hattam, Harrie",-,,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2.0
"Hore, Bill",,,1,,,,,-,,,,,,,,,,,,,,1.0
"Jory, Percy",,,,-,1,1,-,3,-,1,-,-,-,-,-,-,-,-,1,1,-,8.0
"Lever, Harry",-,-,-,-,-,,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Lynch, Phil",-,4,-,3,2,-,-,1,1,-,1,1,2,1,-,3,-,-,-,-,-,19.0
"Menzies, Jock",-,1,-,,,-,,,,,,,,,,,,,,,,1.0
"Millhouse, Algy",,,,,,,,,,,,-,1,-,2,1,-,-,-,-,1,5.0
"Morrissey, George",,,,,,,,,-,-,3,5,,2,-,2,1,1,3,3,2,22.0
"Pierce, Bert",1,,-,1,,,,,,,,,,,,,,,,,,2.0
"Schmidt, Billy",2,2,1,-,-,-,1,-,3,1,-,1,-,-,3,1,-,1,1,1,-,18.0
"Sellars, Ernie",2,1,4,2,4,2,2,3,2,1,-,4,2,2,4,5,4,2,6,-,1,53.0
"Thomas, Artie",1,-,,-,,-,-,-,,,,,,,,,,,,,,1.0
"White, Paul",,-,-,-,,,,-,-,,,-,1,1,,,,,,,,2.0
"Woodcock, Bill",-,-,-,-,1,-,1,-,-,1,-,2,-,1,-,-,-,-,-,-,-,6.0
Totals,8,10,10,7,8,3,7,9,11,9,5,18,9,9,10,12,9,5,12,10,5,186.0
Opponent,SM,FI,UN,RI,ME,CA,CW,ES,GE,SM,FI,UN,RI,ME,CA,CW,ES,GE,SM,FI,FI,
