Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,Tot
"Barry, Dave",-,-,,,-,-,1,-,-,,,1,,-,-,-,-,,-,-,2.0
"Belcher, Vic",1,-,1,-,-,-,1,2,2,-,1,-,-,2,1,2,1,1,-,-,15.0
"Biehl, Francis",,,,,,,-,-,1,,,,,,,,,,,,1.0
"Bower, George",-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Caldwell, Jim",,,,,,,,,,-,-,-,-,-,-,-,,,,,
"Callan, Hughie",,,,,,-,,,,,,,,,,,,,,,
"Cameron, Jim",1,,-,1,-,-,1,-,-,-,1,1,-,1,-,-,,,1,,7.0
"Carpenter, Fred",,-,,,,,,,,,,,,1,1,1,-,-,4,-,7.0
"Casey, Dick",,-,2,3,,,,,,,,,,,,,,,,,5.0
"Charge, Les",,-,,-,,,-,1,4,-,,,,,,,,,,,5.0
"Deas, Bob",4,1,3,-,-,-,2,1,2,2,-,,1,1,3,-,2,2,1,1,26.0
"Dolphin, Bill",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Franks, Bert",3,-,-,-,1,-,,,,,,,,,,,,,,,4.0
"Gough, Alf",-,1,1,-,2,2,1,-,1,2,-,-,1,-,2,-,-,-,-,-,13.0
"Grimshaw, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hiskins, Arthur",1,-,1,-,1,1,2,-,-,,5,1,-,-,1,-,-,-,1,3,17.0
"Hosking, Toner",-,,,-,,,,,,,,,,,,,,,,,
"Jones, Jack",,,1,,,,,,,,,,,,,,,,,,1.0
"Kerr, Alex",-,1,-,-,-,-,-,-,1,2,1,2,-,2,2,2,3,-,1,-,17.0
"Kirchner, Ted",,,,,,,,-,-,-,-,-,,,,,,-,,,
"Lynch, Jim",,-,,,,,,,,,,,,,,,,,,,
"Mortimer, Len",-,2,,-,1,2,2,1,,2,4,-,2,1,-,2,3,2,2,2,28.0
"Moxham, Billy",-,,,,,,,,,,,,-,,,,1,,,,1.0
"Pentland, Alan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Prince, Joe",,,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,3.0
"Punshon, Arthur",,,,,,,,,,,,,,,,,1,-,-,-,1.0
"Ricketts, Charlie",,,-,,,,,,,,,,,,,,,,,,
"Scobie, Jack",-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,2.0
"Sloss, Bruce",,,,,,,,,,1,1,-,-,2,1,-,-,-,-,-,5.0
"Streckfuss, Bert",1,-,-,-,1,1,-,1,-,1,-,-,-,,,,,-,-,-,5.0
"Thomas, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Wade, Ted",,,,,,,,,,,,,,,,,,,,-,
"Walsh, Jack",-,-,-,,-,,-,,,,,,,,,,,,,,
Totals,11,5,10,4,6,6,11,6,11,10,13,5,4,10,11,8,11,7,10,6,165.0
Opponent,RI,CW,ES,CA,UN,GE,ME,SK,FI,RI,CW,ES,CA,UN,GE,ME,SK,FI,CA,CW,
