Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,Tot
"Aish, James",-,4,2,-,-,2,2,-,-,2,4,-,,,2,2,20.0
"Amiss, Jye",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Banfield, Bailey",-,-,,-,-,-,-,-,-,3,1,-,-,,,,4.0
"Brayshaw, Andrew",4,1,3,2,2,1,2,3,3,1,2,1,1,1,-,2,29.0
"Brodie, Will",2,-,,,1,-,-,,,,,,,,,,3.0
"Chapman, Heath",2,3,3,,,,,,,,,,,,,,8.0
"Clark, Jordan",3,-,2,3,4,6,3,4,3,3,1,4,5,2,1,3,47.0
"Corbett, Josh",,,,,,-,,,,,,,,,,,
"Cox, Brennan",5,4,5,3,2,3,4,7,3,6,4,3,11,4,5,3,72.0
"Darcy, Sean",-,-,-,-,-,1,-,-,-,1,-,,,1,-,1,4.0
"Erasmus, Neil",,,,,,,-,1,1,,,,1,-,-,2,5.0
"Frederick, Michael",-,-,1,,1,-,,-,1,-,-,-,,-,1,-,4.0
"Fyfe, Nat",-,,,,,,,-,-,-,-,1,-,1,-,,2.0
"Henry, Liam",-,-,1,1,,,,,,,,-,1,3,3,-,9.0
"Hughes, Ethan",2,2,1,2,-,2,5,5,2,3,2,6,-,-,2,3,37.0
"Jackson, Luke",-,1,1,1,1,-,-,-,3,2,-,2,-,1,-,1,13.0
"Johnson, Matthew",,,-,1,-,1,1,,,1,2,1,2,2,1,2,14.0
"ODriscoll, Nathan",,,2,1,,,-,-,-,1,-,1,3,,,,8.0
"OMeara, Jaeger",-,-,1,-,1,1,1,1,-,2,2,,1,1,1,2,14.0
"Pearce, Alex",3,6,2,5,1,3,3,2,2,1,4,2,2,1,2,2,41.0
"Ryan, Luke",10,7,7,7,5,9,9,6,4,7,9,8,6,6,7,15,122.0
"Schultz, Lachie",-,-,-,-,2,-,-,-,-,1,1,-,1,-,-,-,5.0
"Serong, Caleb",1,4,4,1,2,5,3,1,3,2,4,3,5,1,1,2,42.0
"Sturt, Sam",,,,,-,-,-,,,,-,-,-,-,,,
"Switkowski, Sam",1,-,2,-,-,,-,-,-,-,-,1,1,-,-,-,5.0
"Taberner, Matthew",-,-,-,-,,,,,,,,,,,,,
"Treacy, Josh",-,,,,,,,-,-,-,1,-,-,-,-,-,1.0
"Wagner, Corey",,,,,3,3,,,,,,,,,,,6.0
"Walker, Brandon",,,,3,1,1,2,2,4,1,-,3,7,1,2,1,28.0
"Walters, Michael",,-,-,-,1,-,-,-,-,-,,-,-,-,-,-,1.0
"Wilson, Nathan",4,1,3,2,,,,,,,,,,,,,10.0
"Worner, Karl",,,,,,,,,,,,,,,,-,
"Young, Hayden",6,1,4,1,5,4,9,2,2,4,10,9,4,6,8,5,80.0
Totals,43,34,44,33,32,42,44,34,31,41,47,45,51,31,36,46,634.0
Opponent,SK,NM,WC,AD,GC,WB,BL,HW,SY,GE,ME,RI,GW,ES,WB,CA,
