Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,GF,Tot
"Baquie, Jack",1,1,1,-,1,1,-,1,,-,2,,-,-,2,2,-,-,-,1,13.0
"Barningham, Alick",1,,-,-,1,2,-,1,-,-,3,-,,,-,-,-,,,,8.0
"Batty, Les",,,-,,,,,,,,,,,,,,,,,,
"Bristow, Jack",,,,,,,,,,,,,,,,,2,-,,,2.0
"Bruce, George",-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,2.0
"Clancy, Tom",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,2.0
"Clark, Norman",-,-,,-,,-,-,-,-,-,-,-,-,-,-,1,,-,-,-,1.0
"Cornish, Claude",,,,,,,,,,,,1,,,-,,,-,,,1.0
"Elliott, Fred",-,1,-,-,1,-,-,-,1,-,1,-,-,1,-,-,1,1,1,-,8.0
"Flynn, Jim",,,,,,,,,,,,,,,,,,,-,,
"Ford, Arthur",-,-,-,-,-,-,1,-,-,-,-,1,-,2,,,,,,,4.0
"Fraser, Doug",,,,,,,-,1,-,1,3,,-,1,-,-,-,-,,,6.0
"Gardiner, Vin",1,,,,5,3,1,1,5,3,4,4,2,-,5,1,5,-,1,1,42.0
"Gillespie, Doug",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,
"Goddard, Bill",,-,-,-,-,,,-,-,-,,,2,-,,-,,-,-,-,2.0
"Gotz, Martin",2,-,-,-,-,-,-,1,-,-,-,,-,-,1,1,,-,2,-,7.0
"Harris, Dick",-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,
"Hay, Charlie",,,,,,,,,-,,,,,,,,,,,,
"Holland, Reuben",,,,,,,,,,,,3,,,,-,,,,,3.0
"Jamieson, Ernie",,,,,,,,,-,,,,,,1,-,-,-,-,-,1.0
"Lang, Alex",-,1,2,1,3,2,1,-,,2,-,1,,1,,1,,,,,15.0
"Marchbank, Jim",1,-,1,-,-,-,-,1,-,-,2,-,-,-,1,-,-,-,1,1,8.0
"Massey, Jack",,,,,,,,,,,,,,,,,1,-,,,1.0
"McCluskey, Tom",,,,,,,,,,,,,,,,,-,-,-,-,
"McDonald, Andy",-,2,1,3,1,-,3,1,1,-,1,1,2,-,1,-,-,1,1,-,19.0
"McGregor, Rod",,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3.0
"Neylan, Jim",,-,,,,,,,,,,,,,,,,,,,
"ODonnell, Andy",-,,,,,,,,,,,,,,,,,,,,
"Payne, Billy",-,,,,,,-,,,,-,-,-,-,-,-,-,-,-,-,
"Sheehan, Percy",,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,,-,-,
"Topping, George",2,4,4,2,,,,,,,,,,,,,,,,,12.0
"Tumilty, Jim",,,,,-,1,,,,,,,,,,,,,,,1.0
"Wells, Jack",1,-,-,-,1,2,-,-,1,-,-,1,-,,,,,,-,1,7.0
"Wilson, Archie",,,,,,,,,,,,,,,,,-,,-,-,
Totals,9,10,9,6,14,11,6,7,9,6,16,13,6,5,11,7,9,2,6,6,168.0
Opponent,CW,GE,ME,SM,FI,UN,ES,RI,SK,CW,GE,ME,SM,FI,UN,ES,RI,SK,SM,CW,
