Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,Tot
"Ainsworth, Ben",4,2,3,4,1,3,3,,,3,4,2,2,31.0
"Anderson, Noah",-,2,3,5,4,2,4,2,7,2,3,5,4,43.0
"Andrew, Mac",,,,2,1,3,,,2,4,3,,2,17.0
"Atkins, Rory",,,,,,,1,4,2,-,2,2,1,12.0
"Ballard, Charlie",2,3,4,4,2,2,1,3,-,3,3,-,5,32.0
"Berry, Tom",,,,,,,,1,4,2,-,2,2,11.0
"Casboult, Levi",2,2,6,4,,3,,5,,2,5,2,4,35.0
"Chol, Mabior",-,,,,2,2,3,6,4,,,,,17.0
"Collins, Sam",6,2,1,-,1,-,-,3,-,1,4,2,1,21.0
"Constable, Charlie",6,2,,,,,,,,,,,,8.0
"Davies, Alex",4,,,,,,4,4,3,2,4,4,2,27.0
"Day, Sam",,,,,,,,,2,1,,,,3.0
"Ellis, Brandon",,,,,-,2,1,3,1,2,,,,9.0
"Farrar, Jy",5,,3,,,,,,,,1,2,,11.0
"Fiorini, Brayden",2,1,,,3,4,1,3,3,6,6,-,-,29.0
"Flanders, Sam",4,-,1,,,,,1,,,,,,6.0
"Hollands, Elijah",6,1,4,7,,,,,,,,,,18.0
"Holman, Nick",2,4,1,3,1,1,2,,,-,2,4,3,23.0
"Humphrey, Bailey",,,,3,1,2,3,5,2,3,5,3,3,30.0
"Jeffrey, Joel",4,-,4,-,,,,,,,1,1,-,10.0
"King, Ben",4,2,3,3,2,1,1,1,1,-,3,-,1,22.0
"Lemmens, Sean",,,,,1,1,3,2,2,2,,,,11.0
"Long, Ben",4,3,4,7,3,5,4,3,,,4,1,5,43.0
"Lukosius, Jack",2,3,2,-,1,1,8,5,2,2,3,1,1,31.0
"Macpherson, Darcy",2,1,4,7,3,4,2,7,1,4,4,4,2,45.0
"Miller, Touk",5,10,2,2,3,6,,,,,,,,28.0
"Moyle, Ned",,,,1,2,,,,,,,,,3.0
"Oea, Hewago",,,1,6,,,,,2,,,,,9.0
"Powell, Wil",,,3,2,3,-,1,3,4,4,7,2,2,31.0
"Rosas, Malcolm",,1,1,2,1,1,-,1,1,-,3,4,1,16.0
"Rowell, Matt",4,2,11,2,2,2,7,4,7,5,1,4,3,54.0
"Sexton, Alex",,1,-,-,1,,1,,,,,,2,5.0
"Swallow, David",2,2,3,2,2,-,3,3,1,7,6,4,4,39.0
"Tsitas, James",,,,,,,,-,-,,,,,
"Uwland, Bodhi",4,1,,,,,,,,,,1,,6.0
"Weller, Lachie",,1,6,5,-,3,-,,,,,,,15.0
"Witts, Jarrod",4,-,2,,,5,5,1,2,2,5,2,1,29.0
Totals,78,46,72,71,40,53,58,70,53,57,79,52,51,780.0
Opponent,SY,ES,GE,SK,FR,NM,RI,ME,WC,BL,WB,AD,CA,
