Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,Tot
"Abbott, Clarrie",,,-,-,,,,,,,,,,,,,,,
"Angus, George",1,1,-,-,-,-,-,-,-,-,2,-,1,1,1,-,1,1,9.0
"Baxter, Jim",,,,,,,-,,,,,,,,,,,,
"Baxter, Tom",-,1,-,-,-,-,-,2,2,1,,-,-,-,-,-,,1,7.0
"Cheffers, Herbert",2,2,-,-,-,1,-,,,,,,,,,,,,5.0
"Diggle, Graham",,,,,,,,-,-,,-,-,-,-,,-,1,-,1.0
"Drohan, Eddie",1,-,-,1,-,-,1,-,-,1,2,2,-,1,-,-,1,-,10.0
"Dummett, Alf",,,,,,,,,,,,,,,,,-,,
"Gibb, Percy",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Green, George",-,-,-,-,-,-,,-,,1,-,-,-,-,-,-,,-,1.0
"Hambridge, Vic",-,,,,,,,,,,,,,,,,,,
"Hay, Johnny",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Holland, Alex",-,,,,,,,,,,,,,-,,,,,
"Leach, Arthur",-,-,1,-,1,1,-,-,-,-,-,1,-,-,-,-,1,1,6.0
"Lee, Dick",1,-,1,2,3,2,,5,1,2,5,4,2,7,-,7,3,2,47.0
"McHale, Jock",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Meadway, Barney",,,,,,,,,-,-,-,,,,,,,,
"Monohan, Jack",,,,-,,,,,,,,,,,,,,,
"Nash, Bob",-,-,-,-,,,-,-,,,,,-,-,-,,,,
"ODonoghue, Dave",,,,,,-,,-,-,-,-,-,-,,,-,,-,
"Pannam, Albert",,,,,-,-,,-,1,-,1,-,-,-,-,-,-,1,3.0
"Pannam, Charlie",-,1,,,,,,,,,,,,,,,,,1.0
"Pears, Harry",,,2,-,-,,1,1,-,1,3,1,,1,-,,-,,10.0
"Pleasents, Orm",,,-,,,,,,,,,,,,,,,,
"Reitman, Bert",,-,,,,,,,,,,,,,,,,,
"Rowell, Ted",-,-,1,1,2,-,3,2,5,1,2,1,1,4,1,1,-,-,25.0
"Rudduck, Ernie",,,,,-,-,-,-,-,1,-,1,1,-,-,-,-,-,3.0
"Rush, Bob",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Ryan, Dave",,,,,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Stancliffe, Fred",1,1,-,-,,,,,,,,,,,,,,,2.0
"Strachan, Bob",,,,,,-,,,,,,,,,,,1,,1.0
"Wilcher, Frank",-,-,,,-,-,-,-,-,-,-,-,-,,-,1,-,-,1.0
"Worle, Tommy",,,,-,-,,-,,,,,,,,,,,,
"Wright, Tom",,-,-,,,,-,,,,,,,1,1,2,1,-,5.0
Totals,6,8,5,4,6,4,5,11,9,8,15,10,5,15,3,11,9,6,140.0
Opponent,FI,SK,SM,ME,ES,CA,GE,FI,SK,SM,ME,ES,CA,GE,SK,FI,GE,SM,
