Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Atkins, Tom",R1,geelong,CW,21.0,9.0,12.0,1.0,0.0,0.0,4.0,4.0,11.0,9.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,80,-,2.0,0.0,0.0
"Bews, Jed",R1,geelong,CW,11.0,6.0,5.0,0.0,0.0,2.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,80,-,0.0,1.0,0.0
"Blicavs, Mark",R1,geelong,CW,13.0,5.0,8.0,0.0,0.0,2.0,4.0,5.0,7.0,5.0,5.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,89,-,3.0,1.0,0.0
"Bowes, Jack",R1,geelong,CW,,,,,,,,,,,,,,,,,,,,,,,
"Bruhn, Tanner",R1,geelong,CW,17.0,9.0,8.0,0.0,0.0,2.0,3.0,4.0,7.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,64,-,3.0,1.0,0.0
"Cameron, Jeremy",R1,geelong,CW,16.0,16.0,0.0,2.0,1.0,8.0,2.0,0.0,2.0,14.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,0.0,100,-,1.0,1.0,0.0
"Ceglar, Jonathon",R1,geelong,CW,,,,,,,,,,,,,,,,,,,,,,,
"Clark, Jhye",R1,geelong,CW,,,,,,,,,,,,,,,,,,,,,,,
"Close, Brad",R1,geelong,CW,10.0,5.0,5.0,0.0,2.0,2.0,2.0,4.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,80,-,1.0,2.0,0.0
"Dangerfield, Patrick",R1,geelong,CW,22.0,9.0,13.0,1.0,0.0,3.0,6.0,1.0,15.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,62,-,10.0,3.0,1.0
"De Koning, Sam",R1,geelong,CW,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,-,0.0,4.0,0.0
"Dempsey, Oliver",R1,geelong,CW,,,,,,,,,,,,,,,,,,,,,,,
"Duncan, Mitch",R1,geelong,CW,,,,,,,,,,,,,,,,,,,,,,,
"Guthrie, Cameron",R1,geelong,CW,15.0,10.0,5.0,0.0,0.0,1.0,3.0,4.0,7.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,74,-,3.0,3.0,0.0
"Guthrie, Zach",R1,geelong,CW,12.0,8.0,4.0,0.0,0.0,7.0,0.0,2.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,91,-,0.0,4.0,0.0
"Hawkins, Tom",R1,geelong,CW,11.0,6.0,5.0,2.0,2.0,4.0,0.0,0.0,7.0,4.0,4.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,86,-,2.0,0.0,0.0
"Henry, Jack",R1,geelong,CW,,,,,,,,,,,,,,,,,,,,,,,
"Henry, Oliver",R1,geelong,CW,15.0,8.0,7.0,2.0,0.0,6.0,2.0,2.0,10.0,6.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,1.0,83,-,2.0,0.0,0.0
"Holmes, Max",R1,geelong,CW,17.0,10.0,7.0,1.0,0.0,1.0,2.0,4.0,5.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,80,-,2.0,2.0,0.0
"Knevitt, Mitch",R1,geelong,CW,,,,,,,,,,,,,,,,,,,,,,,
"Kolodjashnij, Jake",R1,geelong,CW,,,,,,,,,,,,,,,,,,,,,,,
"Miers, Gryan",R1,geelong,CW,19.0,7.0,12.0,0.0,2.0,5.0,1.0,0.0,7.0,12.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,0.0,87,-,6.0,2.0,0.0
"Mullin, Oisin",R1,geelong,CW,,,,,,,,,,,,,,,,,,,,,,,
"OConnor, Mark",R1,geelong,CW,15.0,8.0,7.0,0.0,0.0,3.0,0.0,4.0,5.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,92,-,0.0,1.0,0.0
"Parfitt, Brandan",R1,geelong,CW,5.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,41,On,2.0,0.0,0.0
"Ratugolea, Esava",R1,geelong,CW,6.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,94,-,4.0,11.0,0.0
"Rohan, Gary",R1,geelong,CW,8.0,5.0,3.0,2.0,0.0,5.0,0.0,1.0,1.0,7.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,81,-,3.0,1.0,0.0
"Simpson, Sam",R1,geelong,CW,,,,,,,,,,,,,,,,,,,,,,,
"Smith, Isaac",R1,geelong,CW,21.0,19.0,2.0,1.0,0.0,6.0,1.0,2.0,3.0,14.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,6.0,88,-,2.0,1.0,1.0
