Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Battle, Josh",R1,stkilda,FR,16.0,7.0,9.0,0.0,0.0,6.0,1.0,2.0,8.0,8.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,89,-,5.0,6.0,0.0
"Butler, Dan",R1,stkilda,FR,8.0,5.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,55,Off,3.0,3.0,0.0
"Byrnes, Ryan",R1,stkilda,FR,27.0,19.0,8.0,0.0,0.0,5.0,4.0,1.0,12.0,14.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,3.0,88,-,6.0,1.0,3.0
"Bytel, Jack",R1,stkilda,FR,16.0,9.0,7.0,1.0,0.0,4.0,3.0,7.0,7.0,9.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,79,-,4.0,0.0,0.0
"Caminiti, Anthony",R1,stkilda,FR,9.0,4.0,5.0,0.0,1.0,2.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,84,-,3.0,0.0,0.0
"Clark, Hunter",R1,stkilda,FR,18.0,12.0,6.0,0.0,1.0,1.0,4.0,4.0,11.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,59,-,4.0,1.0,0.0
"Cordy, Zaine",R1,stkilda,FR,6.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,79,-,1.0,0.0,0.0
"Crouch, Brad",R1,stkilda,FR,30.0,7.0,23.0,0.0,0.0,4.0,4.0,4.0,11.0,19.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,78,-,6.0,1.0,0.0
"Gresham, Jade",R1,stkilda,FR,17.0,11.0,6.0,2.0,0.0,4.0,0.0,2.0,8.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,89,-,5.0,0.0,3.0
"Higgins, Jack",R1,stkilda,FR,9.0,6.0,3.0,1.0,0.0,4.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,72,-,1.0,0.0,0.0
"Hill, Bradley",R1,stkilda,FR,21.0,12.0,9.0,0.0,0.0,4.0,1.0,4.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,87,-,1.0,1.0,3.0
"Howard, Dougal",R1,stkilda,FR,13.0,6.0,7.0,0.0,0.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,97,-,4.0,7.0,0.0
"King, Max",R1,stkilda,FR,,,,,,,,,,,,,,,,,,,,,,,
"Marshall, Rowan",R1,stkilda,FR,16.0,8.0,8.0,0.0,0.0,2.0,5.0,4.0,10.0,7.0,17.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,85,-,6.0,4.0,0.0
"Membrey, Tim",R1,stkilda,FR,,,,,,,,,,,,,,,,,,,,,,,
"Owens, Mitch",R1,stkilda,FR,15.0,10.0,5.0,2.0,0.0,6.0,1.0,1.0,9.0,7.0,0.0,1.0,2.0,0.0,3.0,0.0,4.0,0.0,81,-,3.0,0.0,1.0
"Paton, Ben",R1,stkilda,FR,6.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30,On,1.0,1.0,0.0
"Phillipou, Mattaes",R1,stkilda,FR,16.0,6.0,10.0,1.0,0.0,3.0,2.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,74,-,1.0,1.0,0.0
"Ross, Sebastian",R1,stkilda,FR,,,,,,,,,,,,,,,,,,,,,,,
"Sharman, Cooper",R1,stkilda,FR,,,,,,,,,,,,,,,,,,,,,,,
"Sinclair, Jack",R1,stkilda,FR,26.0,18.0,8.0,0.0,0.0,4.0,3.0,1.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,87,-,2.0,1.0,4.0
"Steele, Jack",R1,stkilda,FR,28.0,17.0,11.0,0.0,0.0,5.0,5.0,3.0,8.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,83,-,4.0,3.0,0.0
"Stocker, Liam",R1,stkilda,FR,20.0,10.0,10.0,0.0,0.0,9.0,1.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,77,-,1.0,1.0,0.0
"Wanganeen-Milera, Nasiah",R1,stkilda,FR,18.0,17.0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,87,-,5.0,0.0,2.0
"Webster, Jimmy",R1,stkilda,FR,14.0,9.0,5.0,0.0,0.0,5.0,1.0,1.0,5.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,50,-,4.0,0.0,1.0
"Wilkie, Callum",R1,stkilda,FR,24.0,14.0,10.0,0.0,0.0,3.0,0.0,1.0,9.0,14.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,97,-,6.0,4.0,0.0
"Windhager, Marcus",R1,stkilda,FR,,,,,,,,,,,,,,,,,,,,,,,
"Wood, Mason",R1,stkilda,FR,20.0,15.0,5.0,2.0,1.0,6.0,1.0,4.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,92,-,2.0,1.0,0.0
"Battle, Josh",R2,stkilda,WB,15.0,9.0,6.0,0.0,0.0,6.0,0.0,2.0,6.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,86,-,0.0,6.0,0.0
"Butler, Dan",R2,stkilda,WB,12.0,8.0,4.0,0.0,0.0,1.0,0.0,5.0,6.0,7.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,68,-,6.0,0.0,1.0
"Byrnes, Ryan",R2,stkilda,WB,8.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64,Off,0.0,0.0,0.0
"Bytel, Jack",R2,stkilda,WB,,,,,,,,,,,,,,,,,,,,,,,
"Caminiti, Anthony",R2,stkilda,WB,13.0,9.0,4.0,2.0,1.0,9.0,0.0,1.0,4.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,82,-,1.0,0.0,0.0
"Clark, Hunter",R2,stkilda,WB,26.0,14.0,12.0,0.0,0.0,7.0,2.0,3.0,5.0,20.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,69,-,6.0,2.0,0.0
"Cordy, Zaine",R2,stkilda,WB,13.0,9.0,4.0,2.0,0.0,6.0,0.0,2.0,3.0,10.0,7.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,87,-,2.0,2.0,0.0
"Crouch, Brad",R2,stkilda,WB,26.0,11.0,15.0,0.0,0.0,4.0,6.0,9.0,14.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,82,-,1.0,0.0,0.0
"Gresham, Jade",R2,stkilda,WB,18.0,12.0,6.0,2.0,0.0,7.0,2.0,2.0,7.0,13.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,0.0,85,-,3.0,1.0,0.0
"Higgins, Jack",R2,stkilda,WB,8.0,4.0,4.0,0.0,1.0,2.0,0.0,4.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,71,-,4.0,0.0,0.0
"Hill, Bradley",R2,stkilda,WB,22.0,13.0,9.0,0.0,0.0,8.0,1.0,4.0,5.0,18.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,90,-,3.0,1.0,0.0
"Howard, Dougal",R2,stkilda,WB,17.0,13.0,4.0,0.0,0.0,9.0,1.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,92,-,2.0,9.0,0.0
"King, Max",R2,stkilda,WB,,,,,,,,,,,,,,,,,,,,,,,
"Marshall, Rowan",R2,stkilda,WB,20.0,10.0,10.0,0.0,0.0,4.0,9.0,6.0,15.0,10.0,29.0,1.0,0.0,0.0,4.0,1.0,3.0,2.0,78,-,4.0,8.0,0.0
"Membrey, Tim",R2,stkilda,WB,,,,,,,,,,,,,,,,,,,,,,,
"Owens, Mitch",R2,stkilda,WB,17.0,9.0,8.0,3.0,2.0,3.0,1.0,4.0,7.0,9.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,88,-,0.0,0.0,1.0
"Paton, Ben",R2,stkilda,WB,21.0,14.0,7.0,0.0,0.0,7.0,0.0,2.0,6.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,79,-,1.0,5.0,1.0
