Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,Tot
"Acres, Blake",2,4,3,,5,9,4,3,1,-,2,1,3,2,3,42.0
"Boyd, Jordan",,,,,,,,,,1,3,4,4,3,4,19.0
"Carroll, Jack",,,,-,,,,,,,,,,,,
"Cerra, Adam",1,1,2,1,2,3,-,2,-,2,1,2,2,1,2,22.0
"Cincotta, Alex",,,,,,1,2,1,1,,,4,-,1,-,10.0
"Cottrell, Matthew",,,,,,,,,2,1,2,3,-,1,,9.0
"Cowan, Lachlan",1,-,3,1,1,2,,,,,,,,,,8.0
"Cripps, Patrick",2,1,2,1,1,-,1,-,1,-,-,-,-,1,1,11.0
"Cuningham, David",,,,,,,,,,,,,,-,-,
"Curnow, Charlie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Curnow, Ed",1,2,-,1,3,-,1,2,1,2,-,,-,,-,13.0
"De Koning, Tom",1,2,2,-,-,,,,,,-,1,-,1,,7.0
"Docherty, Sam",6,6,3,3,,,-,4,6,3,6,4,2,8,2,53.0
"Dow, Paddy",,,,,,,,,,,,2,-,-,,2.0
"Durdin, Corey",,-,-,-,-,-,-,1,1,-,-,,,,,2.0
"Fisher, Zac",-,2,3,3,-,4,2,,,,,1,,,,15.0
"Fogarty, Lachie",,,,,,,,,,,,,,2,2,4.0
"Hewett, George",3,,-,-,1,2,2,1,1,-,-,,,,-,10.0
"Hollands, Oliver",3,2,1,3,-,1,-,-,-,2,1,,,,,13.0
"Honey, Josh",,,,-,-,-,-,-,,,,,,,,
"Kemp, Brodie",,,,,,,4,3,,,4,5,1,3,3,23.0
"Kennedy, Matthew",3,1,,,3,2,-,-,2,3,1,1,1,1,-,18.0
"Martin, Jack",-,,,,,,,,,,,,-,-,1,1.0
"McGovern, Mitch",8,3,3,5,,3,2,3,5,4,2,5,3,7,6,59.0
"McKay, Harry",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Motlop, Jesse",-,-,-,-,-,1,,-,-,1,-,1,-,,,3.0
"Newman, Nic",5,5,5,6,3,6,2,4,2,4,1,,,3,5,51.0
"OBrien, Lochie",1,-,1,2,,3,,,,,,1,,,,8.0
"Owies, Matthew",-,-,-,,,,,,1,-,-,-,-,-,-,1.0
"Pittonet, Marc",,-,-,-,-,-,-,-,-,1,-,,,-,,1.0
"Plowman, Lachie",,,,,2,,,,,,,,,,,2.0
"Saad, Adam",7,4,4,5,6,,5,4,4,2,5,3,5,4,5,63.0
"Silvagni, Jack",-,-,-,1,1,-,-,1,-,2,,-,-,,1,6.0
"Walsh, Sam",,,,,-,2,-,1,-,2,2,1,5,-,2,15.0
"Weitering, Jacob",10,5,5,4,2,1,2,1,7,1,11,6,1,5,4,65.0
"Young, Lewis",3,2,6,6,2,4,1,-,6,6,,5,1,,-,42.0
Totals,57,40,43,42,32,44,28,31,41,37,41,51,28,43,41,599.0
Opponent,RI,GE,GW,NM,AD,SK,WC,BL,WB,CW,SY,ME,ES,GC,HW,
