Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,Tot
"Adams, Ernie",,1,1,-,-,,,,,-,,,,,,,,2.0
"Anderson, Lindsay",,,,,,1,,1,,,,,,,,,,2.0
"Boully, Harry",,,,,,,,,-,-,,-,,-,-,,-,
"Bowe, Bill",,,-,-,-,-,-,-,-,-,-,-,,-,-,1,-,1.0
"Cathie, George",,,,,,,,,,,,,,,,5,1,6.0
"Colclough, Graham",,-,-,,-,3,-,,2,,1,1,-,-,,,1,8.0
"Coutie, Vin",,,,,,,,,1,2,-,-,1,-,,2,1,7.0
"Cumberland, Vic",-,-,,,-,1,1,-,-,-,-,2,-,-,-,2,-,6.0
"De Gruchy, Harold",,,,,,,,,,-,,,,,,,,
"Gardner, Corrie",-,-,-,-,-,,,,-,-,-,-,-,-,-,,-,
"Gardner, Eric",,-,-,2,1,-,,,,,,,,,,,,3.0
"Garlick, Ed",,,-,,,,,,,,,,,,,,,
"Geddes, Stewart",-,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Herring, Maurie",,,,,,,,,,,,,,,,,-,
"Langley, Frank",1,-,-,-,1,,2,2,3,,4,,,1,2,1,-,17.0
"Leith, Jack",1,,,-,,-,1,1,,1,,,-,,,,,4.0
"Lewis, Austin",,,1,-,-,-,-,-,1,-,-,,,,,,,2.0
"McClelland, Bill",-,-,1,-,-,-,-,-,-,,-,-,-,,-,-,-,1.0
"McGinis, Fred",-,-,1,1,-,1,-,1,-,1,-,,,1,-,2,-,8.0
"McLean, Jim",-,-,,-,-,1,-,1,,-,-,2,,1,,,,5.0
"Moodie, George",-,1,,-,-,-,-,-,-,-,-,-,1,-,-,,,2.0
"Moriarty, Dan",-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Ogilvie, Laurie",,,,,,-,1,1,1,,,,,,,,,3.0
"Parkin, Harry",-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,
"Purse, Jack",-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,,-,2.0
"Reid, Curtis",,,,,,,,,,,,-,,,,-,,
"Rippon, Les",-,,-,-,,-,,,,,-,-,2,1,-,-,-,3.0
"Ryan, Tommy",-,1,3,,1,,-,,,,,-,-,,,3,,8.0
"Shaw, Billy",,-,,,,,,,,,,,,,,,,
"Sholl, Eddie",1,,,,,,,,,,,,-,,1,-,,2.0
"Sowden, Arthur",-,-,-,-,-,,-,-,-,,-,-,-,-,-,-,-,
"Strong, Jack",,,,,,,,,,-,,,,,,,,
"Tredinnick, Alf",,,,,,,,-,1,-,,,-,-,-,-,,1.0
"Wardill, Dick",-,1,-,,,,,,,,,,,,,,,1.0
"Wregg, Bert",,,,,,,,,,,,,1,,-,2,,3.0
"Young, Charlie",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
Totals,3,5,7,3,3,7,5,7,9,4,5,6,6,4,3,19,3,99.0
Opponent,GE,SM,SK,CW,ES,CA,FI,GE,SM,SK,CW,ES,CA,FI,CW,SK,FI,
