Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Allen, Oscar",2,3,3,4,5,2,5,3,1,2,3,3,4,40.0
"Barrass, Tom",3,4,4,7,4,9,2,3,6,,5,,,47.0
"Bazzo, Rhett",,,,,,4,2,,,3,9,8,6,32.0
"Chesser, Campbell",1,3,4,,,,,,,5,,,8,21.0
"Clark, Greg",,,,11,12,14,6,5,4,6,1,6,4,69.0
"Cole, Tom",12,4,8,8,,,,,,,,,,32.0
"Cripps, Jamie",7,9,4,,,,,,,,,,,20.0
"Culley, Jai",,,,11,11,3,2,1,,,,,,28.0
"Darling, Jack",5,3,4,4,6,2,5,-,1,,,,3,33.0
"Duggan, Liam",8,3,3,7,7,6,6,7,10,6,17,9,,89.0
"Edwards, Harry",,,,,,,,,2,2,,,,4.0
"Edwards, Luke",,,,8,6,10,9,5,3,,-,,3,44.0
"Foley, Luke",,,,,,3,4,6,9,6,3,3,2,36.0
"Gaff, Andrew",12,6,16,11,10,22,9,6,9,5,9,10,9,134.0
"Ginbey, Reuben",11,8,14,11,4,5,8,11,8,9,11,5,11,116.0
"Hewett, Elijah",,2,5,7,,,,,,,,3,,17.0
"Hough, Brady",,,,2,4,,,,2,8,12,4,7,39.0
"Hunt, Jayden",6,5,8,5,5,7,5,5,6,4,13,4,6,79.0
"Hurn, Shannon",6,4,10,4,,,6,7,,,6,1,,44.0
"Jamieson, Callum",1,,,,,,,,2,11,,11,,25.0
"Jones, Jamaine",7,9,7,9,9,10,6,12,-,1,,,,70.0
"Kelly, Tim",9,18,19,17,15,25,17,18,13,17,16,14,11,209.0
"Long, Noah",4,4,12,8,8,,,,,5,4,6,2,53.0
"Maric, Ryan",,,,,,,,,,,,,4,4.0
"McGovern, Jeremy",7,7,3,,,,,,,,,,,17.0
"ONeill, Xavier",4,,,,6,,9,5,5,5,6,8,7,55.0
"Petrevski-Seton, Sam",,11,6,3,1,4,3,,,,,,7,35.0
"Petruccelle, Jack",1,,,,7,4,4,5,5,4,4,5,8,47.0
"Rotham, Josh",,,,-,3,1,-,3,2,3,-,3,,15.0
"Ryan, Liam",2,4,3,,,,,,,,,,,9.0
"Sheed, Dom",13,17,12,,,,,15,12,9,8,21,8,115.0
"Shuey, Luke",9,15,4,,,8,,,,,,,9,45.0
"Trew, Zane",,,,,,7,,6,,,,,5,18.0
"Waterman, Jake",,5,7,3,5,9,3,1,2,2,1,8,,46.0
"West, Connor",,,,6,4,9,6,7,7,7,6,-,,52.0
"Williams, Bailey",5,7,6,8,8,11,9,5,5,6,6,10,12,98.0
"Witherden, Alex",9,6,2,,5,9,3,6,7,5,9,13,8,82.0
"Yeo, Elliot",,,,3,3,,,,,,13,13,15,47.0
Totals,144,157,164,157,148,184,129,142,121,131,162,168,159,1966.0
Opponent,NM,GW,FR,ME,GE,PA,CA,RI,GC,HW,ES,CW,AD,
