Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Allen, Oscar",-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Barrass, Tom",-,-,-,-,-,-,-,-,-,,-,,,
"Bazzo, Rhett",,,,,,-,-,,,-,-,-,-,
"Chesser, Campbell",-,-,1,,,,,,,-,,,1,2.0
"Clark, Greg",,,,-,1,1,2,1,-,-,-,-,-,5.0
"Cole, Tom",-,1,-,-,,,,,,,,,,1.0
"Cripps, Jamie",-,1,-,,,,,,,,,,,1.0
"Culley, Jai",,,,1,2,-,-,-,,,,,,3.0
"Darling, Jack",-,2,1,-,1,-,1,-,-,,,,1,6.0
"Duggan, Liam",-,-,2,-,-,-,2,2,1,1,2,1,,11.0
"Edwards, Harry",,,,,,,,,-,-,,,,
"Edwards, Luke",,,,4,4,2,2,1,2,,-,,1,16.0
"Foley, Luke",,,,,,-,-,-,2,-,-,-,1,3.0
"Gaff, Andrew",3,1,-,6,1,4,2,1,-,1,2,1,1,23.0
"Ginbey, Reuben",3,1,6,3,2,-,3,4,5,2,1,2,3,35.0
"Hewett, Elijah",,-,1,2,,,,,,,,2,,5.0
"Hough, Brady",,,,1,1,,,,-,2,-,-,-,4.0
"Hunt, Jayden",2,-,-,2,1,-,5,3,1,-,-,1,-,15.0
"Hurn, Shannon",-,1,-,-,,,-,-,,,-,-,,1.0
"Jamieson, Callum",-,,,,,,,,2,6,,3,,11.0
"Jones, Jamaine",-,4,2,1,4,3,1,1,-,-,,,,16.0
"Kelly, Tim",4,5,5,5,5,8,4,9,7,6,7,9,3,77.0
"Long, Noah",1,-,3,1,-,,,,,2,-,2,1,10.0
"Maric, Ryan",,,,,,,,,,,,,-,
"McGovern, Jeremy",-,1,-,,,,,,,,,,,1.0
"ONeill, Xavier",1,,,,-,,5,2,1,4,2,-,3,18.0
"Petrevski-Seton, Sam",,-,2,1,2,1,-,,,,,,1,7.0
"Petruccelle, Jack",-,,,,-,4,2,2,2,1,1,-,2,14.0
"Rotham, Josh",,,,-,-,-,-,-,-,-,-,-,,
"Ryan, Liam",1,-,-,,,,,,,,,,,1.0
"Sheed, Dom",4,7,2,,,,,9,4,5,1,10,2,44.0
"Shuey, Luke",4,9,4,,,2,,,,,,,3,22.0
"Trew, Zane",,,,,,2,,2,,,,,3,7.0
"Waterman, Jake",,-,1,-,1,1,1,-,-,-,-,-,,4.0
"West, Connor",,,,-,1,1,2,2,1,3,1,-,,11.0
"Williams, Bailey",3,2,4,4,2,13,5,5,2,2,4,5,6,57.0
"Witherden, Alex",-,2,-,,-,-,1,1,-,1,2,-,-,7.0
"Yeo, Elliot",,,,-,3,,,,,,5,7,5,20.0
Totals,26,37,34,31,31,42,38,45,30,37,28,43,37,459.0
Opponent,NM,GW,FR,ME,GE,PA,CA,RI,GC,HW,ES,CW,AD,
