Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,SF,Tot
"Atkins, Bert",,1,,,,,,-,-,-,-,,,,,1.0
"Berry, Reg",-,1,-,,-,1,1,-,-,1,-,-,-,1,1,6.0
"Bowden, Bob",-,-,-,-,-,,,-,-,-,-,-,-,-,-,
"Boyd, Les",1,1,2,-,1,,2,1,1,1,2,1,2,,2,17.0
"Buntine, Arnold",,-,,,,,,,,,,-,-,,-,
"Cazaly, Roy",-,1,2,1,2,1,-,-,-,1,1,-,1,-,-,10.0
"Collins, Ted",-,,1,-,1,-,1,1,-,-,-,-,2,,-,6.0
"Dangerfield, Gordon",,-,-,-,-,-,-,,,,-,-,-,-,-,
"Dawson, Artie",,,,,,1,1,,-,-,2,1,,,,5.0
"Eicke, Wels",-,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gordon, Eric",,,,,,,,-,,,,,,-,,
"Hannan, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"Hogan, Edwin",,,-,,,,,,,,,,,-,,
"Horsenail, Harry",,1,,,,,,,,,,,,,,1.0
"James, Jack",1,-,-,1,-,-,3,1,-,-,-,-,-,1,-,7.0
"Kenley, Carlyle",-,,,-,,-,-,-,,,,,,-,,
"Kennedy, Pat",-,,-,-,,,,,,,,,,1,-,1.0
"Lang, Tommy",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,
"Lever, Harry",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Maloney, Pat",-,-,,-,-,-,-,-,-,-,,-,-,-,-,
"McNamara, Dave",,,,3,,1,4,-,3,-,-,2,2,,2,17.0
"McPherson, Frank",,,,,-,,,,,,,,,,,
"Ostberg, Roy",-,1,-,-,1,1,1,-,-,-,2,-,-,-,-,6.0
"Rahilly, Joe",1,,-,-,1,,,,,,,,,,,2.0
"Schmidt, Billy",1,-,1,1,-,-,-,-,1,-,-,4,1,1,1,11.0
"Sinclair, Alan",-,,-,,-,,,,,,,,,,,
"Thompson, Reg",,-,,,-,2,,,1,,,1,-,-,,4.0
"Thomson, Doug",,,,,,,,,,,,,,-,,
"Turnbull, Fred",,-,,,,,,,,,,,,,,
"Turnbull, Norm",-,-,1,-,,-,2,-,-,1,-,-,1,,1,6.0
"White, Paul",,,,,,-,-,,,,,,,2,,2.0
"Woodcock, Bill",,,,,,,,,,-,-,,1,,,1.0
Totals,4,6,7,6,6,7,15,3,6,4,7,9,10,6,7,103.0
Opponent,FI,ES,CA,SM,CW,RI,GE,FI,ES,CA,SM,CW,RI,GE,CW,
