Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,GF,Tot
"Adamson, Dave",-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,-,1.0
"Armstrong, Warwick",3,1,-,-,,,,,,,-,2,-,1,2,5,-,-,14.0
"Arnold, Frank",,,,,,,-,-,-,-,-,-,-,,-,-,,,
"Bryce, Bob",,,,,,,,,,,,,,,,,-,-,
"Cockbill, Jack",-,-,,,,,,,-,,,,,,,,,,
"Colgan, Charlie",,,,,1,2,4,-,-,2,2,1,2,3,3,3,3,1,27.0
"Cullen, Jim",,,,,,,,-,,,,,,,,,,,
"Davidson, George",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Davis, Johnny",,,,-,,,,,,,,,,,,,,,
"Fraser, Bill",1,1,-,-,2,-,-,-,,,,,,-,-,1,-,-,5.0
"Fritsch, Bernie",,,,,,,,,,,,1,,,,,,,1.0
"Garbutt, Joe",1,1,,1,-,1,-,-,-,-,1,-,-,-,-,,-,-,5.0
"Gilligan, Tom",1,-,-,,3,-,1,-,-,-,-,-,,,,,,,5.0
"Goding, Charlie",1,1,-,-,-,-,,,-,-,2,-,-,1,-,-,-,-,5.0
"Henley, Artie",,,,,,,,,1,-,-,-,-,-,-,-,-,-,1.0
"Howson, Bert",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Howson, Henry",,,,,,,,,,,,,-,-,,,,,
"Hutchison, Dave",,,,,-,-,,,,,,,,,,,,,
"Incoll, Jack",,,-,-,1,2,,,,,,,,,,,,,3.0
"James, Charlie",,,,,,,,,,,,-,,,-,3,-,-,3.0
"Jeanneret, Henri",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Lampe, Harry",1,-,-,1,1,-,-,-,2,1,-,2,-,1,1,-,-,2,12.0
"Lowrey, Joe",,,,,,,,,,,,,,,,-,,,
"McNair, Arch",-,-,-,,,,-,-,-,-,,,,,,,,,
"Nickless, Arthur",-,,,,,,,,,,,,,,,,,,
"OHara, Frank",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"OHara, Jim",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Paterson, Jimmy",,,,-,,,,,,,,,,,,,,,
"Pleass, Mick",-,1,-,-,1,-,-,-,1,1,-,1,-,-,-,-,-,-,5.0
"Purdy, Harry",-,-,-,-,,-,-,-,-,1,-,,-,-,-,-,-,,1.0
"Robertson, Val",,,-,,,,,,,,,,,,,,,,
"Southern, Jack",,,,,1,,1,-,,,,,,,,,,,2.0
"Trim, Albert",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Windley, Bill",1,-,-,1,-,-,-,,-,-,-,1,-,-,-,-,-,-,3.0
Totals,10,5,0,3,10,5,6,0,4,5,5,8,3,6,6,12,3,3,94.0
Opponent,CA,FI,ES,CW,SK,GE,ME,CA,FI,ES,CW,SK,GE,ME,GE,SK,ES,FI,
