Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,SF,PF,GF,Tot
"Anderson, George",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brown, Charlie",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Cody, Matt",1,-,,,,,,,,,,,,,,,,,1.0
"Colechin, Bert",-,-,-,-,-,-,-,-,-,-,-,,,,,,-,,
"Cross, Harrie",,,,,,,,,,,,,1,,,,,,1.0
"Curtis, Harry",1,1,-,1,1,1,,-,2,3,-,-,2,-,-,4,5,3,24.0
"Dobrigh, Gus",-,-,2,1,-,1,,,,,1,-,-,1,2,1,-,1,10.0
"Drummond, Tom",-,-,-,-,-,,,,-,-,-,-,-,,-,-,-,-,
"Green, Jack",-,,-,-,-,-,,,,,-,-,,,,-,-,-,
"Hughes, Les",3,-,1,1,-,-,2,1,1,-,-,-,,-,,2,-,1,12.0
"Jose, Horrie",1,-,,,,,,-,,,,,,,,,,,1.0
"Laxton, Charlie",-,1,-,1,-,1,-,-,,,-,-,1,1,2,4,-,-,11.0
"Lee, Charlie",-,1,1,-,,-,-,-,-,,,1,-,-,-,-,-,-,3.0
"Lee, Dick",4,3,4,3,4,3,4,4,3,4,6,1,5,2,,,,4,54.0
"Lumsden, Ernie",,,,,,,5,2,-,1,1,-,-,-,2,1,-,-,12.0
"MacKechnie, Sam",,-,-,-,-,,-,,-,-,,,,,,,,,
"McCarthy, Con",,,,,,,-,-,-,-,-,,,,,-,-,-,
"McHale, Jock",-,-,,,1,-,,,,,,,-,-,1,-,,-,2.0
"Mutch, Alec",,,,,,,1,-,1,-,-,-,-,-,2,-,-,-,4.0
"Pannam, Charles",,,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1.0
"Reynolds, Pen",-,-,-,1,-,-,-,1,1,-,-,-,1,-,-,-,1,-,5.0
"Sadler, Jim",,,,,,-,-,-,-,1,,,,-,-,,,,1.0
"Saunders, Harry",,,2,-,1,-,1,1,-,-,,-,-,-,-,-,-,-,5.0
"Sharp, Jim",,,,,,,,,,,,,,,-,,,,
"Sheehy, Maurie",-,-,-,-,-,-,-,1,-,1,-,1,1,1,-,,,,5.0
"Wilson, Percy",-,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,3.0
"Wraith, Tom",1,1,1,-,1,-,-,,1,-,3,-,3,-,-,1,1,,13.0
Totals,11,8,11,8,8,6,13,11,10,10,11,3,14,6,9,13,7,9,168.0
Opponent,RI,CA,FI,SM,GE,RI,CA,FI,SM,GE,RI,CA,FI,SM,GE,SM,FI,FI,
