Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Arbrew, Jack",,,,,,,,,-,,,,,,,,,,
"Armstrong, Les",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Batty, Les",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Beard, Dave",-,1,-,-,1,1,-,1,-,-,1,-,-,-,-,-,,1,6.0
"Bowey, Frank",,,,,,,,-,,,,,,,,,,,
"Boyd, Alex",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,
"Brownlees, Rupe",,,-,,,,,,,,,,,,,,,,
"Cameron, Charlie",-,-,-,1,-,-,-,-,-,-,-,-,1,,-,-,,-,2.0
"Chisholm, Les",,-,,,,,,,,,,,,,,,,,
"Dalton, Bert",,-,-,-,-,,,,,,,,,,,,,,
"Doull, George",-,-,-,,,,,-,-,,-,,4,-,-,1,,,5.0
"Eason, Alec",,,,,,,,,,,,-,-,1,-,-,-,-,1.0
"Eason, Bill",2,-,2,2,1,2,1,1,-,1,-,1,-,,,1,-,-,14.0
"Grigg, Dick",-,-,-,1,-,-,-,1,1,-,2,-,-,-,-,-,-,1,6.0
"Hassett, Jack",-,1,2,1,-,,,,1,-,,,,,,,,,5.0
"James, Les",-,-,3,-,-,3,-,-,-,-,1,-,-,-,-,-,-,1,8.0
"Marsham, Harry",,,,,,,-,,,,,,,,,,,,
"Martini, Percy",,,,,,,,,,,1,1,3,2,-,2,3,5,17.0
"Miller, Billy",-,,,1,-,-,-,,,,,,-,,,,,,1.0
"Moran, Frank",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Morgan, Doug",,,,,,,,,,-,-,1,-,-,,,,,1.0
"Newling, Ernest",1,1,1,1,-,-,-,-,,1,-,-,-,-,-,1,-,2,8.0
"Orchard, Billy",-,-,,1,1,-,-,1,3,-,2,-,-,1,2,1,1,3,16.0
"Palmer, Alby",,,,,,,,,,,-,,,,,-,-,-,
"Rankin, Teddy",-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,
"Salmon, Percy",1,,-,-,-,-,1,-,-,1,,,,,,,,,3.0
"Scown, Percy",-,-,-,-,-,-,,1,-,-,-,,,-,-,-,-,,1.0
"Slater, Joe",,,,,,,,,,,,-,-,-,-,-,-,-,
"Watt, Jack",,,,,,,,,,,,1,,,,,,,1.0
"Whittington, Bert",-,,,,,-,-,,,,,-,,,,,-,,
"Wilton, Billy",,,,,,-,-,-,-,1,-,2,2,1,-,-,-,-,6.0
"Woods, Bill",,,,,,,,-,-,,,,,,,,,,
"Young, Henry",2,-,1,4,-,-,3,,,-,2,,,1,-,,-,-,13.0
Totals,6,3,9,12,3,6,5,5,5,4,9,6,10,6,2,6,4,13,114.0
Opponent,SM,FI,ES,CA,UN,SK,ME,CW,RI,SM,FI,ES,CA,UN,SK,ME,CW,RI,
