Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Belcher, Vic",3,1,1,-,1,-,1,-,-,1,-,-,-,-,1,-,-,,3,12.0
"Bower, George",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,3,-,,5.0
"Caldwell, Jim",-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,,-,2.0
"Cameron, Jim",-,-,1,-,-,1,,-,1,-,-,,-,-,,-,-,-,-,3.0
"Carpenter, Fred",1,4,1,4,,,1,1,1,2,4,-,1,-,-,-,2,1,-,23.0
"Casey, Dick",,,,,,2,1,1,2,2,-,-,,2,1,1,,2,-,14.0
"Charge, Les",,,,,-,,,,,,,,,,,,,,,
"Deas, Bob",1,2,,,,,-,-,1,2,-,1,2,-,-,1,1,1,1,13.0
"Deas, George",,,,,,,,,,,,,,,,,,-,,
"Dolphin, Bill",,,,,,-,-,,-,,,,,,,-,-,-,,
"Fielding, Fred",,,,,-,,,,,,,,,,,,,,,
"George, Ernie",,,,,,,,,,-,,,,,,,,,,
"Gough, Alf",-,2,4,-,-,-,1,1,-,1,-,1,-,1,-,-,,,,11.0
"Grimshaw, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hiskins, Arthur",-,-,-,-,-,-,1,-,,,-,2,-,2,3,-,-,3,-,11.0
"Kerr, Alex",-,-,1,1,-,-,,,,,,,,,,,-,,,2.0
"Main, Ben",,,-,,,,,,,,,,,,,,,,,
"Milne, Herbert",,,,,,1,,1,,-,2,2,1,-,-,-,-,,-,7.0
"Mortimer, Len",6,1,2,3,3,3,5,2,-,1,3,5,4,-,3,2,-,1,-,44.0
"Pentland, Alan",-,-,-,-,-,-,-,-,-,,,,,-,-,-,,-,-,
"Prince, Joe",-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Punshon, Arthur",1,,,,,,-,,-,-,-,-,,,,,,,-,1.0
"Ricketts, Charlie",1,-,-,2,,,,,,,,,1,,,,,-,2,6.0
"Scobie, Jack",,-,-,-,-,-,,,,-,,-,-,-,-,,-,-,-,
"Sloss, Bruce",,,-,1,-,-,-,-,1,-,2,1,-,-,-,-,4,-,-,9.0
"Strownix, Tom",1,-,-,-,-,,-,-,-,-,-,-,-,,-,,-,,,1.0
"Tandy, Mark",,,-,-,,,,,,,,,,,,,,-,,
"Thomas, Bill",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Walsh, Jack",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
Totals,14,10,10,12,4,7,10,7,6,9,12,12,9,5,8,5,10,8,6,164.0
Opponent,UN,CA,SK,ME,CW,RI,FI,GE,ES,UN,CA,SK,ME,CW,RI,FI,GE,ES,CW,
