Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,Tot
"Ainsworth, Ben",86,82,85,89,83,85,67,,,79,84,83,85,85,82.8/1238:52
"Anderson, Noah",82,88,89,84,87,86,86,85,80,86,87,90,86,81,85.5/1501:36
"Andrew, Mac",,,,76,74,88,,,82,77,81,,83,84,80.6/803:20
"Atkins, Rory",,,,,,,75,75,80,81,66,77,74,24,69.5/702:13
"Ballard, Charlie",91,95,100,94,93,91,100,85,96,100,93,100,100,96,95.2/1671:40
"Berry, Tom",,,,,,,,80,77,30,60,63,32,,57.2/444:12
"Casboult, Levi",36,80,90,83,,83,,100,,75,80,86,90,90,81.2/1125:28
"Chol, Mabior",83,,,,80,76,70,75,78,,,,,,77.1/579:42
"Collins, Sam",78,98,100,98,100,97,100,100,96,100,98,100,97,96,97.0/1702:60
"Constable, Charlie",81,86,,,,,,,,,,,,,83.5/212:03
"Davies, Alex",69,,,,,,60,66,72,74,70,65,76,,69.0/704:06
"Day, Sam",,,,,,,,,82,54,,,,,67.8/172:56
"Ellis, Brandon",,,,,68,89,87,85,84,85,,,,87,83.5/727:31
"Farrar, Jy",86,,73,,,,,,,,13,75,,,61.7/312:34
"Fiorini, Brayden",39,55,,,71,74,71,82,86,92,92,83,80,77,75.3/1138:10
"Flanders, Sam",83,63,28,,,,,54,,,,,,79,61.6/383:03
"Hollands, Elijah",85,83,80,89,,,,,,,,,,,84.3/419:40
"Holman, Nick",89,78,79,86,86,91,78,,,78,82,87,82,87,83.6/1250:56
"Humphrey, Bailey",,,,65,55,42,46,75,67,70,70,72,78,71,64.9/899:33
"Jeffrey, Joel",72,63,65,41,,,,,,,83,74,55,,64.8/573:25
"King, Ben",74,86,90,87,92,86,89,84,90,85,90,83,91,86,86.6/1519:03
"Lemmens, Sean",,,,,63,80,72,71,59,74,,,,,69.8/526:34
"Long, Ben",88,90,86,79,72,82,74,77,,,82,79,83,85,81.4/1221:28
"Lukosius, Jack",76,87,76,74,88,83,86,87,85,83,86,86,89,76,83.1/1458:55
"Macpherson, Darcy",86,84,97,99,93,94,88,92,87,78,79,83,80,83,87.3/1531:29
"Miller, Touk",84,92,85,91,88,58,,,,,,,,,83.1/618:27
"Moyle, Ned",,,,77,78,,,,,,,,,,77.5/195:18
"Oea, Hewago",,,69,70,,,,,84,,,,,76,74.8/363:34
"Powell, Wil",,,65,76,87,64,90,84,85,77,85,84,83,77,79.9/1199:52
"Rosas, Malcolm",,63,66,65,67,37,30,70,78,69,70,70,71,72,64.0/1041:10
"Rowell, Matt",88,86,86,86,84,79,82,87,78,87,86,81,86,84,84.3/1479:15
"Sexton, Alex",,30,43,33,24,,79,,,,,,47,,42.2/312:46
"Swallow, David",76,75,78,71,79,83,95,82,76,80,78,79,75,72,78.5/1377:40
"Tsitas, James",,,,,,,,21,22,,,,,,21.5/56:46
"Uwland, Bodhi",79,71,,,,,,,,,,13,,,53.5/208:59
"Weller, Lachie",,77,87,88,87,90,86,,,,,,,56,81.7/696:46
"Witts, Jarrod",87,90,82,,,61,86,85,75,87,86,85,77,77,81.6/1226:29
Totals,,,,,,,,,,,,,,,
Opponent,SY,ES,GE,SK,FR,NM,RI,ME,WC,BL,WB,AD,CA,HW,
