Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Aish, James",R1,fremantle,SK,18.0,12.0,6.0,1.0,1.0,5.0,1.0,2.0,4.0,12.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,81,-,2.0,0.0,0.0
"Amiss, Jye",R1,fremantle,SK,,,,,,,,,,,,,,,,,,,,,,,
"Banfield, Bailey",R1,fremantle,SK,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,On,0.0,0.0,0.0
"Brayshaw, Andrew",R1,fremantle,SK,26.0,19.0,7.0,0.0,0.0,4.0,2.0,7.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,4.0,78,-,6.0,0.0,0.0
"Brodie, Will",R1,fremantle,SK,20.0,8.0,12.0,0.0,1.0,1.0,5.0,6.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,68,-,3.0,0.0,0.0
"Chapman, Heath",R1,fremantle,SK,22.0,12.0,10.0,0.0,0.0,8.0,0.0,2.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,79,-,3.0,2.0,0.0
"Clark, Jordan",R1,fremantle,SK,28.0,18.0,10.0,0.0,1.0,11.0,0.0,0.0,6.0,23.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,82,-,4.0,1.0,0.0
"Corbett, Josh",R1,fremantle,SK,,,,,,,,,,,,,,,,,,,,,,,
"Cox, Brennan",R1,fremantle,SK,30.0,22.0,8.0,0.0,0.0,20.0,0.0,0.0,9.0,22.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,5.0,90,-,1.0,13.0,0.0
"Darcy, Sean",R1,fremantle,SK,18.0,9.0,9.0,0.0,0.0,5.0,4.0,3.0,14.0,5.0,38.0,1.0,1.0,2.0,3.0,3.0,4.0,0.0,82,-,6.0,1.0,0.0
"Erasmus, Neil",R1,fremantle,SK,,,,,,,,,,,,,,,,,,,,,,,
"Frederick, Michael",R1,fremantle,SK,15.0,8.0,7.0,1.0,0.0,5.0,1.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,83,-,3.0,1.0,1.0
