Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Adams, Taylor",R1,collingwood,GE,16.0,8.0,8.0,1.0,1.0,3.0,3.0,3.0,5.0,12.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,71,-,5.0,0.0,0.0
"Cameron, Darcy",R1,collingwood,GE,11.0,8.0,3.0,0.0,1.0,4.0,3.0,2.0,9.0,4.0,29.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,77,-,4.0,3.0,0.0
"Carmichael, Josh",R1,collingwood,GE,,,,,,,,,,,,,,,,,,,,,,,
"Cox, Mason",R1,collingwood,GE,6.0,6.0,0.0,2.0,0.0,5.0,1.0,1.0,5.0,2.0,16.0,3.0,2.0,1.0,0.0,2.0,4.0,0.0,52,-,2.0,1.0,0.0
"Crisp, Jack",R1,collingwood,GE,22.0,11.0,11.0,0.0,1.0,4.0,3.0,4.0,9.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,78,-,3.0,0.0,2.0
"Daicos, Josh",R1,collingwood,GE,27.0,16.0,11.0,0.0,0.0,3.0,5.0,3.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,92,-,0.0,1.0,0.0
"Daicos, Nick",R1,collingwood,GE,35.0,21.0,14.0,0.0,0.0,7.0,3.0,0.0,10.0,21.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,3.0,86,-,2.0,1.0,1.0
"Elliott, Jamie",R1,collingwood,GE,13.0,8.0,5.0,0.0,2.0,6.0,0.0,1.0,1.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,89,-,2.0,0.0,0.0
"Frampton, Billy",R1,collingwood,GE,,,,,,,,,,,,,,,,,,,,,,,
"Ginnivan, Jack",R1,collingwood,GE,,,,,,,,,,,,,,,,,,,,,,,
"Harrison, Harvey",R1,collingwood,GE,,,,,,,,,,,,,,,,,,,,,,,
"Hill, Bobby",R1,collingwood,GE,10.0,8.0,2.0,3.0,0.0,7.0,1.0,3.0,2.0,10.0,0.0,0.0,2.0,1.0,2.0,0.0,5.0,0.0,81,-,1.0,0.0,0.0
"Hoskin-Elliott, Will",R1,collingwood,GE,18.0,12.0,6.0,0.0,0.0,5.0,3.0,2.0,7.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,71,-,6.0,4.0,0.0
"Howe, Jeremy",R1,collingwood,GE,8.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,46,Off,0.0,3.0,0.0
"Johnson, Ash",R1,collingwood,GE,,,,,,,,,,,,,,,,,,,,,,,
"Kelly, Will",R1,collingwood,GE,,,,,,,,,,,,,,,,,,,,,,,
"Kreuger, Nathan",R1,collingwood,GE,,,,,,,,,,,,,,,,,,,,,,,
"Lipinski, Patrick",R1,collingwood,GE,,,,,,,,,,,,,,,,,,,,,,,
"Markov, Oleg",R1,collingwood,GE,,,,,,,,,,,,,,,,,,,,,,,
"Maynard, Brayden",R1,collingwood,GE,19.0,13.0,6.0,0.0,0.0,7.0,0.0,2.0,6.0,12.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,86,-,4.0,3.0,0.0
"McCreery, Beau",R1,collingwood,GE,20.0,13.0,7.0,2.0,0.0,5.0,1.0,1.0,5.0,15.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,72,-,1.0,1.0,0.0
"McInnes, Reef",R1,collingwood,GE,4.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,38,On,0.0,0.0,0.0
"McStay, Daniel",R1,collingwood,GE,6.0,4.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95,-,0.0,1.0,0.0
"Mihocek, Brody",R1,collingwood,GE,9.0,6.0,3.0,2.0,1.0,5.0,0.0,2.0,4.0,5.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,85,-,3.0,1.0,0.0
"Mitchell, Tom",R1,collingwood,GE,21.0,9.0,12.0,2.0,0.0,3.0,10.0,4.0,14.0,7.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,76,-,2.0,0.0,0.0
"Moore, Darcy",R1,collingwood,GE,13.0,12.0,1.0,0.0,0.0,5.0,0.0,1.0,9.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,5.0,100,-,4.0,12.0,0.0
"Murphy, Nathan",R1,collingwood,GE,6.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,88,-,2.0,9.0,0.0
"Noble, John",R1,collingwood,GE,29.0,23.0,6.0,0.0,0.0,7.0,0.0,1.0,5.0,23.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,6.0,82,-,4.0,0.0,0.0
"Pendlebury, Scott",R1,collingwood,GE,27.0,13.0,14.0,1.0,0.0,4.0,4.0,8.0,10.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,82,-,1.0,0.0,0.0
"Quaynor, Isaac",R1,collingwood,GE,8.0,4.0,4.0,0.0,0.0,2.0,0.0,4.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,79,-,3.0,2.0,0.0
"Ruscoe, Trey",R1,collingwood,GE,,,,,,,,,,,,,,,,,,,,,,,
"Sidebottom, Steele",R1,collingwood,GE,19.0,8.0,11.0,0.0,0.0,5.0,2.0,4.0,6.0,13.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,88,-,4.0,2.0,2.0
"Wilson, Tom",R1,collingwood,GE,,,,,,,,,,,,,,,,,,,,,,,
"de Goey, Jordan",R1,collingwood,GE,25.0,12.0,13.0,3.0,0.0,8.0,4.0,2.0,7.0,18.0,0.0,0.0,3.0,3.0,1.0,0.0,6.0,0.0,84,-,3.0,2.0,0.0
"Adams, Taylor",R2,collingwood,PA,20.0,9.0,11.0,2.0,1.0,2.0,6.0,5.0,11.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,81,-,1.0,2.0,0.0
"Cameron, Darcy",R2,collingwood,PA,18.0,12.0,6.0,0.0,1.0,5.0,4.0,5.0,16.0,4.0,29.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,84,-,4.0,1.0,0.0
"Carmichael, Josh",R2,collingwood,PA,,,,,,,,,,,,,,,,,,,,,,,
"Cox, Mason",R2,collingwood,PA,12.0,9.0,3.0,1.0,0.0,3.0,0.0,0.0,6.0,5.0,9.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,59,-,2.0,1.0,0.0
"Crisp, Jack",R2,collingwood,PA,22.0,11.0,11.0,0.0,0.0,4.0,3.0,4.0,10.0,13.0,0.0,0.0,1.0,3.0,3.0,1.0,4.0,3.0,78,-,5.0,0.0,0.0
"Daicos, Josh",R2,collingwood,PA,26.0,17.0,9.0,2.0,0.0,3.0,3.0,1.0,9.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,91,-,7.0,0.0,0.0
"Daicos, Nick",R2,collingwood,PA,32.0,21.0,11.0,2.0,0.0,4.0,1.0,2.0,4.0,22.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0,85,-,3.0,0.0,3.0
"Elliott, Jamie",R2,collingwood,PA,12.0,4.0,8.0,2.0,2.0,1.0,0.0,2.0,9.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,85,-,1.0,3.0,0.0
"Frampton, Billy",R2,collingwood,PA,9.0,8.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,100,-,2.0,3.0,1.0
"Ginnivan, Jack",R2,collingwood,PA,,,,,,,,,,,,,,,,,,,,,,,
"Harrison, Harvey",R2,collingwood,PA,,,,,,,,,,,,,,,,,,,,,,,
"Hill, Bobby",R2,collingwood,PA,12.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,5.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,69,-,2.0,4.0,1.0
"Hoskin-Elliott, Will",R2,collingwood,PA,14.0,12.0,2.0,1.0,0.0,7.0,1.0,0.0,5.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,73,-,2.0,1.0,0.0
"Howe, Jeremy",R2,collingwood,PA,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, Ash",R2,collingwood,PA,,,,,,,,,,,,,,,,,,,,,,,
"Kelly, Will",R2,collingwood,PA,,,,,,,,,,,,,,,,,,,,,,,
"Kreuger, Nathan",R2,collingwood,PA,,,,,,,,,,,,,,,,,,,,,,,
"Lipinski, Patrick",R2,collingwood,PA,,,,,,,,,,,,,,,,,,,,,,,
"Markov, Oleg",R2,collingwood,PA,,,,,,,,,,,,,,,,,,,,,,,
"Maynard, Brayden",R2,collingwood,PA,9.0,7.0,2.0,0.0,1.0,2.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,82,-,1.0,3.0,0.0
"McCreery, Beau",R2,collingwood,PA,5.0,3.0,2.0,2.0,0.0,1.0,0.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,78,-,3.0,0.0,0.0
"McInnes, Reef",R2,collingwood,PA,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,On,0.0,1.0,0.0
"McStay, Daniel",R2,collingwood,PA,10.0,6.0,4.0,1.0,0.0,6.0,0.0,1.0,5.0,5.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,92,-,1.0,0.0,0.0
"Mihocek, Brody",R2,collingwood,PA,10.0,8.0,2.0,3.0,1.0,5.0,0.0,1.0,2.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,75,Off,2.0,0.0,0.0
"Mitchell, Tom",R2,collingwood,PA,27.0,12.0,15.0,1.0,0.0,3.0,8.0,5.0,16.0,13.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,3.0,76,-,3.0,1.0,0.0
"Moore, Darcy",R2,collingwood,PA,15.0,11.0,4.0,0.0,0.0,8.0,0.0,0.0,8.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,7.0,93,-,2.0,6.0,1.0
"Murphy, Nathan",R2,collingwood,PA,8.0,6.0,2.0,0.0,0.0,2.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,77,-,3.0,3.0,0.0
