Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Angwin, Ryan",R1,gws,AD,,,,,,,,,,,,,,,,,,,,,,,
"Ash, Lachie",R1,gws,AD,21.0,11.0,10.0,0.0,0.0,1.0,1.0,1.0,3.0,15.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,90,-,6.0,0.0,2.0
"Bedford, Toby",R1,gws,AD,,,,,,,,,,,,,,,,,,,,,,,
"Briggs, Kieren",R1,gws,AD,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Callum",R1,gws,AD,,,,,,,,,,,,,,,,,,,,,,,
"Buckley, Jack",R1,gws,AD,11.0,7.0,4.0,0.0,0.0,5.0,0.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,86,-,2.0,11.0,0.0
"Cadman, Aaron",R1,gws,AD,,,,,,,,,,,,,,,,,,,,,,,
"Callaghan, Finn",R1,gws,AD,25.0,15.0,10.0,0.0,0.0,6.0,3.0,0.0,6.0,19.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,84,-,1.0,1.0,0.0
"Coniglio, Stephen",R1,gws,AD,32.0,20.0,12.0,1.0,1.0,3.0,8.0,1.0,11.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,88,-,2.0,0.0,1.0
"Cumming, Isaac",R1,gws,AD,21.0,12.0,9.0,0.0,0.0,3.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,87,-,2.0,3.0,1.0
"Daniels, Brent",R1,gws,AD,9.0,6.0,3.0,2.0,1.0,2.0,0.0,5.0,7.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,82,-,1.0,0.0,0.0
"Fahey, Josh",R1,gws,AD,,,,,,,,,,,,,,,,,,,,,,,
"Fleeton, Cameron",R1,gws,AD,,,,,,,,,,,,,,,,,,,,,,,
"Flynn, Matt",R1,gws,AD,8.0,3.0,5.0,1.0,1.0,1.0,2.0,3.0,6.0,3.0,25.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,79,-,5.0,3.0,0.0
"Green, Tom",R1,gws,AD,37.0,19.0,18.0,1.0,0.0,6.0,8.0,4.0,15.0,23.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,86,-,5.0,0.0,0.0
"Greene, Toby",R1,gws,AD,19.0,13.0,6.0,4.0,4.0,8.0,0.0,4.0,6.0,14.0,0.0,1.0,3.0,1.0,2.0,1.0,5.0,0.0,91,-,4.0,0.0,1.0
"Hamilton, Cooper",R1,gws,AD,,,,,,,,,,,,,,,,,,,,,,,
"Haynes, Nick",R1,gws,AD,15.0,13.0,2.0,1.0,0.0,8.0,0.0,0.0,2.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,74,-,0.0,3.0,0.0
"Himmelberg, Harry",R1,gws,AD,7.0,7.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,74,-,1.0,0.0,0.0
"Hogan, Jesse",R1,gws,AD,13.0,7.0,6.0,3.0,1.0,4.0,0.0,1.0,6.0,6.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,89,-,3.0,5.0,0.0
"Idun, Connor",R1,gws,AD,20.0,8.0,12.0,0.0,0.0,5.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,89,-,0.0,5.0,0.0
"Keeffe, Lachlan",R1,gws,AD,,,,,,,,,,,,,,,,,,,,,,,
"Kelly, Josh",R1,gws,AD,26.0,12.0,14.0,0.0,0.0,7.0,7.0,2.0,10.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,68,-,7.0,4.0,0.0
"Kennedy, Adam",R1,gws,AD,12.0,9.0,3.0,0.0,0.0,4.0,1.0,2.0,4.0,9.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0,77,On,1.0,1.0,0.0
