Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Humphrey, Bailey",R1,goldcoast,SY,,,,,,,,,,,,,,,,,,,,,,,
"Jeffrey, Joel",R1,goldcoast,SY,7.0,5.0,2.0,1.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72,-,4.0,1.0,0.0
"King, Ben",R1,goldcoast,SY,5.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,74,-,4.0,2.0,0.0
"Lemmens, Sean",R1,goldcoast,SY,,,,,,,,,,,,,,,,,,,,,,,
"Long, Ben",R1,goldcoast,SY,13.0,9.0,4.0,0.0,0.0,1.0,1.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,88,-,4.0,4.0,0.0
"Lukosius, Jack",R1,goldcoast,SY,11.0,8.0,3.0,0.0,0.0,3.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,3.0,76,-,2.0,1.0,0.0
"Macpherson, Darcy",R1,goldcoast,SY,22.0,14.0,8.0,0.0,0.0,5.0,0.0,3.0,4.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,86,-,2.0,1.0,0.0
"Miller, Touk",R1,goldcoast,SY,29.0,13.0,16.0,0.0,0.0,1.0,7.0,8.0,12.0,18.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,3.0,84,-,5.0,1.0,0.0
"Moyle, Ned",R1,goldcoast,SY,,,,,,,,,,,,,,,,,,,,,,,
"Oea, Hewago",R1,goldcoast,SY,,,,,,,,,,,,,,,,,,,,,,,
"Powell, Wil",R1,goldcoast,SY,,,,,,,,,,,,,,,,,,,,,,,
"Rosas, Malcolm",R1,goldcoast,SY,,,,,,,,,,,,,,,,,,,,,,,
"Rowell, Matt",R1,goldcoast,SY,28.0,17.0,11.0,0.0,0.0,2.0,9.0,8.0,21.0,11.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,88,-,4.0,3.0,0.0
"Sexton, Alex",R1,goldcoast,SY,,,,,,,,,,,,,,,,,,,,,,,
"Swallow, David",R1,goldcoast,SY,20.0,13.0,7.0,1.0,0.0,3.0,5.0,2.0,9.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,76,-,2.0,2.0,0.0
"Tsitas, James",R1,goldcoast,SY,,,,,,,,,,,,,,,,,,,,,,,
"Uwland, Bodhi",R1,goldcoast,SY,20.0,14.0,6.0,0.0,0.0,3.0,1.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,79,-,4.0,5.0,0.0
"Weller, Lachie",R1,goldcoast,SY,,,,,,,,,,,,,,,,,,,,,,,
"Witts, Jarrod",R1,goldcoast,SY,25.0,15.0,10.0,0.0,1.0,5.0,10.0,1.0,16.0,10.0,51.0,1.0,0.0,0.0,4.0,1.0,5.0,2.0,87,-,4.0,2.0,0.0
"Ainsworth, Ben",R2,goldcoast,ES,19.0,9.0,10.0,1.0,2.0,3.0,0.0,1.0,11.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,1.0,82,-,2.0,1.0,0.0
"Anderson, Noah",R2,goldcoast,ES,25.0,18.0,7.0,0.0,2.0,4.0,7.0,1.0,13.0,12.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,2.0,88,-,2.0,1.0,0.0
"Andrew, Mac",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Atkins, Rory",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Ballard, Charlie",R2,goldcoast,ES,6.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,95,-,3.0,5.0,0.0
"Berry, Tom",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Casboult, Levi",R2,goldcoast,ES,8.0,3.0,5.0,2.0,0.0,3.0,1.0,0.0,4.0,4.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,80,-,2.0,2.0,0.0
"Chol, Mabior",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Collins, Sam",R2,goldcoast,ES,17.0,10.0,7.0,0.0,0.0,11.0,0.0,4.0,6.0,10.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,98,-,2.0,10.0,0.0
"Constable, Charlie",R2,goldcoast,ES,19.0,13.0,6.0,0.0,0.0,8.0,2.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,86,-,2.0,1.0,1.0
"Davies, Alex",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Day, Sam",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Ellis, Brandon",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Farrar, Jy",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Fiorini, Brayden",R2,goldcoast,ES,8.0,6.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,55,Off,1.0,0.0,0.0
"Flanders, Sam",R2,goldcoast,ES,11.0,5.0,6.0,0.0,0.0,6.0,0.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,-,0.0,1.0,0.0
"Hollands, Elijah",R2,goldcoast,ES,10.0,9.0,1.0,1.0,0.0,4.0,0.0,4.0,2.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,83,-,1.0,2.0,0.0
"Holman, Nick",R2,goldcoast,ES,11.0,5.0,6.0,0.0,0.0,5.0,2.0,1.0,3.0,10.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,78,-,4.0,2.0,0.0
"Humphrey, Bailey",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Jeffrey, Joel",R2,goldcoast,ES,11.0,10.0,1.0,1.0,2.0,3.0,0.0,5.0,7.0,4.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,63,-,0.0,2.0,0.0
"King, Ben",R2,goldcoast,ES,12.0,4.0,8.0,2.0,0.0,2.0,0.0,0.0,8.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,86,-,2.0,1.0,0.0
"Lemmens, Sean",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Long, Ben",R2,goldcoast,ES,15.0,6.0,9.0,0.0,0.0,2.0,2.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,90,-,3.0,2.0,1.0
"Lukosius, Jack",R2,goldcoast,ES,17.0,15.0,2.0,1.0,1.0,6.0,0.0,1.0,5.0,10.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,87,-,3.0,4.0,1.0
"Macpherson, Darcy",R2,goldcoast,ES,18.0,16.0,2.0,0.0,0.0,5.0,0.0,0.0,5.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,84,-,1.0,3.0,0.0
