Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Allen, Oscar",R1,westcoast,NM,9.0,7.0,2.0,2.0,2.0,4.0,0.0,1.0,5.0,5.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,89,-,0.0,1.0,0.0
"Barrass, Tom",R1,westcoast,NM,18.0,15.0,3.0,0.0,0.0,10.0,0.0,1.0,5.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,100,-,1.0,5.0,0.0
"Bazzo, Rhett",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Chesser, Campbell",R1,westcoast,NM,5.0,4.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69,-,1.0,0.0,0.0
"Clark, Greg",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Cole, Tom",R1,westcoast,NM,20.0,8.0,12.0,0.0,0.0,8.0,0.0,1.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,77,-,2.0,4.0,0.0
"Cripps, Jamie",R1,westcoast,NM,12.0,5.0,7.0,1.0,2.0,6.0,0.0,3.0,0.0,13.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,88,-,1.0,0.0,0.0
"Culley, Jai",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Darling, Jack",R1,westcoast,NM,14.0,9.0,5.0,1.0,3.0,6.0,0.0,1.0,5.0,9.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,85,-,1.0,0.0,0.0
"Duggan, Liam",R1,westcoast,NM,18.0,10.0,8.0,0.0,0.0,4.0,0.0,4.0,4.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,84,-,4.0,1.0,0.0
"Edwards, Harry",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Edwards, Luke",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Foley, Luke",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Gaff, Andrew",R1,westcoast,NM,23.0,11.0,12.0,0.0,1.0,5.0,3.0,4.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,88,-,0.0,2.0,0.0
"Ginbey, Reuben",R1,westcoast,NM,15.0,4.0,11.0,0.0,1.0,4.0,3.0,12.0,7.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,72,-,2.0,3.0,0.0
"Hewett, Elijah",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Hough, Brady",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Hunt, Jayden",R1,westcoast,NM,12.0,6.0,6.0,0.0,0.0,2.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,89,-,2.0,2.0,0.0
"Hurn, Shannon",R1,westcoast,NM,25.0,19.0,6.0,0.0,0.0,4.0,0.0,2.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,7.0,81,-,3.0,6.0,0.0
"Jamieson, Callum",R1,westcoast,NM,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Off,1.0,3.0,0.0
"Jones, Jamaine",R1,westcoast,NM,14.0,7.0,7.0,2.0,0.0,4.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,87,-,3.0,0.0,0.0
"Kelly, Tim",R1,westcoast,NM,22.0,13.0,9.0,1.0,0.0,4.0,4.0,3.0,11.0,11.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,78,-,7.0,0.0,0.0
"Long, Noah",R1,westcoast,NM,10.0,6.0,4.0,1.0,0.0,1.0,1.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,67,-,4.0,0.0,0.0
"Maric, Ryan",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"McGovern, Jeremy",R1,westcoast,NM,22.0,15.0,7.0,0.0,0.0,10.0,0.0,1.0,5.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,87,-,3.0,9.0,1.0
"ONeill, Xavier",R1,westcoast,NM,8.0,4.0,4.0,0.0,0.0,1.0,1.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,81,-,3.0,0.0,0.0
"Petrevski-Seton, Sam",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Petruccelle, Jack",R1,westcoast,NM,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,32,On,1.0,0.0,0.0
"Rotham, Josh",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Ryan, Liam",R1,westcoast,NM,13.0,11.0,2.0,3.0,0.0,7.0,1.0,5.0,5.0,7.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,0.0,83,-,3.0,0.0,1.0
"Sheed, Dom",R1,westcoast,NM,25.0,12.0,13.0,0.0,0.0,3.0,4.0,3.0,10.0,15.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,77,-,4.0,1.0,0.0
"Shuey, Luke",R1,westcoast,NM,27.0,18.0,9.0,1.0,1.0,4.0,4.0,8.0,7.0,20.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,2.0,74,-,4.0,1.0,0.0
"Trew, Zane",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Waterman, Jake",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"West, Connor",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Bailey",R1,westcoast,NM,8.0,3.0,5.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,37.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,80,-,3.0,1.0,0.0
"Witherden, Alex",R1,westcoast,NM,18.0,9.0,9.0,0.0,0.0,5.0,0.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,81,-,2.0,1.0,0.0
"Yeo, Elliot",R1,westcoast,NM,,,,,,,,,,,,,,,,,,,,,,,
"Allen, Oscar",R2,westcoast,GW,9.0,6.0,3.0,2.0,2.0,4.0,0.0,1.0,5.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,85,-,1.0,5.0,0.0
"Barrass, Tom",R2,westcoast,GW,8.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,95,-,2.0,9.0,0.0
"Bazzo, Rhett",R2,westcoast,GW,,,,,,,,,,,,,,,,,,,,,,,
"Chesser, Campbell",R2,westcoast,GW,6.0,3.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55,Off,1.0,0.0,0.0
"Clark, Greg",R2,westcoast,GW,,,,,,,,,,,,,,,,,,,,,,,
"Cole, Tom",R2,westcoast,GW,11.0,7.0,4.0,0.0,0.0,3.0,1.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,90,-,3.0,3.0,0.0
"Cripps, Jamie",R2,westcoast,GW,17.0,8.0,9.0,3.0,2.0,4.0,1.0,1.0,6.0,12.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,81,-,4.0,0.0,0.0
"Culley, Jai",R2,westcoast,GW,,,,,,,,,,,,,,,,,,,,,,,
"Darling, Jack",R2,westcoast,GW,12.0,9.0,3.0,1.0,1.0,4.0,2.0,5.0,7.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,92,-,1.0,2.0,0.0
"Duggan, Liam",R2,westcoast,GW,14.0,11.0,3.0,0.0,0.0,8.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,83,-,1.0,1.0,0.0
"Edwards, Harry",R2,westcoast,GW,,,,,,,,,,,,,,,,,,,,,,,
"Edwards, Luke",R2,westcoast,GW,,,,,,,,,,,,,,,,,,,,,,,
"Foley, Luke",R2,westcoast,GW,,,,,,,,,,,,,,,,,,,,,,,
"Gaff, Andrew",R2,westcoast,GW,22.0,16.0,6.0,0.0,0.0,6.0,1.0,0.0,4.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,83,-,2.0,2.0,0.0
"Ginbey, Reuben",R2,westcoast,GW,17.0,9.0,8.0,0.0,0.0,2.0,1.0,6.0,10.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,77,-,4.0,0.0,0.0
"Hewett, Elijah",R2,westcoast,GW,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23,On,2.0,0.0,0.0
"Hough, Brady",R2,westcoast,GW,,,,,,,,,,,,,,,,,,,,,,,
"Hunt, Jayden",R2,westcoast,GW,22.0,17.0,5.0,2.0,0.0,4.0,0.0,1.0,5.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0,87,-,3.0,1.0,3.0
"Hurn, Shannon",R2,westcoast,GW,21.0,17.0,4.0,0.0,0.0,6.0,1.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,83,-,0.0,1.0,3.0
"Jamieson, Callum",R2,westcoast,GW,,,,,,,,,,,,,,,,,,,,,,,
"Jones, Jamaine",R2,westcoast,GW,27.0,18.0,9.0,0.0,0.0,1.0,4.0,1.0,8.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,3.0,80,-,6.0,0.0,2.0
