Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Amartey, Joel",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"Blakey, Nick",R1,swans,GC,20.0,18.0,2.0,0.0,0.0,6.0,0.0,4.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,76,-,5.0,1.0,2.0
"Buller, Jack",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"Campbell, Braeden",R1,swans,GC,16.0,10.0,6.0,0.0,0.0,2.0,2.0,3.0,9.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,89,-,4.0,5.0,0.0
"Clarke, Ryan",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"Cunningham, Harry",R1,swans,GC,13.0,9.0,4.0,2.0,1.0,3.0,0.0,4.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,84,-,2.0,1.0,0.0
"Florent, Oliver",R1,swans,GC,18.0,9.0,9.0,1.0,0.0,5.0,0.0,2.0,7.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,91,-,0.0,2.0,0.0
"Fox, Robbie",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"Francis, Aaron",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"Franklin, Lance",R1,swans,GC,8.0,7.0,1.0,2.0,1.0,4.0,0.0,1.0,5.0,3.0,0.0,3.0,3.0,1.0,1.0,4.0,2.0,0.0,77,-,7.0,1.0,0.0
"Gould, Will",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"Gulden, Errol",R1,swans,GC,24.0,18.0,6.0,1.0,1.0,2.0,3.0,5.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,82,-,2.0,2.0,2.0
"Hayward, Will",R1,swans,GC,19.0,11.0,8.0,1.0,3.0,4.0,1.0,2.0,7.0,11.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,79,-,4.0,0.0,0.0
"Heeney, Isaac",R1,swans,GC,12.0,8.0,4.0,1.0,2.0,3.0,2.0,3.0,7.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,83,-,4.0,3.0,0.0
"Hickey, Tom",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"Ladhams, Peter",R1,swans,GC,20.0,7.0,13.0,0.0,0.0,4.0,5.0,3.0,7.0,13.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,74,Off,5.0,2.0,0.0
"Lloyd, Jake",R1,swans,GC,28.0,15.0,13.0,1.0,0.0,9.0,0.0,2.0,5.0,21.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,86,-,2.0,2.0,0.0
"McAndrew, Lachlan",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"McCartin, Paddy",R1,swans,GC,15.0,14.0,1.0,0.0,0.0,6.0,0.0,2.0,5.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,73,-,3.0,4.0,0.0
"McCartin, Tom",R1,swans,GC,16.0,12.0,4.0,0.0,0.0,5.0,0.0,3.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,89,-,2.0,5.0,0.0
"McDonald, Logan",R1,swans,GC,9.0,7.0,2.0,2.0,0.0,5.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,72,-,1.0,1.0,0.0
"McInerney, Justin",R1,swans,GC,23.0,15.0,8.0,0.0,0.0,7.0,0.0,4.0,4.0,19.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,76,-,4.0,2.0,0.0
"McLean, Hayden",R1,swans,GC,11.0,4.0,7.0,1.0,0.0,4.0,2.0,3.0,6.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,78,-,2.0,6.0,0.0
"Melican, Lewis",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"Mills, Callum",R1,swans,GC,19.0,8.0,11.0,1.0,0.0,2.0,6.0,7.0,7.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,82,-,3.0,4.0,0.0
"Papley, Tom",R1,swans,GC,15.0,12.0,3.0,2.0,0.0,2.0,7.0,0.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,86,-,3.0,3.0,0.0
"Parker, Luke",R1,swans,GC,25.0,9.0,16.0,0.0,0.0,1.0,4.0,6.0,12.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,82,-,2.0,0.0,0.0
"Rampe, Dane",R1,swans,GC,25.0,13.0,12.0,0.0,0.0,7.0,0.0,4.0,9.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,89,-,0.0,9.0,0.0
"Roberts, Matt",R1,swans,GC,7.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12,On,0.0,0.0,0.0
"Rowbottom, James",R1,swans,GC,17.0,10.0,7.0,0.0,0.0,1.0,3.0,10.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,75,-,4.0,1.0,0.0
"Sheather, Marc",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"Sheldrick, Angus",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"Stephens, Dylan",R1,swans,GC,27.0,19.0,8.0,1.0,0.0,4.0,0.0,4.0,8.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,80,-,3.0,4.0,0.0
"Warner, Chad",R1,swans,GC,30.0,21.0,9.0,0.0,3.0,3.0,3.0,8.0,12.0,19.0,0.0,0.0,0.0,2.0,1.0,3.0,8.0,0.0,84,-,6.0,2.0,2.0
"Warner, Corey",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"Wicks, Sam",R1,swans,GC,,,,,,,,,,,,,,,,,,,,,,,
"Amartey, Joel",R2,swans,HW,11.0,10.0,1.0,4.0,2.0,9.0,0.0,1.0,3.0,9.0,0.0,2.0,6.0,1.0,2.0,0.0,3.0,0.0,50,Off,1.0,2.0,0.0
"Blakey, Nick",R2,swans,HW,24.0,18.0,6.0,0.0,0.0,3.0,0.0,2.0,7.0,11.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,80,-,2.0,3.0,3.0
"Buller, Jack",R2,swans,HW,,,,,,,,,,,,,,,,,,,,,,,
"Campbell, Braeden",R2,swans,HW,15.0,13.0,2.0,0.0,0.0,5.0,0.0,5.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,86,-,1.0,1.0,0.0
"Clarke, Ryan",R2,swans,HW,,,,,,,,,,,,,,,,,,,,,,,
"Cunningham, Harry",R2,swans,HW,9.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,89,-,1.0,0.0,2.0
"Florent, Oliver",R2,swans,HW,25.0,11.0,14.0,0.0,0.0,6.0,0.0,2.0,7.0,18.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,86,-,1.0,1.0,0.0
"Fox, Robbie",R2,swans,HW,,,,,,,,,,,,,,,,,,,,,,,
"Francis, Aaron",R2,swans,HW,,,,,,,,,,,,,,,,,,,,,,,
"Franklin, Lance",R2,swans,HW,,,,,,,,,,,,,,,,,,,,,,,
"Gould, Will",R2,swans,HW,,,,,,,,,,,,,,,,,,,,,,,
"Gulden, Errol",R2,swans,HW,28.0,19.0,9.0,0.0,1.0,7.0,3.0,3.0,9.0,19.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,85,-,4.0,1.0,0.0
"Hayward, Will",R2,swans,HW,14.0,10.0,4.0,1.0,2.0,5.0,1.0,5.0,8.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,88,-,2.0,1.0,0.0
"Heeney, Isaac",R2,swans,HW,13.0,9.0,4.0,2.0,0.0,6.0,0.0,4.0,6.0,8.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,85,-,4.0,0.0,1.0
"Hickey, Tom",R2,swans,HW,,,,,,,,,,,,,,,,,,,,,,,
"Ladhams, Peter",R2,swans,HW,13.0,8.0,5.0,0.0,0.0,3.0,4.0,2.0,7.0,5.0,17.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,75,-,5.0,1.0,0.0
