Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Baker, Oskar",R1,bullldogs,ME,13.0,10.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,76,-,2.0,1.0,0.0
"Bontempelli, Marcus",R1,bullldogs,ME,25.0,13.0,12.0,1.0,1.0,3.0,6.0,5.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,83,-,2.0,3.0,0.0
"Bruce, Josh",R1,bullldogs,ME,14.0,8.0,6.0,0.0,0.0,6.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,96,-,3.0,2.0,0.0
"Crozier, Hayden",R1,bullldogs,ME,,,,,,,,,,,,,,,,,,,,,,,
"Dale, Bailey",R1,bullldogs,ME,19.0,15.0,4.0,0.0,0.0,2.0,0.0,1.0,5.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,84,-,6.0,1.0,0.0
"Daniel, Caleb",R1,bullldogs,ME,29.0,17.0,12.0,0.0,0.0,5.0,1.0,4.0,6.0,20.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,7.0,78,-,5.0,0.0,1.0
"Darcy, Sam",R1,bullldogs,ME,6.0,5.0,1.0,0.0,1.0,1.0,0.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,58,-,2.0,1.0,0.0
"Duryea, Taylor",R1,bullldogs,ME,11.0,5.0,6.0,0.0,0.0,5.0,0.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,78,-,4.0,4.0,0.0
"English, Tim",R1,bullldogs,ME,24.0,12.0,12.0,0.0,0.0,6.0,3.0,4.0,15.0,10.0,22.0,2.0,0.0,1.0,2.0,1.0,6.0,1.0,85,-,4.0,5.0,0.0
"Garcia, Riley",R1,bullldogs,ME,,,,,,,,,,,,,,,,,,,,,,,
"Gardner, Ryan",R1,bullldogs,ME,,,,,,,,,,,,,,,,,,,,,,,
"Hannan, Mitch",R1,bullldogs,ME,6.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,81,-,4.0,1.0,0.0
"Johannisen, Jason",R1,bullldogs,ME,6.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,75,-,2.0,1.0,0.0
"Jones, Arthur",R1,bullldogs,ME,,,,,,,,,,,,,,,,,,,,,,,
"Jones, Liam",R1,bullldogs,ME,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,40,Off,2.0,3.0,0.0
