Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,Tot
"Aish, James",5,5,2,1,3,3,2,6,3,4,6,5,,45.0
"Amiss, Jye",,2,3,2,8,-,4,7,5,5,1,6,4,47.0
"Banfield, Bailey",1,3,,2,3,4,2,5,3,8,4,-,1,36.0
"Brayshaw, Andrew",4,5,3,2,2,-,5,9,3,3,3,3,6,48.0
"Brodie, Will",1,1,,,-,-,3,,,,,,,5.0
"Chapman, Heath",8,5,2,,,,,,,,,,,15.0
"Clark, Jordan",11,6,6,3,3,5,3,9,6,7,4,4,8,75.0
"Corbett, Josh",,,,,,3,,,,,,,,3.0
"Cox, Brennan",20,5,2,7,6,5,5,7,7,5,12,2,8,91.0
"Darcy, Sean",5,1,5,3,4,5,3,2,4,1,1,,,34.0
"Erasmus, Neil",,,,,,,1,4,5,,,,2,12.0
"Frederick, Michael",5,6,2,,3,3,,5,3,7,5,2,,41.0
"Fyfe, Nat",7,,,,,,,2,-,1,2,2,2,16.0
"Henry, Liam",4,5,4,4,,,,,,,,3,6,26.0
"Hughes, Ethan",5,5,-,1,1,3,6,8,4,7,8,2,4,54.0
"Jackson, Luke",-,1,3,3,3,2,2,6,7,2,4,4,5,42.0
"Johnson, Matthew",,,1,-,2,5,3,,,4,1,1,3,20.0
"ODriscoll, Nathan",,,2,-,,,4,8,5,10,4,3,6,42.0
"OMeara, Jaeger",2,5,1,2,-,3,3,7,3,2,2,,2,32.0
"Pearce, Alex",8,4,3,3,3,5,5,6,3,8,4,1,1,54.0
"Ryan, Luke",13,10,7,6,5,10,5,9,10,6,11,9,5,106.0
"Schultz, Lachie",4,4,5,5,8,1,2,2,3,8,3,3,7,55.0
"Serong, Caleb",3,5,2,2,2,3,5,2,2,3,5,3,4,41.0
"Sturt, Sam",,,,,4,3,2,,,,-,3,5,17.0
"Switkowski, Sam",5,5,4,-,-,,3,1,-,3,1,4,3,29.0
"Taberner, Matthew",4,4,6,5,,,,,,,,,,19.0
"Treacy, Josh",-,,,,,,,1,6,2,2,6,3,20.0
"Wagner, Corey",,,,,4,5,,,,,,,,9.0
"Walker, Brandon",,,,2,4,3,3,5,3,3,5,1,4,33.0
"Walters, Michael",,2,3,-,4,2,4,3,2,2,,1,1,24.0
"Wilson, Nathan",8,5,7,2,,,,,,,,,,22.0
"Young, Hayden",13,7,7,6,5,3,3,8,7,4,4,6,5,78.0
Totals,136,101,80,61,77,76,78,122,94,105,92,74,95,1191.0
Opponent,SK,NM,WC,AD,GC,WB,BL,HW,SY,GE,ME,RI,GW,
