Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,Tot
"Aish, James",-,-,1,-,-,1,2,1,1,-,-,-,,6.0
"Amiss, Jye",,-,-,-,1,-,-,2,-,-,2,-,-,5.0
"Banfield, Bailey",-,-,,-,1,1,-,1,2,1,1,-,-,7.0
"Brayshaw, Andrew",-,1,-,-,-,-,-,1,-,-,2,-,-,4.0
"Brodie, Will",-,-,,,1,-,-,,,,,,,1.0
"Chapman, Heath",-,-,-,,,,,,,,,,,
"Clark, Jordan",-,-,1,1,-,-,-,-,-,-,-,-,-,2.0
"Corbett, Josh",,,,,,-,,,,,,,,
"Cox, Brennan",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Darcy, Sean",2,-,-,-,1,-,-,1,1,1,-,,,6.0
"Erasmus, Neil",,,,,,,-,-,-,,,,-,
"Frederick, Michael",-,-,1,,1,1,,-,-,2,1,-,,6.0
"Fyfe, Nat",-,,,,,,,1,-,-,-,1,1,3.0
"Henry, Liam",2,1,-,-,,,,,,,,-,-,3.0
"Hughes, Ethan",-,-,-,-,1,2,-,-,-,-,-,-,-,3.0
"Jackson, Luke",1,-,-,-,-,-,1,1,1,1,-,-,-,5.0
"Johnson, Matthew",,,1,-,-,1,1,,,-,-,-,-,3.0
"ODriscoll, Nathan",,,-,-,,,-,-,1,1,-,-,-,2.0
"OMeara, Jaeger",-,-,1,-,-,-,-,1,-,-,2,,-,4.0
"Pearce, Alex",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ryan, Luke",-,-,1,-,1,-,-,-,-,-,-,-,-,2.0
"Schultz, Lachie",-,-,3,2,1,-,1,1,1,1,-,-,-,10.0
"Serong, Caleb",-,2,2,1,-,-,1,2,2,-,-,2,-,12.0
"Sturt, Sam",,,,,1,-,-,,,,-,1,-,2.0
"Switkowski, Sam",-,-,1,-,-,,-,1,-,1,-,-,1,4.0
"Taberner, Matthew",-,-,-,-,,,,,,,,,,
"Treacy, Josh",-,,,,,,,-,-,1,-,-,1,2.0
"Wagner, Corey",,,,,-,-,,,,,,,,
"Walker, Brandon",,,,-,-,-,-,-,-,-,-,-,-,
"Walters, Michael",,-,1,1,2,-,1,-,-,1,,-,1,7.0
"Wilson, Nathan",-,-,-,-,,,,,,,,,,
"Young, Hayden",-,-,1,-,2,1,-,1,1,-,-,-,-,6.0
Totals,5,4,14,5,13,7,7,14,10,10,8,4,4,105.0
Opponent,SK,NM,WC,AD,GC,WB,BL,HW,SY,GE,ME,RI,GW,
